HICKSVILLE BACK TO BASICS|Location is: St. Stephen's Church|3|20:00:00|21:00:00|270 South Broadway , New York, NY 
HICKSVILLE BACK TO BASICS|Location is: St. Stephen's Church|6|20:00:00|21:00:00|270 South Broadway , New York, NY 
CARMEL GLENEIDA|Location is: Gilead United Presbyterian Church|2|19:00:00|20:00:00|Seminary Hill Road & Church Street , , NY 
CARMEL GLENEIDA|Location is: Gilead United Presbyterian Church|4|19:00:00|20:00:00|Seminary Hill Road & Church Street , , NY 
PHOENICIA SATURDAY NITE LIVE|Location is: Methodist Church|7|20:00:00|21:00:00|Church St.  , , NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|1|14:30:00|15:30:00|, New York, NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|2|13:00:00|14:00:00|, New York, NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|3|13:00:00|14:00:00|, New York, NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|4|13:00:00|14:00:00|, New York, NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|5|01:00:00|02:00:00|, New York, NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|6|13:00:00|14:00:00|, New York, NY 
WHITE PLAINS WESTCHESTER SPONSOR HOUSE|Location is: Memorial Community Church|7|13:00:00|14:00:00|, New York, NY 
Living now |Location is: 45 bleeker st|1|10:00:00|11:00:00|btwn bowery and lafayette, new_york, NY 
Monday Mens beginners meeting|Location is: midtown  right next too grand central |2|18:15:00|19:15:00|on 43rd st btwn lex and 3rd ave, new_york, NY 
east village group|Location is: E 7th st btwn 1st and 2nd |3|19:00:00|20:00:00|ny ny , new_york, NY 
saturday beginners |Location is: E 7th st btwn 1st and 2nd |7|22:30:00|23:30:00|ny ny , new_york, NY 
Another Way of Living|Location is: New York|2|20:09:00|21:09:00|http://blogtalkradio.com/awol, new_york, NY 
AWOL|Location is: New York|3|20:09:00|21:09:00|http://.www.blogtalkradio.com/awol, new_york, NY 
Steppin In The Mix|Location is: 267 West 152 St.|7|15:00:00|16:00:00|New York, new_york, NY 
"GROWING UP"|Location is: Holy Family Church Rectory|5|19:15:00|20:15:00|2158 Watson Avenue,  Cafeteria , New York, NY 
993 WORKSHOP|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|6|20:00:00|21:00:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|1|21:15:00|22:15:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|2|21:15:00|22:15:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|3|21:15:00|22:15:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|4|21:15:00|22:15:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|5|21:15:00|22:15:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|6|21:15:00|22:15:00|, New York, NY 
42nd AT 9:00pm|Location is: 993 Intervale Avenue (@ Westchester Avenue) 10457|7|21:15:00|22:15:00|, New York, NY 
69'ers|Location is: GMHC The Tisch Building|2|20:30:00|21:30:00|119 West 24th Street, Suite #700 Between 6th & 7th Avenues , New York, NY 
A CHANCE TO LIVE AGAIN|Location is: SRO Building|2|19:00:00|20:00:00|109 West 129th Street,  Basement , New York, NY 
A CHANCE TO LIVE AGAIN|Location is: SRO Building|4|18:00:00|19:00:00|109 West 129th Street,  Basement , New York, NY 
