BY THE BOOK|Location is: JEWELL HOUSE|3|19:00:00|20:00:00|NE CORNER OF 2ND AND HEAD ST, CAMP VERDE, AZ 86322
CAMP VERDE MENS BIG BOOK STUDY|Location is: JEWELL HOUSE|3|16:00:00|17:00:00|NE CORNER OF 2ND AND HEAD ST, CAMP VERDE, AZ 86322
NEW RIVER STRAIGHT LIFE|Location is: NAZARENE CHURCH|5|19:30:00|20:30:00|N. 7TH ST. + CAREFREE HIGHWAY, NEW RIVER, AZ 
NEW RIVER STRAIGHT LIFE|Location is: NAZARENE CHURCH|7|19:30:00|20:30:00|N. 7TH ST. + CAREFREE HIGHWAY, NEW RIVER, AZ 
SCOTTSDALE NON-DRINKERS (EARLY)|Location is: EL DORADO PARK,|1|09:30:00|10:30:00|OAK ST. + MILLER RD., SCOTTSDALE, AZ 
SCOTTSDALE NON-DRINKERS (LATE)|Location is: EL DORADO PARK,|1|11:00:00|12:00:00|OAK ST. + MILLER RD., SCOTTSDALE, AZ 
Drunken Donuts|Location is: Fellowship Hall|1|10:30:00|11:30:00|W Mc Neil St, Show Low, AZ 85901
APACHE NATION|Location is: APACHE NATION|2|11:00:00|12:00:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION|Location is: APACHE NATION|3|19:30:00|20:30:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION GROUP|Location is: APACHE NATION|3|07:30:00|08:30:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION GROUP|Location is: APACHE NATION|4|20:00:00|21:00:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION GROUP|Location is: APACHE NATION|5|20:30:00|21:30:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION GROUP|Location is: APACHE NATION|6|07:00:00|08:00:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION GROUP|Location is: APACHE NATION|7|07:00:00|08:00:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
APACHE NATION GROUP|Location is: APACHE NATION|1|07:00:00|08:00:00|MIDDLE VERDE ROAD, CAMP VERDE, AZ 86322
GIRLS' NIGHT OUT|Location is: FOR CONTACT INFO CALL 480-834-9033|6|19:00:00|20:00:00|NEAR HAWES / QUEEN CREEK, QUEEN CREEK, AZ 85142
AIRPORT AA MEETING|Location is: TERMINAL 4|6|12:15:00|13:15:00|SKY HARBOR AIRPORT, PHOENIX, AZ 85034
WOLFPACK|Location is: WOLFPACK|2|19:00:00|20:00:00|VISIT HTTP://WWW. AZWOLFPACK.COM, PHOENIX, AZ 
POST TIME|Location is: POST TIME|5|10:30:00|11:30:00|TURF PARADISE RACE TRACK, PHOENIX, AZ 
