sunday night speaker mtg.|Location is: key largo florida|1|20:00:00|21:00:00|98.8 oceanside, key_largo, FL 
noontimers 7am|Location is: St Francis|2|07:00:00|08:00:00|101 I don&#39;t know it, gulf_breeze, FL 
Deltona/Debary Group|Location is: Orange City, Fla|6|20:00:00|21:00:00|First Congregational Church W. University Ave., orange_city, FL 
Back To Basics Group|Location is: Resurrection Lutheran Church|3|12:00:00|13:00:00|Corner of Main & Memorial , AVON PARK, FL 33825
Back To Basics Group|Location is: Resurrection Lutheran Church|5|12:00:00|13:00:00|Corner of Main & Memorial , AVON PARK, FL 33825
Back To Basics Group|Location is: Resurrection Lutheran Church|7|12:00:00|13:00:00|Corner of Main & Memorial , AVON PARK, FL 33825
High Noon Meeting|Location is: Holy Cross Episcopal Church|2|00:00:00|01:00:00|3600 Cypress Gardens Road, WINTER HAVEN, FL 33884
High Noon Meeting|Location is: Holy Cross Episcopal Church|4|00:00:00|01:00:00|3600 Cypress Gardens Road, WINTER HAVEN, FL 33884
High Noon Meeting|Location is: Holy Cross Episcopal Church|6|00:00:00|01:00:00|3600 Cypress Gardens Road, WINTER HAVEN, FL 33884
Young People_s Meeting|Location is: Families of Polk County|5|19:45:00|20:45:00|970A Main Street East, BARTOW, FL 33830
Bartow Big Book Study Group|Location is: Holy Trinity Episcopal Church|2|20:00:00|21:00:00|Corner of Stuart St. & Floral Ave., BARTOW, FL 33830
Bartow Thursday Night Group|Location is: Holy Trinity Episcopal Church|5|20:00:00|21:00:00|Floral Avenue and Stuart Street, BARTOW, FL 33830
Open Discussion Meeting|Location is: Holy Trinity Episcopal Church|7|18:00:00|19:00:00|Corner of Floral and Stuart, BARTOW, FL 33830
Women_s Meeting|Location is: Lake Placid Health Care Conf. Rm.|4|19:00:00|20:00:00|725 Tomoka Boulevard, LAKE PLACID, FL 33852
As Bill Sees It Group|Location is: As Bill Sees It Group|2|18:00:00|19:00:00|Corner of Merrill Ave. & 3rd St., DUNDEE, FL 33838
AGAPE Group Women_s Meeting|Location is: Tri-County Rehab Service|4|19:00:00|20:00:00|759 Carroll Avenue SW, WINTER HAVEN, FL 33880
Lake Alfred Group|Location is: First Presbyterian Church|2|20:00:00|21:00:00|Glencruiten & E. Haines Street, LAKE ALFRED, FL 33850
Sober Lunch Bunch|Location is: Grace Lutheran Church|2|00:00:00|01:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Sober Lunch Bunch|Location is: Grace Lutheran Church|3|00:00:00|01:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Sober Lunch Bunch|Location is: Grace Lutheran Church|4|00:00:00|01:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Sober Lunch Bunch|Location is: Grace Lutheran Church|5|00:00:00|01:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Sober Lunch Bunch|Location is: Grace Lutheran Church|6|00:00:00|01:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Sober Lunch Bunch|Location is: Grace Lutheran Church|7|00:00:00|01:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Sober Lunch Bunch 2|Location is: Grace Lutheran Church|7|20:00:00|21:00:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Young, Sober & Free|Location is: Grace Lutheran Church|1|15:30:00|16:30:00|745 S. Ingraham Avenue, LAKELAND, FL 33801
Phoenix Group|Location is: Aldersgate House|2|07:00:00|08:00:00|722 E. Walnut, LAKELAND, FL 33801
Phoenix Group|Location is: Aldersgate House|4|07:00:00|08:00:00|722 E. Walnut, LAKELAND, FL 33801
Phoenix Group|Location is: Aldersgate House|6|07:00:00|08:00:00|722 E. Walnut, LAKELAND, FL 33801
Living Sober|Location is: Westminster Presbyterian Church|4|20:00:00|21:00:00|730 S Florida Ave, Lakeland, FL 33801
Downtown Group|Location is: Westminster Presbyterian Church|5|20:00:00|21:00:00|730 S. Florida Avenue, LAKELAND, FL 33801
Anniversary Group|Location is: Westminster Presbyterian Church|7|10:00:00|11:00:00|730 S. Florida Avenue, LAKELAND, FL 33801
