Sunday Night Meeting|Location is: Challis Community Church|1|19:00:00|20:00:00|Pleasant Ave & 4th St, Challis, ID 83226|44.504055|-114.235231
Tuesday & Friday Night Meeting|Location is: Custer County Courthouse|3|20:00:00|21:00:00|Court House, Challis, ID 83226|44.5046445|-114.23173079999998
GROWING ALONG SPIRITUAL LINES|Location is: RECOVERY CAFE|7|16:00:00|17:00:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
STOP THE MADNESS|Location is: RECOVERY CAFE|6|16:00:00|17:00:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
STOP THE MADNESS|Location is: RECOVERY CAFE|2|16:00:00|17:00:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
PIKE MARKET SUNDAY NIGHT|Location is: RECOVERY CAFE|1|19:30:00|20:30:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
STOP THE MADNESS|Location is: RECOVERY CAFE|5|16:00:00|17:00:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
STOP THE MADNESS|Location is: RECOVERY CAFE|3|16:00:00|17:00:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
FREE TO CHOOSE|Location is: RECOVERY CAFE|3|20:30:00|21:30:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
STOP THE MADNESS|Location is: RECOVERY CAFE|4|16:00:00|17:00:00|2301 2nd Ave, BELLEVUE, ID 83313|43.46666279999999|-114.26055819999999
Noon Awakenings|Location is: Nazarene Community Center|2|12:00:00|13:00:00|3852 N Eagle Rd., meridian, ID 83713|43.6398335|-116.35376639999998
Salmon Group|Location is: Presbyterian Center|2|20:00:00|21:00:00|507 Lena St., salmon, ID 83467|45.1743187|-113.8957926
Salmon Group|Location is: Presbyterian Center|2|20:00:00|21:00:00|507 Lena St, salmon, ID 83467|45.1743187|-113.8957926
Tuesday Noon Group|Location is: Presbyterian Center|3|12:00:00|13:00:00|507 Lena St., salmon, ID 83467|45.1743187|-113.8957926
Salmon Serenity Group|Location is: Elks Lodge basement|7|19:00:00|20:00:00|Elks Rd, Salmon, ID 83467|45.1879196|-113.89866899999998
Salmon Serenity Group|Location is: Salmon ID|1|10:00:00|11:00:00|Elks Rd, Salmon, ID 83467|45.1879196|-113.89866899999998
Salmon Serenity Group|Location is: Elks Lodge basement|4|19:00:00|20:00:00|Elks Rd, Salmon, ID 83467|45.1879196|-113.89866899999998
Salmon Serenity Group|Location is: Elks Lodge basement|1|10:00:00|11:00:00|Elks Rd, Salmon, ID 83467|45.1879196|-113.89866899999998
MERIDIAN GROUP|Location is: THE BRANTLEY BUILDING|7|11:00:00|12:00:00|116-B MAIN STREET, MERIDIAN, ID 83642|43.6049575|-116.39163300000001
MERIDIAN GROUP|Location is: THE BRANTLEY BUILDING|6|18:00:00|19:00:00|116-B MAIN STREET, MERIDIAN, ID 83642|43.6049575|-116.39163300000001
MERIDIAN GROUP|Location is: THE BRANTLEY BUILDING|2|20:00:00|21:00:00|116-B MAIN STREET, MERIDIAN, ID 83642|43.6049575|-116.39163300000001
MERIDIAN GROUP|Location is: THE BRANTLEY BUILDING|4|20:00:00|21:00:00|116-B MAIN STREET, MERIDIAN, ID 83642|43.6049575|-116.39163300000001
AA|Location is: Twin Falls|1|15:00:00|16:00:00|736 2nd Ave East, twin falls, ID 83338|42.726083|-114.50804590000001
