Northern lights|Location is: Need to find one|5|18:30:00|19:30:00|123 here, saint_cloud, MN |46.729553|-94.68589980000002
Wednesday Morning Open|Location is: Laurel Street AA|4|10:00:00|11:00:00|217 S 8th St, brainerd, MN 56401|46.356133|-94.19711999999998
As Bill Sees It|Location is: Northland Recovery|6|19:30:00|20:30:00|1215  SE 7th Ave., grand rapids, MN 55744|47.2189629|-93.51799449999999
Becket Grapevine|Location is: Becket Congregational Church Parish House|7|19:00:00|20:00:00|YMCA Rd.?, BECKET, MN 56554|46.8750969|-96.12730149999999
Strength Group|Location is: Rapids Counseling|7|19:30:00|20:30:00|1313 NE 7th Street, grand rapids, MN 55744|47.23914240000001|-93.50669649999998
Pinnacle Mountain Group|Location is: Winfield Methodist Church|3|19:00:00|20:00:00|Hwy 10 & 300, Little Rock, MN 56367|44.6246346|-90.18030920000001
Pinnacle Mountain Group|Location is: Winfield Methodist Church|6|20:00:00|21:00:00|Hwy 10 & 300, Little Rock, MN 56367|44.6246346|-90.18030920000001
A Vision For You|Location is: A Vision For You|4|14:30:00|15:30:00|1390 Benton St. (Ch), Lakewood, MN 56367|45.6910305|-94.18744950000001
Nashwauk AA|Location is: Nashwauk, MN|6|20:00:00|21:00:00|301 3rd St, Nashwauk, MN 55769|47.377811|-93.16619600000001
SERENITY|Location is: Serenity Room|2|07:00:00|08:00:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
SERENITY 2|Location is: Serenity Room|2|10:30:00|11:30:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
SERENITY 3|Location is: Serenity Room|2|13:00:00|14:00:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
SERENITY 4|Location is: Serenity Room|2|16:00:00|17:00:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
SERENITY 5|Location is: Serenity Room|2|18:00:00|19:00:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
SERENITY|Location is: Serenity Room|3|07:00:00|08:00:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
SERENITY 2|Location is: Serenity Room|3|10:30:00|11:30:00|St George 912 63rd Ave. W., Bradenton, MN 56329|27.4289375|-82.57222289999999
