First 3 Steps|Location is: St Vincent's Hospital|4|18:00:00|19:00:00|Medical Dental Building, santa fe, NM 87505|35.657082|-105.951146
An AA Group|Location is: Salvation Army|2|19:00:00|20:00:00|525 W Alameda St, Santa Fe, NM 87501|35.6890172|-105.94788470000003
Foothills|Location is: Club|6|16:30:00|17:30:00|Menaul NE, albuquerque, NM |35.1095148|-106.56125070000002
Sick at Six LOL|Location is: Wyoming & Lomas|2|18:00:00|19:00:00|Lomas, albuquerque, NM |35.0867605|-106.58991209999999
Lone Rangers |Location is: Asbury United Metodist Church|7|10:00:00|11:00:00|10000Candelaria RD nE, Albuquerque, NM 87107|35.115876|-106.529068
S.O.S. Men&#39;s Group|Location is: Faith Lutheran Church|2|19:00:00|20:00:00|10000 Spain Road Northeast, albuquerque, NM 87111|35.1383371|-106.52913160000003
Friday Night Smokeless|Location is: Faith Lutheran Church|1|20:00:00|21:00:00|10000 Spain Road Northeast, albuquerque, NM 87111|35.1383371|-106.52913160000003
Foothills |Location is: Juan Tabo & Menaul|5|08:00:00|09:00:00|menaul, albuquerque, NM |35.1095148|-106.56125070000002
Jaywalkers |Location is: United Methodist Church|7|19:30:00|20:30:00|4200 Meadowlark Ln SE, Rio Rancho, NM 87124|35.2405849|-106.6534072
Beginners Group |Location is: Mesa Club|7|18:00:00|19:00:00|4020 Peggy Rd SE, Rio Rancho, NM 87124|35.2383404|-106.65458530000001
Los Alamos Group|Location is: Triangle Club|1|20:00:00|21:00:00|Pueblo St., los_alamos, NM 87544|35.8890546|-106.31402149999997
Turn It Over Early|Location is: Presbyterian Church|2|08:00:00|09:00:00|Paseo Del Pueblo Sur, taos, NM 87571|36.385911|-105.58553159999997
Forgotten Rock|Location is: Abiquiu Library|7|10:00:00|11:00:00|Abiquiu Pubelo, Abiquiu, NM 87510|36.3731341|-106.51127120000001
Forgotten Rock |Location is: Abiquiu Clinic|4|17:30:00|18:30:00|Behind Abiquiu Clinic, Abiquiu, NM 87510|36.3731341|-106.51127120000001
Land Of Enchantment|Location is: Methodist Church|4|19:30:00|20:30:00|Tiger Dr, Raton, NM 87740|36.8850782|-104.44617749999998
Land of Enchantment|Location is: Methodist Church|1|18:00:00|19:00:00|S 4th St & Tiger Dr, Raton, NM 87740|36.8883071|-104.44973700000003
Land of Enchantment|Location is: Methodist Church|6|19:30:00|20:30:00|S 4th St & Tiger Dr, Raton, NM 87740|36.8883071|-104.44973700000003
Land of Enchantment|Location is: Methodist Church|4|19:30:00|20:30:00|S 4th St & Tiger Dr, Raton, NM 87740|36.8883071|-104.44973700000003
Singleness of Purpose|Location is: 1st Christian Church |6|19:00:00|20:00:00|W Church St & N Mesa St, Carlsbad, NM 88220|32.428677|-104.23666000000003
Singleness of Purpose|Location is: 1st Christian Church |5|19:00:00|20:00:00|W Church St & N Mesa St, Carlsbad, NM 88220|32.428677|-104.23666000000003
Singleness of Purpose|Location is: 1st Christian Church |3|19:00:00|20:00:00|W Church St & N Mesa St, Carlsbad, NM 88220|32.428677|-104.23666000000003
High Life for Women|Location is: High Life for Women|3|14:15:00|15:15:00|111 Del Mar Circle (Ch), Aurora, NM |34.5199402|-105.87009009999997
Salida Meeting|Location is: Salida Meeting|6|14:30:00|15:30:00|4936 West St, Salida, NM 81201|35.1960859|-106.73831130000002
Fire House Meeting|Location is: Behind Circle K|1|19:08:00|20:08:00|12 W Center St, Snowflake, NM 85937|35.1974085|-106.67652399999997
Women in Sobriety|Location is: Women in Sobriety|3|19:00:00|20:00:00|1200 South St (Ch bsmt #102), Castle Rock, NM |34.5199402|-105.87009009999997
Men&#39;s Meeting|Location is: Women in Sobriety|3|19:00:00|20:00:00|1200 South St (Ch bsmt #102), Castle Rock, NM |34.5199402|-105.87009009999997
AA Group|Location is: VFW Bldg|4|20:00:00|21:00:00|behind bank, Parker, NM |34.5199402|-105.87009009999997
Giving It Back|Location is: 8007 South Broaadway|1|19:30:00|20:30:00|Highlands Ranch, denver, NM |34.5199402|-105.87009009999997
Liv in the Answer|Location is: Southeast Church|5|12:00:00|13:00:00|E-470, Parker, NM 80134|32.3180737|-106.78644199999997
Liv in the Answer|Location is: Southeast Church|3|12:00:00|13:00:00|E-470, Parker, NM 80134|32.3180737|-106.78644199999997
Liv in the Answer|Location is: Southeast Church|4|12:00:00|13:00:00|E-470, Parker, NM 80134|32.3180737|-106.78644199999997
Liv in the Answer|Location is: Southeast Church|2|12:00:00|13:00:00|E-470, Parker, NM 80134|32.3180737|-106.78644199999997
Liv in the Answer|Location is: Southeast Church|6|12:00:00|13:00:00|E-470, Parker, NM 80134|32.3180737|-106.78644199999997
Men's Acceptance|Location is: Men's Acceptance|7|null|N/A|5707 S. Simms (Ch bsmt), Littleton, NM |34.5199402|-105.87009009999997
Any Lengths|Location is: Any Lengths|3|14:00:00|15:00:00|5707 S. Simms St (Ch), Littleton, NM |34.5199402|-105.87009009999997
Daytimers|Location is: Daytimers|6|14:00:00|15:00:00|5894 S. Datura St. (Ch South door), Littleton, NM |34.5199402|-105.87009009999997
Any Lengths|Location is: Any Lengths|4|14:00:00|15:00:00|5707 S. Simms St (Ch), Littleton, NM |34.5199402|-105.87009009999997
Any Lengths|Location is: Any Lengths|5|14:00:00|15:00:00|5707 S. Simms St (Ch), Littleton, NM |34.5199402|-105.87009009999997
Any Lengths|Location is: Any Lengths|1|14:00:00|15:00:00|5707 S. Simms St (Ch), Littleton, NM |34.5199402|-105.87009009999997
Buckeye Easy Does it|Location is: South East Aurora Club|2|17:45:00|18:45:00|Iliff , aurora, NM |34.5199402|-105.87009009999997
