Clear Creek Roadrunners|Location is: Clear Creek Roadrunners|5|14:00:00|15:00:00|1410 Colorado (Ch, side door), Idaho Springs, CO 
Clear Creek Roadrunners|Location is: Clear Creek Roadrunners|2|14:00:00|15:00:00|1410 Colorado (Ch, side door), Idaho Springs, CO 
Clear Creek Roadrunners|Location is: Clear Creek Roadrunners|6|14:00:00|15:00:00|1410 Colorado (Ch, side door), Idaho Springs, CO 
Gilpin County H.A.L.T.|Location is: Gilpin County H.A.L.T.|4|14:00:00|15:00:00|226 East High (Ch), Central City, CO 80422
Gilpin County H.A.L.T.|Location is: Gilpin County H.A.L.T.|1|14:00:00|15:00:00|226 East High (Ch), Central City, CO 80422
Mountain Women|Location is: Mountain Women|7|null|N/A|5980 Hwy 73 (Ch), Evergreen, CO 80439
Mountain Women|Location is: Mountain Women|4|14:00:00|15:00:00|5980 Hwy 73 (Ch), Evergreen, CO 80439
Tues Nite Big Book|Location is: Tues Nite Big Book|3|14:00:00|15:00:00|326 Highway 119 (Ch), Nederland, CO 
Tuesday Nite Big Book Meeting|Location is: St Rita's Catholic Church|3|19:00:00|20:00:00|326 Hwy 119, Nederland, CO 
Nederland Group|Location is: St Rita's Catholic Church|6|19:00:00|20:00:00|326 Hwy 119, Nederland, CO 
Golden Gates|Location is: Golden Gates|3|14:00:00|15:00:00|25201 Golden Gate Canyon Rd., Golden, CO 80403
AA MEETING - MORRISON|Location is: Ruritan Building|4|13:30:00|14:30:00|Maple St, Morrison, CO 80465
Vail Chapel|Location is: Interfaith Chapel|2|17:15:00|18:15:00|19 Vail Road, Vail, CO 81657
Big Book Study|Location is: Vail Valley Medical Center|1|18:30:00|19:30:00|181 West Meadow Drive, Vail, CO 81657
THE HERE & NOW|Location is: Woodland Baptist Church|2|19:30:00|20:30:00|9607 East S.R. 70, Lakewood Ranch, CO 80127
PROMISES|Location is: Living Lord Lutheran Church|3|19:00:00|20:00:00|11120 East S..R. 70, Lakewood Ranch, CO 80127
ENJOYING THE JOURNEY|Location is: Living Lord Lutheran Church|6|18:00:00|19:00:00|11120 East S..R. 70, Lakewood Ranch, CO 80127
Golden #1|Location is: Golden #1|4|14:30:00|15:30:00|817 14th St. (bldg), Golden, CO 80401
Golden #1|Location is: Golden #1|1|14:30:00|15:30:00|817 14th St. (bldg), Golden, CO 80401
Golden #1 2|Location is: Golden #1|1|14:00:00|15:00:00|817 14th St. (bldg), Golden, CO 80401
Coal Creek Group|Location is: United Power Building|4|19:30:00|20:30:00|5 Gross Dam Rd, Coal Creek, CO 80403
A New Life|Location is: A New Life|3|14:00:00|15:00:00|14099 W. Jewell (Ch), Lakewood, CO 80228
Friday 11 Step Study|Location is: Friday 11 Step Study|6|14:00:00|15:00:00|10306 W. Bowles Ave. (Ch Annex), Littleton, CO 80127
As Bill Sees It|Location is: As Bill Sees It|2|null|N/A|9700 Old Coal Mine Rd.(Ch), Littleton, CO 80128
Green Mountain|Location is: Green Mountain|6|14:00:00|15:00:00|11202 W. Jewell (Ch), Lakewood, CO 80228
Open Splinter|Location is: Open Splinter|3|14:00:00|15:00:00|8085 E. Hampden (Ch bsmt), Denver, CO 80235
Arid Group 2|Location is: Arid Group|3|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|7|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 3|Location is: Arid Group|1|null|N/A|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|1|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|1|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|5|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|4|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|4|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|3|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|5|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 3|Location is: Arid Group|7|null|N/A|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|2|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|2|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|6|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|6|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
We Are Not Saints|Location is: Eagle Bend Apartments Clubhouse|4|18:30:00|19:30:00|Hwy 6, vail, CO 81620
Free To Be Me|Location is: Free To Be Me|7|14:15:00|15:15:00|6724 S. Webster (Ch), Littleton, CO 80128
Sisters of Sobriety|Location is: Sisters of Sobriety|7|null|N/A|3355 S. Wadsworth #H-125, 989-2816, Lakewood, CO 80227
S.O.T.S.|Location is: Sisters of Sobriety|4|14:45:00|15:45:00|3355 S. Wadsworth #H-125, 989-2816, Lakewood, CO 80227
Oasis Group|Location is: Oasis Group|4|14:00:00|15:00:00|3355 S. Wadsworth #H-125 989-2816, Lakewood, CO 80227
S.O.T.S.|Location is: Sisters of Sobriety|3|14:45:00|15:45:00|3355 S. Wadsworth #H-125, 989-2816, Lakewood, CO 80227
Oasis Group|Location is: Oasis Group|5|14:00:00|15:00:00|3355 S. Wadsworth #H-125 989-2816, Lakewood, CO 80227
Oasis Group|Location is: Oasis Group|1|14:00:00|15:00:00|3355 S. Wadsworth #H-125 989-2816, Lakewood, CO 80227
