Harrington Group|Location is: St. Stephen_s Episcopal Church|1|20:30:00|21:30:00|190 Raughley Hill Rd., Harrington, DE 19952
Milford Group|Location is: Reformation Lutheran Church|2|20:00:00|21:00:00|613 Lakeview Avenue, Milford, DE 19963
Milford Woman_s Group|Location is: Reformation Lutheran Church|4|19:00:00|20:00:00|613 Lakeview Avenue, Milford, DE 19963
New Freedom Group|Location is: KSI Building|5|18:30:00|19:30:00|Rehoboth Blvd., dover, DE 19963
New Freedom Group|Location is: American Legion|3|18:30:00|19:30:00|503 Rehoboth Blvd, Milford, DE 19963
New Freedom Group|Location is: American Legion|5|18:30:00|19:30:00|503 Rehoboth Blvd, Milford, DE 19963
New Freedom Group|Location is: KCI Building|3|18:30:00|19:30:00|Rehoboth Ave., milford, DE 19963
Kent-Sussex Detox Center|Location is: Kent-Sussex Detox Center|3|20:00:00|21:00:00|Main St., Ellendale, DE 19941
Kent-Sussex Detox Center|Location is: Kent-Sussex Detox Center|5|20:00:00|21:00:00|Main St., Ellendale, DE 19941
Kent-Sussex Detox Center|Location is: Kent-Sussex Detox Center|7|20:00:00|21:00:00|Main St., Ellendale, DE 19941
Ellendale Detox|Location is: Old School House|3|20:00:00|21:00:00|Main Street, Ellendale, DE 19941
PPHC Dining Hall|Location is: PPHC Dining Hall|2|13:00:00|14:00:00|18526 S. Old State Rd., Ellendale, DE 19941
Camden Thursday/Sunday Group|Location is: St. Paul_s Episcopal Church|1|20:00:00|21:00:00|Old North Road, Camden, DE 
Camden Thursday/Sunday Group|Location is: St. Paul_s Episcopal Church|5|20:00:00|21:00:00|Old North Road, Camden, DE 
Camden Saturday|Location is: St. Paul_s Episcopal Church|7|09:30:00|10:30:00|Old North Road, Camden, DE 
As Bill Sees It|Location is: St. Paul_s Episcopal Church|7|19:00:00|20:00:00|Old North Road, Camden, DE 
Camden Saturday|Location is: St. Paul&#39;s Episcopal Church|7|09:30:00|10:30:00|Old North Road, dover, DE 
Goshen Hall|Location is: Goshen Hall|5|18:30:00|19:30:00|114 Federal Street, Milton, DE 19968
Today Group 3|Location is: Grange Hall|1|19:00:00|20:00:00|911 South Governors Ave, Dover, DE 19904
Today Group|Location is: Grange Hall|2|18:00:00|19:00:00|911 South Governors Ave, Dover, DE 19904
Today Group 2|Location is: Grange Hall|2|20:00:00|21:00:00|911 South Governors Ave, Dover, DE 19904
Today Group 3|Location is: Grange Hall|4|19:00:00|20:00:00|911 South Governors Ave, Dover, DE 19904
Way to Recovery|Location is: Grange Hall|5|11:30:00|12:30:00|911 South Governors Ave, Dover, DE 19904
Today Group 4|Location is: Grange Hall|5|18:15:00|19:15:00|911 South Governors Ave, Dover, DE 19904
Way to Recovery|Location is: Grange Hall|6|11:30:00|12:30:00|911 South Governors Ave, Dover, DE 19904
Today Group 5|Location is: Grange Hall|6|17:30:00|18:30:00|911 South Governors Ave, Dover, DE 19904
Today Group 2|Location is: Grange Hall|6|20:00:00|21:00:00|911 South Governors Ave, Dover, DE 19904
Today Group 6|Location is: Grange Hall|6|21:30:00|22:30:00|911 South Governors Ave, Dover, DE 19904
Today Group|Location is: Grange Hall|1|19:00:00|20:00:00|911 South Governors Ave., dover, DE 19904
Today Group|Location is: Grange Hall|2|18:00:00|19:00:00|911 South Governors Ave., dover, DE 19904
Today Group|Location is: Grange Hall|4|19:00:00|20:00:00|911 South Governors Ave., dover, DE 19904
Today Group|Location is: Grange Hall|6|17:30:00|18:30:00|911 South Governors Ave., dover, DE 19904
Monday Night Big Book|Location is: St. John_s Lutheran Church|2|19:00:00|20:00:00|Pine & Park Streets, Dover, DE 19901
New Year Group|Location is: Kent General Hospital|1|09:30:00|10:30:00|604 South State St, Dover, DE 19901
Dover Group|Location is: Christ Church|4|20:00:00|21:00:00|Corner of State St & Water St, Dover, DE 19901
Corinthian House|Location is: Corinthian House|4|20:00:00|21:00:00|219-221 Race Street, Georgetown, DE 19947
Going to Any Lehgth Group|Location is: Going to Any Lehgth Group|3|06:30:00|07:30:00|Martin St, Dover, DE 19901
Georgetown Presb Church|Location is: Georgetown Presb Church|1|20:00:00|21:00:00|203 N. Bedford St., Georgetown, DE 19947
Georgetown Presb. Church|Location is: Georgetown Presb Church|2|00:00:00|01:00:00|203 N. Bedford St., Georgetown, DE 19947
Georgetown Presb. Church|Location is: Georgetown Presb Church|3|00:00:00|01:00:00|203 N. Bedford St., Georgetown, DE 19947
Georgetown Presb. Church|Location is: Georgetown Presb Church|5|00:00:00|01:00:00|203 N. Bedford St., Georgetown, DE 19947
Georgetown Presb. Church|Location is: Georgetown Presb Church|7|00:00:00|01:00:00|203 N. Bedford St., Georgetown, DE 19947
DDDP Bldg|Location is: DDDP Bldg|7|19:00:00|20:00:00|Rt 113, Georgetown, DE 19947
Wesley Methodist|Location is: Wesley Methodist|6|20:30:00|21:30:00|Laurel & Race Streets, Georgetown, DE 19947
Fellowship Health Center|Location is: Fellowship Health Center|3|18:30:00|19:30:00|207 E. Market St., Georgetown, DE 19947
Fellowship Health Center|Location is: Fellowship Health Center|4|19:10:00|20:10:00|207 E. Market St., Georgetown, DE 19947
St. Paul_s Episcopal|Location is: St. Paul_s Episcopal|7|11:00:00|12:00:00|Pine & Academy, Georgetown, DE 19947
Fresh Air|Location is: Peoples Church|3|19:00:00|20:00:00|South Bradford & Reed Streets, Dover, DE 19904
Happy, Joyous, & Free|Location is: Peoples Church|4|18:00:00|19:00:00|South Bradford & Reed Streets, Dover, DE 19904
Pass it on Monthly Group|Location is: Presbyterian Church|2|20:00:00|21:00:00|54 South State Street, Dover, DE 19901
Tau House|Location is: Tau House|4|20:00:00|21:00:00|11 W. Pine Street, Georgetown, DE 19947
Fountain Roc|Location is: St. Andrews Church|3|20:00:00|21:00:00|425 N. DuPont Hwy., Dover, DE 19901
Fountain Roc|Location is: St. Andrews Church|5|20:00:00|21:00:00|425 N. DuPont Hwy., Dover, DE 19901
Shipley Street Service Center|Location is: Shipley Street Service Center|4|00:00:00|01:00:00|350 Virginia Ave, Seaford, DE 19973
Way to Recovery|Location is: Kent County Counseling|2|11:30:00|12:30:00|1241 College Park, Dover, DE 19904
Way to Recovery|Location is: Kent County Counseling|4|11:30:00|12:30:00|1241 College Park, Dover, DE 19904
St. John_s Methodist|Location is: St. John_s Methodist|2|20:00:00|21:00:00|Pine & 3rd Sts., Seaford, DE 19973
