Sobriety Must Come First BB|Location is: Mother's House|4|18:30:00|19:30:00| 904 N St Louis Ave, , IL t, IL IL
HOW Group|Location is: HOW Group|3|14:00:00|15:00:00|Church of Christ, Groveland, IL 61610
HOW Group|Location is: HOW Group|5|14:00:00|15:00:00|Church of Christ, Groveland, IL 61610
STRAIGHT SEEKERS GROUP|Location is: STRAIGHT SEEKERS GROUP|6|19:00:00|20:00:00|106 BOLIVIA STREET, BARTONVILLE, IL 61607
BACK TO BASICS|Location is: FIRST CHRISTIAN CHURCH|2|18:00:00|19:00:00|113 E CRAQFORD STREET, PALESTINE, IL 61771
BACK TO BASICS|Location is: FIRST CHRISTIAN CHURCH|6|18:00:00|19:00:00|113 E CRAQFORD STREET, PALESTINE, IL 61771
Celebrate Freedom|Location is: The River Church-Mall of America|2|19:30:00|20:30:00|121 West Market, Bloomington, IL 61701
Wednesday Night Group|Location is: Cedar Lakes Fellowship Hall|4|20:00:00|21:00:00|401 E. Empire St., bloomington, IL 61701
TUES 12 & 12|Location is: Charles Wesley Methodist Ch|3|10:00:00|11:00:00|6817 Dean Dr. Off Westmoreland, Mclean, IL 
MCLEAN THURSDAY MORNING|Location is: Lewinsville Presbyterian Ch|5|10:00:00|11:00:00|1724 Chainbridge @ Gt Falls, Mclean, IL 
FIRESIDE|Location is: Lewinsville Presbyterian Church|1|19:00:00|20:00:00|1724 Chainbridge Rd @ Gt Falls, Mclean, IL 
LEWINSVILLE PROMISES|Location is: Lewinsville Presbyterian Church|2|19:00:00|20:00:00|1724 Chain Bridge Rd@ Gt Falls, Mclean, IL 
EXPERIENCE^ STRENGTH & HOPE|Location is: Charles Wesley Methodist Ch|5|18:45:00|19:45:00|6817 Dean Dr. Off Westmoreland, Mclean, IL 
DR. BOB?S #2|Location is: Lewinsville Pres Church|6|19:30:00|20:30:00|1724 Chainbridge Rd, Mclean, IL 
Believing|Location is: St. Gregory|7|19:30:00|20:30:00|620 Nottingham Way, Princeton, IL 61356
Henry County A.A.|Location is: Kewanee, IL|2|19:00:00|20:00:00|, , IL 
Henry County A.A.|Location is: Kewanee, IL|3|20:00:00|21:00:00|, , IL 
Henry County A.A.|Location is: Kewanee, IL|4|12:00:00|13:00:00|, , IL 
Henry County A.A.|Location is: Kewanee, IL|5|12:00:00|13:00:00|, , IL 
Henry County A.A.|Location is: Kewanee, IL|6|20:00:00|21:00:00|, , IL 
Henry County A.A.|Location is: Kewanee, IL|7|19:00:00|20:00:00|, , IL 
Henry County A.A.|Location is: Kewanee, IL|1|11:00:00|12:00:00|, , IL 
garage group of cocaine anonymous|Location is: 713 e 8th street at my garage |5|19:00:00|20:00:00|same as above , Kewanee, IL 61443
GARAGE GROUP |Location is: @ MY HOUSE |5|19:00:00|20:00:00|713 E 8TH ST , kewanee, IL 61443
Women's Serenity|Location is: Crawford House|2|19:00:00|20:00:00|362 Sunset Rd., Princeton, IL 61356
Thursday As Bill Sees It|Location is: St. David Epis. Church|5|12:00:00|13:00:00|90 S. Main St., Princeton, IL 61356
Stockton Friday Night|Location is: 1st Presbyterian Church|6|20:30:00|21:30:00|22 S. Main St., Princeton, IL 61356
Living Sober|Location is: 1st Presbyterian Church|6|19:30:00|20:30:00|22 S. Main St., Princeton, IL 61356
Stockton Step|Location is: 1st Presbyterian Church|2|20:00:00|21:00:00|22 S. Main St., Princeton, IL 61356
Princeton Thursday Nite Into Action Group|Location is: Trinity Lutheran Church|5|19:30:00|20:30:00|111 6th St N, Princeton, IL 61356
Alternative Group|Location is: Municipal Bldg|6|20:00:00|21:00:00|148 N. Main St. & Franklin Ave., Princeton, IL 61356
How It Works|Location is: Municipal Bldg|7|20:00:00|21:00:00|Rt. 33 & N. Main St., Princeton, IL 61356
west street sobriety group|Location is: home of leavitt r.|7|19:00:00|20:00:00|west street, princeton, IL 61356
Blue Ridge Group|Location is: First United Methodist Church|2|14:00:00|15:00:00|104 N. Main Street, Blue Ridge, IL 61854
Blue Ridge Group|Location is: First United Methodist Church|5|14:00:00|15:00:00|104 N. Main Street, Blue Ridge, IL 61854
Top Of The Morning Group|Location is: EASY DOES IT CLUB|2|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702
Top Of The Morning Group|Location is: EASY DOES IT CLUB|3|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702
Top Of The Morning Group|Location is: EASY DOES IT CLUB|4|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702
Top Of The Morning Group|Location is: EASY DOES IT CLUB|5|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702
Top Of The Morning Group|Location is: EASY DOES IT CLUB|6|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702
Saturday Morning Irregulars|Location is: EASY DOES IT CLUB|7|08:00:00|09:00:00|514 N Walnut, Springfield, IL 62702
Keyword|Location is: EASY DOES IT CLUB|7|10:00:00|11:00:00|514 N Walnut, Springfield, IL 62702
Discussion 2|Location is: EASY DOES IT CLUB|4|12:00:00|13:00:00|514 N Walnut, Springfield, IL 62702
Friendship|Location is: EASY DOES IT CLUB|6|12:00:00|13:00:00|514 N Walnut, Springfield, IL 62702
Grapevine|Location is: EASY DOES IT CLUB|2|17:15:00|18:15:00|514 N Walnut, Springfield, IL 62702
Discussion|Location is: EASY DOES IT CLUB|3|17:15:00|18:15:00|514 N Walnut, Springfield, IL 62702
Midweek|Location is: EASY DOES IT CLUB|4|17:15:00|18:15:00|514 N Walnut, Springfield, IL 62702
Discussion|Location is: EASY DOES IT CLUB|5|17:15:00|18:15:00|514 N Walnut, Springfield, IL 62702
New Beginnings|Location is: EASY DOES IT CLUB|2|20:00:00|21:00:00|514 N Walnut, Springfield, IL 62702
Character Defects Group|Location is: EASY DOES IT CLUB|3|20:00:00|21:00:00|514 N Walnut, Springfield, IL 62702
Back to Basics|Location is: EASY DOES IT CLUB|4|20:00:00|21:00:00|514 N Walnut, Springfield, IL 62702
Discussion 3|Location is: EASY DOES IT CLUB|5|20:00:00|21:00:00|514 N Walnut, Springfield, IL 62702
Sunshine Group|Location is: EASY DOES IT CLUB|1|20:00:00|21:00:00|514 N Walnut, Springfield, IL 62702
Back to Basics|Location is: CNTR United Methodist|4|08:00:00|09:00:00|269 W Eldorado St, Decatur, IL 62522
Sunlight Group|Location is: Forst Presbyterian Church|2|07:00:00|08:00:00|204 W. Prairie St., decatur, IL 62525
Sunlight Group|Location is: Forst Presbyterian Church|3|07:00:00|08:00:00|204 W. Prairie St., decatur, IL 62525
Sunlight Group|Location is: Forst Presbyterian Church|4|07:00:00|08:00:00|204 W. Prairie St., decatur, IL 62525
Sunlight Group|Location is: Forst Presbyterian Church|5|07:00:00|08:00:00|204 W. Prairie St., decatur, IL 62525
Sunlight Group|Location is: Forst Presbyterian Church|6|07:00:00|08:00:00|204 W. Prairie St., decatur, IL 62525
Sunlight Group|Location is: Forst Presbyterian Church|7|07:00:00|08:00:00|204 W. Prairie St., decatur, IL 62525
Eye Opener Group: Discussion|Location is: DISCOVERY|2|07:00:00|08:00:00|313 W Cook, Springfield, IL 62704
Eye Opener Group: Discussion|Location is: DISCOVERY|3|07:00:00|08:00:00|313 W Cook, Springfield, IL 62704
Eye Opener Group: Discussion|Location is: DISCOVERY|4|07:00:00|08:00:00|313 W Cook, Springfield, IL 62704
Eye Opener Group: Discussion|Location is: DISCOVERY|5|07:00:00|08:00:00|313 W Cook, Springfield, IL 62704
Eye Opener Group: Discussion|Location is: DISCOVERY|6|07:00:00|08:00:00|313 W Cook, Springfield, IL 62704
