Amazing Miracles|Location is: Ashari Jaya II|4|08:00:00|09:00:00|Desa Bendungan, Ciawi, bogor, IN 16720
TRINTY UNITED METH CHURCH|Location is: TRINTY UNITED METH CHURCH|6|19:30:00|20:30:00|Market and Guilford, Huntington, IN 46750
EPWORTH METH. CHURCH|Location is: EPWORTH METH. CHURCH|4|19:00:00|20:00:00|1204 W. CHERRY ST, Bluffton, IN 46714
EPWORTH METH. CHURCH|Location is: EPWORTH METH. CHURCH|7|09:00:00|10:00:00|1204 W. CHERRY ST, Bluffton, IN 46714
CROSS UNITED CHURCH|Location is: CROSS UNITED CHURCH|7|20:00:00|21:00:00|, Berne, IN 
Thirsty For Sobriety|Location is: AI-.An Club|5|17:15:00|18:15:00|76I Cass SI., Hamilton, IN 46034
Sunday Serenity|Location is: AI-.An Club|1|20:00:00|21:00:00|76I Cass SI., Hamilton, IN 46034
Attitude Adjustment|Location is: AI-.An Club|2|06:45:00|07:45:00|76I Cass SI., Hamilton, IN 46034
Living Sober|Location is: AI-.An Club|2|12:00:00|13:00:00|76I Cass SI., Hamilton, IN 46034
BELL RINGERS|Location is: 1st Presbyterian Church|2|20:00:00|21:00:00|108 E. Washington St, Monroe, IN 46772
LAMP POST GROUP|Location is: The Chapel|6|20:00:00|21:00:00|2505 w. Hamilton Rd at Covington, Ft. Wayne, IN 46814
WAYNEDALE GROUP|Location is: Waynedale Methodist Church|5|19:30:00|20:30:00|2501 Church St  & Old Trail Rd, Ft. Wayne, IN 46809
WAYNEDALE STEP GROUP|Location is: Waynedale Methodist Church|2|19:00:00|20:00:00|2501 Church St, Ft. Wayne, IN 46809
EASY DOES IT|Location is: Hope United Methodist Church|2|19:00:00|20:00:00|Highway 27 S & Hoagland  Rd., Ft. Wayne, IN 46745
Attitude Adjustment|Location is: AI-.An Club|5|06:45:00|07:45:00|76I Cass SI., Princeton, IN 46947
Just For Today|Location is: AI-.An Club|5|12:00:00|13:00:00|76I Cass SI., Princeton, IN 46947
12 & 12|Location is: AI-.An Club|5|20:00:00|21:00:00|76I Cass SI., Princeton, IN 46947
Attitude Adjustment|Location is: AI-.An Club|6|06:45:00|07:45:00|76I Cass SI., Princeton, IN 46947
Listen & Learn|Location is: AI-.An Club|6|12:00:00|13:00:00|76I Cass SI., Princeton, IN 46947
Happy Hour Group|Location is: AI-.An Club|6|17:15:00|18:15:00|76I Cass SI., Princeton, IN 46947
Acceptance Too|Location is: Acceptance Too|2|14:30:00|15:30:00|12755 W. Cedar Dr. (Ch), Lakewood, IN 46809
ALDERSGATE DISC. GROUP|Location is: Aldersgate Church|2|19:30:00|20:30:00|2417 Getz Rd, Ft. Wayne, IN 46804
12+12 STUDY GROUP|Location is: Aldersgate Church|3|19:30:00|20:30:00|2417 Getz Rd, Ft. Wayne, IN 46804
BIG BOOK STUDY GROUP|Location is: Aldersgate Church|5|18:00:00|19:00:00|2417 Getz Rd., Ft. Wayne, IN 46804
WOMEN?S  DAY BY DAY GRP.|Location is: Unitarian Church|5|10:30:00|11:30:00|5310 Old Mill Rd., Ft. Wayne, IN 46807
BUCKLEY|Location is: St. John ?s Providence House|4|19:30:00|20:30:00|4501 Arlington Ave at Pasadena, Ft. Wayne, IN 46807
ADDICTIVE SYNDROME|Location is: First Christian Church|2|20:00:00|21:00:00|4800 S. Calhoun St.., Ft. Wayne, IN 46807
ADDICTIVE SYNDROME|Location is: First Christian Church|4|20:00:00|21:00:00|4800 S. Calhoun St., Ft. Wayne, IN 46807
