Roads&#39; End|Location is: Centenary United Methodist|2|20:00:00|21:00:00|Route 468 (Muddy Creek Rd), shady_side, MD 
CLIFF HANGERS|Location is: Waugh Chapel Community Center|4|19:30:00|20:30:00|, Gambrills, MD 
HAPPY SUNDAY GROUP|Location is: South Shore Recovery Club|1|09:00:00|10:00:00|1199 General's Hwy., Crownsville, MD 21032
PAGE 30|Location is: South Shore Recovery Club|1|10:30:00|11:30:00|1199 General's Hwy., Crownsville, MD 21032
BY THE BOOK|Location is: South Shore Recovery Club|1|15:00:00|16:00:00|1199 General's Hwy., Crownsville, MD 21032
SERENITY AT SEVEN|Location is: South Shore Recovery Club|2|07:00:00|08:00:00|1199 General's Hwy., Crownsville, MD 21032
CONSCIOUS CONTACT GROUP|Location is: South Shore Recovery Club|2|20:00:00|21:00:00|1199 Generals Hwy, Crownsville, MD 21032
SERENITY AT SEVEN|Location is: South Shore Recovery Club|3|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032
AA GRAPEVINE|Location is: South Shore Recovery Club|3|17:30:00|18:30:00|1199 Generals Hwy, Crownsville, MD 21032
BIG BOOK TEXT STUDY|Location is: South Shore Recovery Club|3|19:00:00|20:00:00|1199 Generals Hwy, Crownsville, MD 21032
SERENITY AT SEVEN|Location is: South Shore Recovery Club|4|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032
THE LUNCH BUNCH|Location is: South Shore Recovery Club|4|00:00:00|01:00:00|1199 Generals Hwy, Crownsville, MD 21032
OPEN DISCUSSION MEETING|Location is: South Shore Recovery Club|4|19:00:00|20:00:00|1199 Generals Hwy, Crownsville, MD 21032
SERENITY AT SEVEN|Location is: South Shore Recovery Club|5|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032
AS BILL SEES IT|Location is: South Shore Recovery Club|5|17:30:00|18:30:00|1199 Generals Hwy, Crownsville, MD 21032
THE LET GO GROUP|Location is: South Shore Recovery Club|5|19:00:00|20:00:00|1199 Generals Hwy, Crownsville, MD 21032
SERENITY AT SEVEN|Location is: South Shore Recovery Club|6|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032
SERENITY AT SEVEN|Location is: South Shore Recovery Club|7|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032
GOING TO ANY LENGTHS GROUP|Location is: South Shore Recovery Club|7|20:00:00|21:00:00|1199 Generals Hwy, Crownsville, MD 21032
12 STEPS TO FREEDOM|Location is: United Church of Christ|5|20:30:00|21:30:00|Rte 2 @ Grand Oaks Avenue, Annapolis, MD 
HERALD HARBOR STEP MEETING|Location is: Herald Harbor Community Center|4|19:30:00|20:30:00|Herald Harbor Road, Crownsville, MD 21032
CHRYSALIS HOUSE|Location is: CHRYSALIS HOUSE|1|19:30:00|20:30:00|1570 Crownsville Road, Crownsville, MD 21401
CROWNSVILLE MONDAY AFTERNOON|Location is: Chrysallis House|2|13:00:00|14:00:00|1570 Crownsville Rd., Crownsville, MD 21401
EARLY BIRDS|Location is: Severna Park Methodist Church|2|10:00:00|11:00:00|651 Benfield Blvd., Severna Park, MD 21146
EARLY BIRDS|Location is: Severna Park Methodist Church|4|10:00:00|11:00:00|651 Benfield Road, Severna Park, MD 21146
EARLY BIRDS|Location is: Severna Park Methodist Church|6|10:00:00|11:00:00|651 Benfield Road, Severna Park, MD 21146
CROFTON OPEN GROUP|Location is: Prince of Peace Presbyterian Church|6|20:00:00|21:00:00|Ardsley Place & Crofton Parkway, Crofton, MD 21114
ONE PAGE AT A TIME WOMEN'S BIG BOOK|Location is: St. Paul's Lutheran church|2|19:00:00|20:00:00|1370 Defense Hwy. (Rt. 450), Crofton, MD 
CROFTON MONDAY NIGHT|Location is: St. Paul's Lutheran Church|2|20:30:00|21:30:00|1370 Defense Highway (Rt. 450), Crofton, MD 
CROFTON STEP GROUP|Location is: St. Paul's Lutheran church|3|20:30:00|21:30:00|1370 Defense Hwy. (Rt. 450), Crofton, MD 
WE ARE LIT GROUP|Location is: Community United Methodist Church|5|19:30:00|20:30:00|Reidel Road & Route 424, Crofton, MD 
TWILIGHT ZONE (LIVING SOBER)|Location is: St. Paul's Lutheran church|6|19:00:00|20:00:00|1370 Defense Hwy. (Rt. 450), Crofton, MD 
UPON AWAKENING|Location is: Community United Methodist Church|7|09:00:00|10:00:00|Reidel Road & Route 424, Crofton, MD 
CROFTON OPEN|Location is: Pr. Of Peace Presby. Church|6|20:00:00|21:00:00|Ardsley Pl. Off Rt. 3, Crofton, MD 
ODENTON DISCUSSION|Location is: 1st Evangelist Lutheran Church|5|20:30:00|21:30:00|Rt. 170 & Odenton Road, Odenton, MD 21113
ODENTON BIG BOOK|Location is: Ark & Dove Presbyterian|1|19:30:00|20:30:00|8424 Piney Orchard Parkway, Odenton, MD 21113
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|1|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
CONTRA TRADITION/CONCEPT MTG.|Location is: Celebrate Recovery Bookstore|1|19:00:00|20:00:00|513 Center Drive, Severna Park, MD 21146
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|2|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|3|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
LANGUAGE OF THE HEART|Location is: Celebrate Recovery Bookstore|3|18:00:00|19:00:00|513 Center Drive, Severna Park, MD 21146
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|4|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|5|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|6|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
HAPPY HOUR GROUP|Location is: Celebrate Recovery Bookstore|6|17:30:00|18:30:00|513 Center Drive, Severna Park, MD 21146
WAKE-UP WEST|Location is: Celebrate Recovery Bookstore|7|06:00:00|07:00:00|513 Center Drive, Severna Park, MD 21146
YOUNG PEOPLE|Location is: Health Ctr.|5|20:30:00|21:30:00|1307 Odenton Rd., Odenton, MD 21113
SHARING GROUP|Location is: St. Martin's in the Field|1|19:30:00|20:30:00|Benfield Road, Severna Park, MD 
WEDNESDAY NIGHT DISCUSSION|Location is: 1st Evangelist Lutheran Church|4|20:30:00|21:30:00|Route 170 & Odenton Roads, Odenton, MD 
FT. MEADE GRATEFUL SURVIVORS|Location is: Nichols Bethel Church|6|20:00:00|21:00:00|Rte 175 (between Rte 170 & Odenton Shopping Center), Odenton, MD 
CROFTON MON. NIGHT|Location is: St. Paul`s Luth. Church|2|20:30:00|21:30:00|1370 Defense Highway, Crofton, MD 21114
12 & 12 RECOVERY GROUP|Location is: Trinity United Methodist Church|1|20:00:00|21:00:00|956 Patuxent Road, Woodwardville, MD 21113
NEW WAY OF LIFE GROUP|Location is: Severna Park Baptist Church|2|19:30:00|20:30:00|506 Benfield Road, Severna Park, MD 21146
SEVERNA PARK TUESDAY AFTERNOON|Location is: Saint Martin's in The Field|3|12:30:00|13:30:00|375 Benfield Road, Severna Park, MD 21146-2794
12 & 12 STEP STUDY|Location is: Saint Martin's in The Field|3|19:30:00|20:30:00|375 Benfield Road, Severna Park, MD 21146-2794
FREEDOM GROUP|Location is: Saint Martin's in The Field|4|19:30:00|20:30:00|375 Benfield Road, Severna Park, MD 21146-2794
AS BILL SEES IT|Location is: Saint Martin's in The Field|5|12:30:00|13:30:00|375 Benfield Road, Severna Park, MD 21146-2794
FRIDAY NOON STEP|Location is: Saint Martin's in The Field|6|00:00:00|01:00:00|375 Benfield Road, Severna Park, MD 21146-2794
STUDY GROUP|Location is: Our Shepherd Lutheran Church|5|19:30:00|20:30:00|400 Benfield Road, Severna Park, MD 21146
CROFTON STEP|Location is: St. Paul`s Church|3|20:30:00|21:30:00|Rte. 450, Crofton, MD 
NEW ATTITUDE GROUP|Location is: St. Bernadette's Rectory|2|17:30:00|18:30:00|801 Stevenson Road, Severn, MD 21144
NEW ATTITUDE GROUP|Location is: St. Bernadette's Rectory|3|17:30:00|18:30:00|801 Stevenson Road, Severn, MD 21144
NEW ATTITUDE GROUP|Location is: St. Bernadette's Rectory|4|17:30:00|18:30:00|801 Stevenson Road, Severn, MD 21144
NEW ATTITUDE GROUP 2|Location is: St. Bernadette's Rectory|5|00:00:00|01:00:00|801 Stevenson Road, Severn, MD 21144
NEW ATTITUDE GROUP|Location is: St. Bernadette's Rectory|5|17:30:00|18:30:00|801 Stevenson Road, Severn, MD 21144
NEW ATTITUDE GROUP|Location is: St. Bernadette's Rectory|6|17:30:00|18:30:00|801 Stevenson Road, Severn, MD 21144
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|1|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|2|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|3|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|4|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|5|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|6|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
WAKE-UP GROUP|Location is: Woods Memorial Youth Center|7|06:00:00|07:00:00|617 Baltimore Annapolis Blvd., Severna Park, MD 21146
SEVERNA PARK SAT NIGHT GROUPS|Location is: Woods Memorial Church|7|20:30:00|21:30:00|611 Baltimore & Annapolis Boulevard, Severna Park, MD 21146
NEW ATTITUDE GROUP 3|Location is: St. Bernadette&#39;s Rectory|2|18:00:00|19:00:00|801 Stevenson Road, Severn, MD 
NEW ATTITUDE GROUP 3|Location is: St. Bernadette&#39;s Rectory|3|18:00:00|19:00:00|801 Stevenson Road, Severn, MD 
