Steps to Sobriety|Location is: Prineville, Oregon USA|1|12:00:00|13:00:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|7|12:00:00|13:00:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|6|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|5|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|5|12:00:00|13:00:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|4|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|3|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754
Steps to Sobriety|Location is: Prineville, Oregon USA|2|17:30:00|18:30:00|396 NE 2nd St., prineville, OR 97754
Willing To Go To Any Lengths|Location is: Rebels Roost|6|12:00:00|13:00:00|396 NE 2nd, prineville, OR 97754
H.O.W. WOMEN|Location is: NORTH BEND COMMUNITY CHURCH|4|19:00:00|20:00:00|116 E 3rd, NORTH BEND, OR 97701
C.O.F.H.|Location is: Bend|5|17:30:00|18:30:00|Thurston Av, bend, OR 97701
New Horizons|Location is: Trinity Episcopal Church|7|10:30:00|11:30:00|469 NW Wall Street, bend, OR 97701
New Horizons|Location is: Trinity Episcopal Church|1|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701
New Horizons|Location is: Trinity Episcopal Church|5|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701
New Horizons|Location is: Trinity Episcopal Church|4|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701
New Horizons|Location is: Trinity Episcopal Church|3|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701
New Horizons|Location is: Trinity Episcopal Church|2|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701
24 and alive|Location is: In town|2|12:00:00|13:00:00|Main Drag, bend, OR 97739
McKenzie Bridge Group|Location is: McKenzie Bridge Group|2|19:00:00|20:00:00|First Christian Church, McKenzie Bridge, OR 
Cascade Group|Location is: Cascade Group|4|20:00:00|21:00:00|76387 Crestview St, St. Michael's Catholic, Oakridge, OR 
Cascade Group|Location is: Cascade Group|7|20:00:00|21:00:00|76387 Crestview St, St. Michael's Catholic, Oakridge, OR 
When the Rubber Meets the Road|Location is: Lowell Grange Hall|3|19:00:00|20:00:00|2nd & Moss, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|1|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|2|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|3|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|4|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|5|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|6|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 2|Location is: Lowell Serenity Club|7|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group|Location is: Lowell Serenity Club|2|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group|Location is: Lowell Serenity Club|3|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group|Location is: Lowell Serenity Club|4|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group|Location is: Lowell Serenity Club|5|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group|Location is: Lowell Serenity Club|6|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 4|Location is: Lowell Serenity Club|7|10:00:00|11:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 4|Location is: Lowell Serenity Club|1|10:00:00|11:00:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 3|Location is: Lowell Serenity Club|3|16:30:00|17:30:00|101 W Main St, Lowell, OR 97452
Lowell Serenity Group 3|Location is: Lowell Serenity Club|6|16:30:00|17:30:00|101 W Main St, Lowell, OR 97452
Expect a Miracle|Location is: Goshen, OR|3|19:00:00|20:00:00|Dillard Access Rd., Goshen, eugene, OR 97405
Creswell 12x12|Location is: Creswell 12x12|2|19:00:00|20:00:00|298 Oregon Ave, Creswell Grange Hall, Creswell, OR 97426
Regalo de Vida|Location is: St Alice Catholic Church|1|12:00:00|13:00:00|1520 F St., Springfield, OR 97477
Regalo de Vida|Location is: St Alice Catholic Church|5|19:30:00|20:30:00|1520 F St., Springfield, OR 97477
Recovery's Real|Location is: Recovery's Real|5|19:00:00|20:00:00|1550 S. St., Springfield, OR 97477
Recovery In Motion|Location is: New Thought Center|1|20:00:00|21:00:00|, , OR 
Serenity & Sobriety Now|Location is: Ameican Legion Hall|5|20:00:00|21:00:00|8th & "C" St., Springfield, OR 97477
ue	pm07:00-08:00	Springfield Study Group	Springfield 	|Location is: First Christian Church |3|19:00:00|20:00:00|418 A St, Springfield, OR 97477
11th Step Meeting|Location is: 1rst Christian Church|3|07:00:00|08:00:00|4th & A St, Springfield, OR 97477
Friends of Dr. Bob|Location is: Friends of Dr. Bob|5|19:00:00|20:00:00|554 Water St., Springfield, OR 97477
New Beginnings Group|Location is: New Beginnings Group|1|18:00:00|19:00:00|19th & Harvey, Knights of Columbus, Cottage Grove, OR 
Big Book Study Group|Location is: Big Book Study Group|2|19:30:00|20:30:00|1301 W Main St, St. Andrew's Church, Cottage Grove, OR 
No Name|Location is: New Beginnings Group|2|19:00:00|20:00:00|19th & Harvey, Knights of Columbus, Cottage Grove, OR 
Cottage Grove Group|Location is: Cottage Grove Group|3|00:00:00|01:00:00|1015 N 19th St, Knights of Columbus, Cottage Grove, OR 
Wednesday Beginner's Group|Location is: Wednesday Beginner's Group|4|19:00:00|20:00:00|1015 N 19th, K of C BIdg, Cottage Grove, OR 
Cottage Grove Gratitude|Location is: Wednesday Beginner's Group|5|20:00:00|21:00:00|1015 N 19th, K of C BIdg, Cottage Grove, OR 
Women's Good Grief|Location is: Big Book Study Group|7|00:00:00|01:00:00|1301 W Main St, St. Andrew's Church, Cottage Grove, OR 
Rush Hour|Location is: Community Center|5|18:30:00|19:30:00|700 Gibbs St,, Cottage Grove, OR 97424
Saturday Night Candlelight|Location is: Saturday Night Candlelight|7|20:00:00|21:00:00|700 Gibbs St., Cottage Grove, OR 97424
Sunday Candle Light Meeting|Location is: Downstairs |1|20:00:00|21:00:00|1111 Main st., klamath falls, OR 97601
6:45 AM Men's Meeting|Location is: Harlow & Honeysuckle|3|06:45:00|07:45:00|3484 Harlow Rd, Eugene, OR 97401
6:45 AM Men's Meeting|Location is: Harlow & Honeysuckle|5|06:45:00|07:45:00|3484 Harlow Rd, Eugene, OR 97401
Women&#39;s Courage to Change|Location is: Westminster Presbyterian|2|19:00:00|20:00:00|777 Coburg Rd., eugene, OR 97401
Timberline|Location is: St. John in the Woods Church|4|19:30:00|20:30:00|24905 E Woodsey Way, Welches, OR 97067
Timberline|Location is: St. John in the Woods Church|1|19:30:00|20:30:00|24905 E Woodsey Way, Welches, OR 97067
Welches Saturday Evening Step Meeting|Location is: St. John in the Woods Church|7|17:00:00|18:00:00|24905 E. Woodsey Way, Welches, OR 97067
