Allison Park Wednesday Morning|Location is: Memorial Park Presby. Church-Clayton Community Center |4|10:00:00|11:00:00|8800 Peebles Rd at Duncan Rd., allison_park, PA 
Road to Recovery|Location is: St. John&#39;s Church|2|19:00:00|20:00:00|Alleghent St., jersey_shore, PA 17740
WILLIAMSPORT GROUP|Location is: Grace United Methodist Church|3|19:00:00|20:00:00|Grace/campbell sts., williamsport, PA 17701
Happy Hour|Location is: St. Andrews Episcopal Church|6|17:30:00|18:30:00|251s Derr Drive (Rt 15), lewisburg, PA 
Day By Day|Location is: First Baptist Church|2|12:00:00|13:00:00|3rd & St. Louis , lewisburg, PA 17837
BYOBB|Location is: Christ Episcopal Church|1|19:00:00|20:00:00|128 Prince St., Hamilton, PA 17857
Sobrity Rocks|Location is: Recovery house|5|08:00:00|09:00:00|N Main St, Towanda, PA 18848
The Dallas Group|Location is: Holy Communion Church|3|20:00:00|21:00:00|Church St., DALLAS, PA 18612
Harrisburg Group|Location is: Harrisburg Group|5|19:30:00|20:30:00|6th & Smith, First Christian Church, Harrisburg, PA 
Thursday Night Step Group|Location is: Messiah United Methodist Church|5|20:00:00|21:00:00|6722 Penn Ave S, Plymouth, PA 
Close To Home|Location is: Lutheran Church|3|18:45:00|19:45:00|Bennett St., luzerne, PA 
Close to Home|Location is: Luzerne|3|18:45:00|19:45:00|446 Bennett Street, luzerne, PA 18709
gods grace|Location is: kingston,pa.|2|10:00:00|11:00:00|30 butler st., kingston, PA 18704
Town Hall Group|Location is: Salvation Army|3|20:00:00|21:00:00|17 S Pennsylvania Ave, Wilkes-Barre, PA 18701
FREELAND GROUP|Location is: FREELAND METHODIST CHURCH|2|20:00:00|21:00:00|201 WASHINGTON ST, FREELAND, PA 18224
See Lonoke|Location is: See Lonoke|N/A|00:00:00|01:00:00|, Carlisle, PA 
Palmyra Sunday|Location is: Zion Episcopal Church|1|20:30:00|21:30:00|120 E Main St, Palmyra, PA 17078
PITTSTON GROUP|Location is: CONGREGATIONAL CHURCH OF PITTSTON|4|19:30:00|20:30:00|ROUTE 27 AND ARNOLD ROAD, PITTSTON, PA 
PITTSTON GROUP|Location is: CONGREGATIONAL CHURCH OF PITTSTON|6|19:30:00|20:30:00|ROUTE 27 AND ARNOLD ROAD, PITTSTON, PA 
Wellsville Action Step|Location is: School Basement|7|18:30:00|19:30:00|24 Maple Ave, wellsville, PA 14895
Newton Falls - Paris Township|Location is: Paris Township Fire Hall|6|20:30:00|21:30:00|9355 Newton Falls Rd., Newton Falls, PA 18411
NEW START GROUP|Location is: Church of the Holy Innocents|2|17:30:00|18:30:00|210 S. Chestnut St., HOLLY SPRINGS, PA 17065
Howard City|Location is: VFW Hall|4|19:30:00|20:30:00|Old 131, Howard City, PA 18518
Acceptance Group|Location is: St. Andrew's Annex|7|20:30:00|21:30:00|N. Main & York Sts., Lawrenceville, PA 18641
Acceptance / Awareness|Location is: Somers Hall|1|19:30:00|20:30:00|10 South Main St., canisteo, PA 14823
Living Sober|Location is: Baptist Church|3|19:30:00|20:30:00|Howell St, Bath, PA 14810
Alfred 4 Sobriety|Location is: Union Hall|6|19:00:00|20:00:00|corner of Main and Church Streets and Main Strret, Alfred, PA 14802
Alfred 4 Sobriety|Location is: Alfred |6|20:30:00|21:30:00|N Main St & Church St, Alfred, PA 14802
Hornell Newcomers|Location is: St Anns School|3|19:00:00|20:00:00|Elm St & Erie Ave, Hornell, PA 14843
RECONSTRUCTION ZONE|Location is: RECONSTRUCTION ZONE|5|17:00:00|18:00:00|1337 Penn. Ave., Southeast, PA 19565
RECONSTRUCTION ZONE|Location is: RECONSTRUCTION ZONE|7|11:00:00|12:00:00|1337 Penn. Ave., Southeast, PA 19565
Northwestern Group|Location is: Ebenezer UCC Church|5|19:00:00|20:00:00|7200 Decatur St (Rt 143), New Tripoli, PA 
Northwestern Group|Location is: Ebenezer UCC Church|3|19:00:00|20:00:00|7200 Decatur St (Rt 143), New Tripoli, PA 
Frog Pond|Location is: Bern Evangelical Lutheran Church|6|19:00:00|20:00:00|, , PA 
DOVER GROUP|Location is: CALVARY LUTHERAN PARISH HOUSE|2|19:00:00|20:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP|Location is: CALVARY LUTHERAN PARISH HOUSE|3|19:00:00|20:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP|Location is: CALVARY LUTHERAN PARISH HOUSE|4|19:00:00|20:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP|Location is: CALVARY LUTHERAN PARISH HOUSE|5|19:00:00|20:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP|Location is: CALVARY LUTHERAN PARISH HOUSE|6|19:00:00|20:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP 2|Location is: CALVARY LUTHERAN PARISH HOUSE|7|08:00:00|09:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP|Location is: CALVARY LUTHERAN PARISH HOUSE|7|19:00:00|20:00:00|5 N. MAIN ST, Dover, PA 17315
DOVER GROUP 3|Location is: CALVARY LUTHERAN PARISH HOUSE|1|16:00:00|17:00:00|5 N. MAIN ST, Dover, PA 17315
Buckeye Easy Does It 3|Location is: Buckeye Easy Does It|3|14:15:00|15:15:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|6|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|2|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|7|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|1|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Beginners|Location is: Beginners|2|14:15:00|15:15:00|16732 E. Iliff Ave (Shop. Ctr) 695-7766, Aurora, PA 16732
Buckeye Stag|Location is: Buckeye Stag|1|14:00:00|15:00:00|16732 E. Iliff Ave. (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|4|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|4|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Beginners|Location is: Beginners|6|14:15:00|15:15:00|16732 E. Iliff Ave (Shop. Ctr) 695-7766, Aurora, PA 16732
Beginners|Location is: Beginners|4|14:15:00|15:15:00|16732 E. Iliff Ave (Shop. Ctr) 695-7766, Aurora, PA 16732
Beginners|Location is: Beginners|5|14:15:00|15:15:00|16732 E. Iliff Ave (Shop. Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|4|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|3|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|3|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|3|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|5|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|5|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|5|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|1|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|1|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Early Bird|Location is: Early Bird|7|null|N/A|16732 E. Iliff (Shop. Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|7|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|2|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|2|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It|Location is: Buckeye Easy Does It|6|14:00:00|15:00:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
Buckeye Easy Does It 2|Location is: Buckeye Easy Does It|6|14:45:00|15:45:00|16732 E Iliff Av (Shop Ctr) 695-7766, Aurora, PA 16732
BACK TO BASICS|Location is: GOOD SHEPHERD UCC|6|19:00:00|20:00:00|3940 MOUNTAIN ROAD, SLATINGTON, PA 18080
Springview Group|Location is: St Johns Lutheran Church|1|20:00:00|21:00:00|729 Penn Avenue,, reading, PA 19608
WOMEN IN RECOVERY|Location is: PROVIDENCE PRESBYTERIAN CH.|4|18:30:00|19:30:00|1215 CHURCH RD., York, PA 17404
SOBRIETY FIRST GROUP|Location is: PLEASUREVILLE UMC|4|19:30:00|20:30:00|2606 N. SHERMAN ST., York, PA 17406
SOBRIETY FIRST GROUP|Location is: PLEASUREVILLE UMC|1|19:30:00|20:30:00|2606 N. SHERMAN ST., York, PA 17406
PATHFINDERS GROUP|Location is: NEW CREATION COMM. CHURCH|2|19:30:00|20:30:00|3005 EMIG MILL RD., Dover, PA 
PATHFINDERS GROUP|Location is: NEW CREATION COMM. CHURCH|5|19:30:00|20:30:00|3005 EMIG MILL RD., Dover, PA 
Advent Men's|Location is: Advent Lutheran Church|3|20:00:00|21:00:00|16 Telford Avenue, reading, PA 19609
RIDGEWOOD GROUP|Location is: MT. ZION UCC|5|20:00:00|21:00:00|1054 RIDGEWOOD RD., York, PA 17406
PATHWAY TO PEACE|Location is: FAITH UMC|2|19:30:00|20:30:00|126 E. MARKET ST., Hallam, PA 17406
SUNRISE SOBER AT SEVEN GROUP|Location is: FIRST CHRISTIAN CHURCH|2|07:00:00|08:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
HIGH NOON GROUP|Location is: FIRST CHRISTIAN CHURCH|2|12:00:00|13:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
SUNRISE SOBER AT SEVEN GROUP|Location is: FIRST CHRISTIAN CHURCH|3|07:00:00|08:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
HIGH NOON GROUP|Location is: FIRST CHRISTIAN CHURCH|3|12:00:00|13:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
SUNRISE SOBER AT SEVEN GROUP|Location is: FIRST CHRISTIAN CHURCH|4|07:00:00|08:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
HIGH NOON GROUP|Location is: FIRST CHRISTIAN CHURCH|4|12:00:00|13:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
HEALTH PROFESSIONAL GROUP|Location is: FIRST CHRISTIAN CHURCH|4|18:00:00|19:00:00|10TH AND WALNUT, COLUMBIA, PA 17512
