EMORY GROUP|Location is: EMORY GROUP|3|20:00:00|21:00:00|TEXAS STREET AND HWY 19 NORTH, EMORY, TX 
Fellowship Group|Location is: Charlie&#39;s Place|1|11:00:00|12:00:00|McKinze & I-37, corpus_christi, TX 
Bridge City AA|Location is: Bridge City, Texas|1|00:00:00|01:00:00|Dobyn Street, bridge_city, TX 
Colorado City Group|Location is: Episcopal Churc|3|20:00:00|21:00:00|304 Locust St, colorado_city, TX 79512
Colorado City Big Book|Location is: Episcopal Churc|5|20:00:00|21:00:00|304 Locust St, colorado_city, TX 79512
Eastland AA|Location is: residential|7|20:00:00|21:00:00|302 N College, eastland, TX 76448
Alcoholics Anonymous|Location is: A.A. Bldg|7|20:00:00|21:00:00|302 N College Ave, Eastland, TX 76448
Eastland AA|Location is: residential|2|18:00:00|19:00:00|302 N College, eastland, TX 76448
Eastland AA|Location is: residential|3|20:00:00|21:00:00|302 N College, eastland, TX 76448
Eastland AA|Location is: residential|5|18:00:00|19:00:00|302 N College, eastland, TX 76448
EASTLAND|Location is: EASTLAND|2|18:00:00|19:00:00|302 N COLLEGE ST, EASTLAND, TX 76448
EASTLAND|Location is: EASTLAND|5|18:00:00|19:00:00|302 N COLLEGE ST, EASTLAND, TX 76448
EASTLAND|Location is: EASTLAND|3|20:00:00|21:00:00|302 N COLLEGE ST, EASTLAND, TX 76448
EASTLAND|Location is: EASTLAND|7|20:00:00|21:00:00|302 N COLLEGE ST, EASTLAND, TX 76448
Hamilton Group|Location is: St. John&#39;s Lutheran Church|2|19:00:00|20:00:00|122 Cheyenne Mesa Rd, Hamilton, TX 76531
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|1|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|2|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|3|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|4|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|5|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|6|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|7|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 3|Location is: STEPHENVILLE GROUP|1|18:00:00|19:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 3|Location is: STEPHENVILLE GROUP|3|18:00:00|19:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 3|Location is: STEPHENVILLE GROUP|5|18:00:00|19:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|1|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|2|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|3|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|4|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|5|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|6|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|7|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401
Serenity in Sobriety|Location is: Serenity in Sobriety|5|14:00:00|15:00:00|Steinmetz House, Sonora, TX 
Single Purpose Red Church|Location is: Single Purpose Red Church|6|14:00:00|15:00:00|, Sonora, TX 
THERE IS A SOLUTION|Location is: MCREE HALL|2|20:00:00|21:00:00|CHERRY STREET, GRAHAM, TX 76450
THERE IS A SOLUTION|Location is: MCREE HALL|5|20:00:00|21:00:00|CHERRY STREET, GRAHAM, TX 76450
Sobriety & Beyond|Location is: AI-.An Club|3|17:15:00|18:15:00|76I Cass SI., Cranbury, TX 76476
HOUR HOUSE|Location is: HOUR HOUSE|1|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE|Location is: HOUR HOUSE|2|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE|Location is: HOUR HOUSE|3|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE|Location is: HOUR HOUSE|4|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE|Location is: HOUR HOUSE|5|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE|Location is: HOUR HOUSE|6|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE|Location is: HOUR HOUSE|7|12:00:00|13:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|1|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|2|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|3|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|4|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|5|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|6|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
HOUR HOUSE 2|Location is: HOUR HOUSE|7|20:00:00|21:00:00|502 SE 6TH AVE, MINERAL WELLS, TX 76067
ARCHER GROUP|Location is: MASONIC LODGE|5|20:00:00|21:00:00|700 N CENTER HIGHWAY 79 NORTH, ARCHER CITY, TX 76374
SUNRISE SERENITY|Location is: SUNRISE SERENITY|2|07:00:00|08:00:00|1905 W PEARL ST, GRANBURY, TX 76048
SUNRISE SERENITY|Location is: SUNRISE SERENITY|4|07:00:00|08:00:00|1905 W PEARL ST, GRANBURY, TX 76048
SUNRISE SERENITY|Location is: SUNRISE SERENITY|6|07:00:00|08:00:00|1905 W PEARL ST, GRANBURY, TX 76048
OLDE TIMEY GROUP|Location is: OLDE TIMEY GROUP|2|18:00:00|19:00:00|105 NE BARNARD ST, GLEN ROSE, TX 76043
OLDE TIMEY GROUP|Location is: OLDE TIMEY GROUP|5|18:00:00|19:00:00|105 NE BARNARD ST, GLEN ROSE, TX 76043
OLDE TIMEY GROUP|Location is: OLDE TIMEY GROUP|6|18:00:00|19:00:00|105 NE BARNARD ST, GLEN ROSE, TX 76043
710 Group|Location is: Midland Texas|1|17:00:00|18:00:00|710 W. Ohio St, midland, TX 79701
Eye Opener Group|Location is: Eye Opener Group|2|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701
Grass Roots|Location is: Eye Opener Group|2|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Round Table|Location is: Eye Opener Group|2|17:30:00|18:30:00|123 W Windsor (Club), Glendale, TX 79701
BYOC Men's Stag|Location is: Eye Opener Group|2|18:30:00|19:30:00|123 W Windsor (Club), Glendale, TX 79701
123 W Windsor (Club)|Location is: Eye Opener Group|2|19:00:00|20:00:00|123 W Windsor (Club), Glendale, TX 79701
The Gong Show|Location is: Eye Opener Group|2|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Eye Opener Group|Location is: Eye Opener Group|3|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701
Glendale|Location is: Eye Opener Group|3|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Young People's|Location is: Eye Opener Group|3|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701
Armenian|Location is: Eye Opener Group|3|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Glendale All Age Group|Location is: Eye Opener Group|3|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Eye Opener Group|Location is: Eye Opener Group|4|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701
Glendale Nooners|Location is: Eye Opener Group|4|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Glendale Neet|Location is: Eye Opener Group|4|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701
ArmenianAmerican Sobers|Location is: Eye Opener Group|4|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Easy Does It|Location is: Eye Opener Group|4|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Eye Opener Group|Location is: Eye Opener Group|5|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701
123 W Windsor (Club)|Location is: Eye Opener Group|5|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Men's|Location is: Eye Opener Group|5|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701
Women's Topic|Location is: Eye Opener Group|5|18:15:00|19:15:00|123 W Windsor (Club), Glendale, TX 79701
Question Mark Group|Location is: Eye Opener Group|5|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Eye Opener Group|Location is: Eye Opener Group|6|07:00:00|08:00:00|123 W Windsor (Club), Glendale, TX 79701
Friday Rap Group|Location is: Eye Opener Group|6|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Early Bird Book Study|Location is: Eye Opener Group|6|18:30:00|19:30:00|123 W Windsor (Club), Glendale, TX 79701
Glendale Trouble Shooters|Location is: Eye Opener Group|6|20:30:00|21:30:00|123 W Windsor (Club), Glendale, TX 79701
Men's Stag|Location is: Eye Opener Group|7|09:30:00|10:30:00|123 W Windsor (Club), Glendale, TX 79701
Question & Answer|Location is: Eye Opener Group|7|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Beginners Workshop|Location is: Eye Opener Group|7|18:00:00|19:00:00|123 W Windsor (Club), Glendale, TX 79701
New Leaf|Location is: Eye Opener Group|7|20:00:00|21:00:00|123 W Windsor (Club), Glendale, TX 79701
Glendale Coffee Break|Location is: Eye Opener Group|1|12:30:00|13:30:00|123 W Windsor (Club), Glendale, TX 79701
Sunday|Location is: Eye Opener Group|1|17:45:00|18:45:00|123 W Windsor (Club), Glendale, TX 79701
Armenian Meeting|Location is: Eye Opener Group|1|20:00:00|21:00:00|123 W Windsor (Club), Glendale, TX 79701
Turning Point|Location is: Eye Opener Group|1|20:00:00|21:00:00|123 W Windsor (Club), Glendale, TX 79701
GRANBURY SERENITY 5|Location is: GRANBURY SERENITY|1|09:30:00|10:30:00|1205 N LIPAN DR, GRANBURY, TX 76048
GRANBURY SERENITY|Location is: GRANBURY SERENITY|2|10:00:00|11:00:00|1205 N LIPAN DR, GRANBURY, TX 76048
