Keep it Simple Group|Location is: United Church (Route 15)|2|20:00:00|21:00:00|Park Street, underhill, VT 
MONDAY MONTPELIER|Location is: MONDAY MONTPELIER|2|20:00:00|21:00:00|222 1/2 Main St., Montpelier, VT 05602
MONTPELIER WEDNESDAY|Location is: MONDAY MONTPELIER|4|20:00:00|21:00:00|222 1/2 Main St., Montpelier, VT 05602
SATURDAY MONTPELIER|Location is: MONDAY MONTPELIER|7|00:00:00|01:00:00|222 1/2 Main St., Montpelier, VT 05602
Barton Discussion Group|Location is: Barton Public Library|5|20:00:00|21:00:00|, Barton, VT 
FEDERATED CHURCH|Location is: FEDERATED CHURCH|2|19:30:00|20:30:00|162 MAIN STREET, ORLEANS, VT 05860
Atlantic Group|Location is: St. Michaels' College Chapel|6|20:00:00|21:00:00|Saint Michaels College, colchester, VT 
KEEP THE FOCUS BIG BOOK|Location is: Epiphany Lutheran Church|4|20:00:00|21:00:00|10503 Valley View Rd,@ Rt 8, Northfield Center, VT 
Easy Does It|Location is: First Parish Ch.|3|19:30:00|20:30:00|Main St., Groton, VT 05046
Burlington Young People&#39;s (BYP)|Location is: McClure MultiGenerational Center|1|18:30:00|19:30:00|241 North Winooski Avenue, burlington, VT 05401
Sunday Morning Group|Location is: North Country Hospital(library conference room)|1|09:00:00|10:00:00|, , VT 
Saturday Night Speaker |Location is: Church of God|7|18:00:00|19:00:00|Crawford Rd, Derby, VT 05855
Old Timers Group|Location is: Unitarian Church @ Blinking Lights?|1|18:00:00|19:00:00|Main St., NORTHFIELD, VT 05663
Early Birds|Location is: Union Church|4|18:30:00|19:30:00|1317 Main St, Concord, VT 05824
ONBO|Location is: Union Church|4|20:00:00|21:00:00|1317 Main St, Concord, VT 05824
Wake-Up Call|Location is: Union Church|3|06:45:00|07:45:00|1317 Main St, Concord, VT 05824
Wake-Up Call|Location is: Union Church|5|06:45:00|07:45:00|1317 Main St, Concord, VT 05824
Wake-Up Call|Location is: Union Church|7|08:30:00|09:30:00|1317 Main St, Concord, VT 05824
Union Church|Location is: Union Church|2|20:00:00|21:00:00|1317 Main St, Concord, VT 05824
Beyond the Sandbar|Location is: South Hero Congregational Church|1|18:30:00|19:30:00|South Street, south hero, VT 
Diamonds In The Rough|Location is: Club 12|2|19:00:00|20:00:00|1 Durkee St, Plattsburgh, VT 12901
Diamonds In The Rough|Location is: Club 12|5|19:00:00|20:00:00|1 Durkee St, Plattsburgh, VT 12901
YPP|Location is: Club 12|5|20:00:00|21:00:00|1 Durkee St, Plattsburgh, VT 12901
Candlelight|Location is: Club 12|6|22:00:00|23:00:00|1 Durkee St, Plattsburgh, VT 12901
YPP|Location is: Club 12|2|20:00:00|21:00:00|1 Durkee St, Plattsburgh, VT 12901
Diamonds In the Rough|Location is: Plattsburgh, New York|5|18:00:00|19:00:00|1 Durkee Street, plattsburgh, VT 12901
Young People's Progressive|Location is: Club 12|1|20:00:00|21:00:00|1 Durkee St., plattsburgh, VT 12901
Trinity|Location is: plattsburgh|3|13:00:00|14:00:00|pebs church, Plattsburgh, VT 12901
Trinity Group|Location is: 1st Presbyterian Church|7|20:30:00|21:30:00|Brinkerhoff St & Marion St, Plattsburgh, VT 12901
Trinity|Location is: Red Door|7|20:30:00|21:30:00|First Presbyterian Church, plattsburgh, VT 12901
Unity Afternoon|Location is: Red Door|3|13:00:00|14:00:00|First Presbyterian Church, plattsburgh, VT 12901
Trinity|Location is: Red Door|3|20:00:00|21:00:00|First Presbyterian Church, plattsburgh, VT 12901
kiss |Location is: plattsburgh|4|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Kiss Group|Location is: The Net|7|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Kiss Group|Location is: The Net|6|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Kiss Group|Location is: The Net|4|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Kiss Group|Location is: The Net|2|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Kiss Group|Location is: The Net|1|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Kiss Group|Location is: The "NET"|1|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
kiss|Location is: net building|2|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
KISS|Location is: NET Building|1|12:00:00|13:00:00|St.Charles ST., plattsburgh, VT 12901
KISS|Location is: NET Building|7|12:00:00|13:00:00|St.Charles ST., plattsburgh, VT 12901
KISS|Location is: NET Building|6|12:00:00|13:00:00|St.Charles ST., plattsburgh, VT 12901
KISS|Location is: NET Building|4|12:00:00|13:00:00|St.Charles ST., plattsburgh, VT 12901
KISS|Location is: The Net|7|12:00:00|13:00:00|St Charles St, Plattsburgh, VT 12901
Live N Let Live|Location is: Peru|2|19:00:00|20:00:00|community church, peru, VT 12972
Keep it simple|Location is: Cottage house|2|12:00:00|13:00:00|Semore , middlebury, VT 05753
NO. WHITEFIELD BREAKFAST GROUP|Location is: ST DENNIS CHURCH|7|10:00:00|11:00:00|298 GRAND ARMY ROAD ROUTE 126, NORTH WHITEFIELD, VT 
Lancaster Lit Group|Location is: St. Paul&#39;s Episcopal Church|3|19:00:00|20:00:00|Main Street, lancaster, VT 03584
North Country Group Third and Eleven Step|Location is: Weeks Hospital, 3rd Floor|1|09:30:00|10:30:00|Lancaster, NH, lancaster, VT 
BETHEL FREEDOM GROUP|Location is: UNITED METHODIST CHURCH|1|18:00:00|19:00:00|75 MAIN STREET, BETHEL, VT 05032
BETHEL FREEDOM GROUP|Location is: UNITED METHODIST CHURCH|3|18:00:00|19:00:00|75 MAIN STREET, BETHEL, VT 05032
BETHEL FREEDOM GROUP STEP MEETING|Location is: UNITED METHODIST CHURCH|6|18:00:00|19:00:00|75 MAIN STREET, BETHEL, VT 05032
Champlain Northern Tier|Location is: Champlain American Legion|2|19:30:00|20:30:00|127 Elm St, Champlain, VT 12919
Mayflower|Location is: St. Bonaven.|2|19:00:00|20:00:00|Rt. 3-A, Plymouth, VT 03264
.|Location is: Tupper Lake Christian Center|6|20:00:00|21:00:00|114 Park St., saranac lake, VT 12986
.|Location is: St Joes Outpatient Treatment Center|5|20:00:00|21:00:00|91 Woodruff St, saranac lake, VT 12983
.|Location is: Methodest Church|4|20:00:00|21:00:00|63 Church St, Saranac Lake, VT 12983
.|Location is: St Lukes Church|3|20:00:00|21:00:00|136 Main Street, saranac lake, VT 12986
..|Location is: Adirondack Medical Center|1|19:00:00|20:00:00|2233 New York 86, Saranac Lake, VT 12983
Happy Hour (women only)|Location is: Monkland Community Centre|4|17:30:00|18:30:00|Westhill Street, monteral, VT 
Pass It On|Location is: Pass It On|6|14:00:00|15:00:00|8035 S. Quebec St. (Ch), Centennial, VT 1T2
Pass It On|Location is: Pass It On|5|14:00:00|15:00:00|8035 S. Quebec St. (Ch), Centennial, VT 1T2
Pass It On|Location is: Pass It On|4|14:00:00|15:00:00|8035 S. Quebec St. (Ch), Centennial, VT 1T2
Pass It On|Location is: Pass It On|2|14:00:00|15:00:00|8035 S. Quebec St. (Ch), Centennial, VT 1T2
Pass It On|Location is: Pass It On|3|14:00:00|15:00:00|8035 S. Quebec St. (Ch), Centennial, VT 1T2
Freedom|Location is: Faith Lutheran|3|19:00:00|20:00:00|820 Main St., Andover, VT 03216
FRYEBURG HARBOR FRIDAY NIGHT MEETING|Location is: BRADLEY MEMORIAL CHURCH|6|17:30:00|18:30:00|MCNEIL ROAD, FRYEBURG, VT 04037
