Washington|Location is: AA Clubhouse|1|19:00:00|20:00:00|Athens Highway, Washington, WA 
Washington|Location is: AA Clubhouse|2|20:00:00|21:00:00|Athens Highway, Washington, WA 
Washington|Location is: AA Clubhouse|3|20:00:00|21:00:00|Athens Highway, Washington, WA 
Washington|Location is: AA Clubhouse|4|12:00:00|13:00:00|Athens Highway, Washington, WA 
Washington|Location is: AA Clubhouse|5|20:00:00|21:00:00|Athens Highway, Washington, WA 
Washington|Location is: AA Clubhouse|6|20:00:00|21:00:00|Athens Highway, Washington, WA 
Washington|Location is: AA Clubhouse|7|12:00:00|13:00:00|Athens Highway, Washington, WA 
Rocky Hill Group|Location is: Rocky Hill Group|4|19:30:00|20:30:00|Washington & Reeve, Hamilton, WA 
Rocky Hill|Location is: Rocky Hill Group|6|19:30:00|20:30:00|Washington & Reeve, Hamilton, WA 
Rocky Hill|Location is: Rocky Hill Group|3|12:00:00|13:00:00|Washington & Reeve, Hamilton, WA 
LAFAYETTE GROUP|Location is: St John_s Parish House|2|00:00:00|01:00:00|1525 H. St., Northwest, WA 20005
LAFAYETTE SQUARE|Location is: St. John`s Parish House|3|00:00:00|01:00:00|1525 H St., Northwest, WA 20005
LAFAYETTE SQUARE|Location is: St. John`s Parish House|4|00:00:00|01:00:00|1525 H St., Northwest, WA 20005
LAWYERS|Location is: St. John`s Parish House|2|18:30:00|19:30:00|1525 H St., Northwest, WA 20005
B.Y.O.L. NON-SMOKERS|Location is: Metropolitan Ame Church|2|00:00:00|01:00:00|1518 M St., Northwest, WA 20005
B.Y.O.L. NON-SMOKERS|Location is: Metropolitan Ame Church|3|00:00:00|01:00:00|1518 M St., Northwest, WA 20005
B.Y.O.L. NON-SMOKERS|Location is: Metropolitan Ame Church|4|00:00:00|01:00:00|1518 M St., Northwest, WA 20005
B.Y.O.L. NON-SMOKERS|Location is: Metropolitan Ame Church|5|00:00:00|01:00:00|1518 M St., Northwest, WA 20005
B.Y.O.L. NON-SMOKERS|Location is: Metropolitan Ame Church|6|00:00:00|01:00:00|1518 M St., Northwest, WA 20005
GAY WOMEN|Location is: St. Mary`s Epis. Ch. Hall|6|19:15:00|20:15:00|728 23rd St. N.w., Northwest, WA 20037
B.Y.O.L|Location is: St. Matthews Church|2|00:00:00|01:00:00|1729 Rhode Island Ave., Northwest, WA 20036
THE RUINS|Location is: St. Matthews Catholic|7|20:30:00|21:30:00|1729 Rhode Island Ave, Northwest, WA 20036
DAILY REFLECTIONS|Location is: Calvary Baptist Church|3|13:00:00|14:00:00|733 8th St Nw, Washington, WA 20001
DAILY REFLECTIONS|Location is: Calvary Baptist Church|5|13:00:00|14:00:00|733 8th St Nw, Washington, WA 20001
THE FRIENDLY BUNCH|Location is: 1221 M St.|4|18:30:00|19:30:00|1221 M St., Northwest, WA 20005
SOBER SAT. MATINEE|Location is: 1st Bapt. Ch.|7|00:00:00|01:00:00|1328 16th, Northwest, WA 20036
FRIDAY NIGHT FUN TOO|Location is: 1st Baptist Ch.|6|19:45:00|20:45:00|16th & O St., Northwest, WA 20036
MT. CARMEL WOMEN|Location is: Mt. Carmel House|7|10:00:00|11:00:00|471 G Pl., Northwest, WA 20548
TRIANGLE 7|Location is: Club|1|11:00:00|12:00:00|2030 P St, Northwest, WA 20036
WILLING TO GROW|Location is: Club|1|11:00:00|12:00:00|2030 P St, Northwest, WA 20036
TRIANGLE 8|Location is: Club|1|15:00:00|16:00:00|2030 P St, Northwest, WA 20036
GAILY DAILY|Location is: Club|2|00:00:00|01:00:00|2030 P St, Northwest, WA 20036
GAILY DAILY|Location is: Club|3|00:00:00|01:00:00|2030 P St, Northwest, WA 20036
