Center|Location is: Congregational Church|2|18:45:00|19:45:00|, Sutton, WV 
ROAD'S END|Location is: Centenary United Methodist Church|2|20:00:00|21:00:00|Route 468 (Muddy Creek Road), Shadyside, WV 26624
Upshur Uphill Group|Location is: United Methodist Church|1|20:00:00|21:00:00|42 So. Florida Street, buckhannon, WV 26201
Gratitude Group|Location is: Gratitude Group|4|19:00:00|20:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133
Keep It Simple Sister|Location is: Gratitude Group|5|19:00:00|20:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133
Sober Bucks In Veneta|Location is: Gratitude Group|5|19:00:00|20:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133
Gratitude Group|Location is: Gratitude Group|7|09:00:00|10:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133
SIMPLY SOBER|Location is: Lakewood Church of God|2|19:00:00|20:00:00|22820 Fredrick Rd., Clarksburg, WV 
SIMPLY SOBER|Location is: Lakewood Church of God|6|19:00:00|20:00:00|22820 Fredrick Rd., Clarksburg, WV 
Pathfinder|Location is: Pathfinder|2|14:00:00|15:00:00|26349 Hwy 74 (Ch), Kittridge, WV 26349
Pathfinder|Location is: Pathfinder|6|14:00:00|15:00:00|26349 Hwy 74 (Ch), Kittridge, WV 26349
Friday Night Freedom Group|Location is: St Marks Lutheran Church|6|20:00:00|21:00:00|Route 19 S , clarksburg, WV 
Fellowship|Location is: Congregational Church|2|19:30:00|20:30:00|Route 9, Spencer, WV 
Magic Mtn|Location is: Magic Mtn|2|19:30:00|20:30:00|24901 Orchard Village Rd (Church), Valencia, WV 24901
Women's Happy Hour|Location is: Magic Mtn|4|18:00:00|19:00:00|24901 Orchard Village Rd (Church), Valencia, WV 24901
Magic Mtn|Location is: Magic Mtn|6|19:30:00|20:30:00|24901 Orchard Village Rd (Church), Valencia, WV 24901
Women's Early Bird Big Book|Location is: Magic Mtn|7|07:15:00|08:15:00|24901 Orchard Village Rd (Church), Valencia, WV 24901
After Work Meeting|Location is: J. Harper Meredith Bldg|2|17:00:00|18:00:00|Jackson St Entrance, fairmont, WV 26554
Saturday Nite Fever Group|Location is: John Manchin Senior Health Care Hospital|2|19:00:00|20:00:00|401 Guffey St., fairmont, WV 26554
Saturday Nite Fever Group|Location is: John Manchin Senior Health Care Hospital|1|19:00:00|20:00:00|401 Guffey St., fairmont, WV 26554
The Monday Night Group|Location is: Monday Night Group|2|20:30:00|21:30:00|219 Jefferson St., fairmont, WV 26554
The Monday Night Group|Location is: Monday Night Group|1|20:30:00|21:30:00|219 Jefferson St., fairmont, WV 26554
Unnamed Meeting|Location is: Trinity Lutheran Church|4|07:30:00|08:30:00|, , WV 
Unnamed Meeting|Location is: Trinity Lutheran Church|2|07:30:00|08:30:00|, , WV 
Unnamed Meeting|Location is: Trinity Lutheran Church|3|07:30:00|08:30:00|, , WV 
Unnamed Meeting|Location is: Trinity Lutheran Church|5|07:30:00|08:30:00|, , WV 
Unnamed Meeting|Location is: Trinity Lutheran Church|6|07:30:00|08:30:00|, , WV 
Unnamed Meeting|Location is: Trinity Lutheran Church|7|19:00:00|20:00:00|, , WV 
Unnamed Meeting|Location is: Trinity Lutheran Church|1|19:00:00|20:00:00|, , WV 
Mustard Seed|Location is: Trinity Lutheran Church|2|07:30:00|08:30:00|Kanawha Blvd E & Elizabeth St, Charleston, WV 25311
Fairview Fireside|Location is: Fairview Fireside|3|20:00:00|21:00:00|, Fairview, WV 26508
All Our Relations|Location is: Serenity Club|5|20:00:00|21:00:00|1225 Ohio Ave, Dunbar, WV 25064
Fired Up Young People ~ extended to the middle aged & elderly|Location is: Fellowship home|7|22:00:00|23:00:00|George st, parkersburg, WV 26101
George Street Mens Meeting|Location is: MOVFH|1|11:00:00|12:00:00|George Street, parkersburg, WV 26101
Fired Up Young People |Location is: MOVFH|7|22:00:00|23:00:00|George Street, parkersburg, WV 26101
