NEW BEGINNINGS|Location is: St. Mark`s Episc. Church|6|18:15:00|19:15:00|118 3rd St., Southeast, MN 58458|45.5618961|-94.15003839999997
SECOND CHANCE|Location is: St. Thomas Moore Church|1|15:30:00|16:30:00|4265 4th St., Southeast, MN 50401|45.792245|-95.35391229999999
SECOND CHANCE|Location is: St. Thomas Moore Church|6|20:00:00|21:00:00|4265 4th St., Southeast, MN 50401|45.792245|-95.35391229999999
AA Group|Location is: Hope Lutheran Church|5|20:00:00|21:00:00|208 E. South County Rd, Freeman, MN 57029|46.7570762|-92.47058400000003
CAPITOL HILL|Location is: Ch. Of The Reformation|5|20:30:00|21:30:00|2nd & E. Capitol Sts., Northeast, MN 58501|44.886906|-93.16212000000002
WAKE UP SOBER|Location is: Metropolis Club|1|07:00:00|08:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
KOFFEE KLATCH|Location is: Metropolis Club|1|10:30:00|11:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 2|Location is: Metropolis Club|1|13:30:00|14:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
WOMEN_S RAP|Location is: Metropolis Club|1|15:30:00|16:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
CENTRAL|Location is: Metropolis Club|1|17:00:00|18:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 6|Location is: Metropolis Club|1|17:00:00|18:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WAKE UP SOBER|Location is: Metropolis Club|2|07:00:00|08:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LIVING SOBER|Location is: Metropolis Club|2|10:00:00|11:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS|Location is: Metropolis Club|2|00:00:00|01:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 2|Location is: Metropolis Club|2|14:30:00|15:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 3|Location is: Metropolis Club|2|16:00:00|17:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WAKE UP SOBER|Location is: Metropolis Club|3|07:00:00|08:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LIVING SOBER|Location is: Metropolis Club|3|10:00:00|11:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS|Location is: Metropolis Club|3|00:00:00|01:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 2|Location is: Metropolis Club|3|14:30:00|15:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
KEEPING IT TOGETHER|Location is: Metropolis Club|3|16:00:00|17:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WAKE UP SOBER|Location is: Metropolis Club|4|07:00:00|08:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LIVING SOBER|Location is: Metropolis Club|4|10:00:00|11:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS|Location is: Metropolis Club|4|00:00:00|01:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 2|Location is: Metropolis Club|4|14:30:00|15:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 3|Location is: Metropolis Club|4|16:00:00|17:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WAKE UP SOBER|Location is: Metropolis Club|5|07:00:00|08:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LIVING SOBER|Location is: Metropolis Club|5|10:00:00|11:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
Metropolis Club|Location is: Metropolis Club|5|00:00:00|01:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS II Club|Location is: Metropolis Club|5|14:30:00|15:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
KEEPING IT TOGETHER|Location is: Metropolis Club|5|16:00:00|17:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WAKE UP SOBER|Location is: Metropolis Club|6|07:00:00|08:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LIVING SOBER|Location is: Metropolis Club|6|10:00:00|11:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
Metropolis Club|Location is: Metropolis Club|6|00:00:00|01:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
Metropolis Club 2|Location is: Metropolis Club|6|14:30:00|15:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
Metropolis Club 3|Location is: Metropolis Club|6|16:00:00|17:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WAKE UP SOBER|Location is: Metropolis Club|7|07:00:00|08:00:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
MEN?S RAP|Location is: Metropolis Club|7|10:30:00|11:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
MEET THE OLD TIMERS|Location is: Metropolis Club|7|00:00:00|01:00:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS|Location is: Metropolis Club|1|18:30:00|19:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 3|Location is: Metropolis Club|1|20:30:00|21:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 4|Location is: Metropolis Club|2|18:30:00|19:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
CALVARY WOMEN|Location is: Metropolis Club|2|19:30:00|20:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
WOMEN'S RAP|Location is: Metropolis Club|2|19:30:00|20:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 5|Location is: Metropolis Club|2|20:30:00|21:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 4|Location is: Metropolis Club|3|18:30:00|19:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 5|Location is: Metropolis Club|3|20:30:00|21:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
ACCEPTANCE|Location is: Metropolis Club|4|18:30:00|19:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 5|Location is: Metropolis Club|4|20:30:00|21:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
12 STEPS & 12 TRADITIONS|Location is: Metropolis Club|5|18:00:00|19:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 4|Location is: Metropolis Club|5|18:30:00|19:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 5|Location is: Metropolis Club|5|20:30:00|21:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LONELY HEARTS|Location is: Metropolis Club|6|12:00:00|13:00:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS|Location is: Metropolis Club|6|18:30:00|19:30:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
METROPOLIS 5|Location is: Metropolis Club|6|20:30:00|21:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
NIGHT TIME IS THE RIGHT TIME|Location is: Metropolis Club|6|22:00:00|23:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
LONELY HEARTS|Location is: Metropolis Club|7|12:00:00|13:00:00|928 5th St, Northwest, MN 58559|45.3310583|-95.05010770000001
Metropolis Club 4|Location is: Metropolis Club|7|20:30:00|21:30:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
NIGHT TIME IS THE RIGHT TIME|Location is: Metropolis Club|7|22:00:00|23:00:00|928 5th St., Northwest, MN 58559|45.3310583|-95.05010770000001
ST. MARY`S GAY|Location is: Church Hall|2|18:00:00|19:00:00|730 23rd St., Northwest, MN 58723|44.0578975|-92.65913089999998
ST. MARY'S GAY|Location is: Church Hall|2|20:30:00|21:30:00|730 23rd St., Northwest, MN 58723|44.0578975|-92.65913089999998
ST. MARY'S GAY|Location is: Church Hall|3|20:30:00|21:30:00|730 23rd St., Northwest, MN 58723|44.0578975|-92.65913089999998
ST. MARY|Location is: Church Hall|6|18:00:00|19:00:00|730 23rd St., Northwest, MN 58723|44.0578975|-92.65913089999998
HOW IT WORKS|Location is: Church Hall|6|20:30:00|21:30:00|730 23rd St., Northwest, MN 58723|44.0578975|-92.65913089999998
ST. MARY 2|Location is: Church Hall|6|20:30:00|21:30:00|730 23rd St., Northwest, MN 58723|44.0578975|-92.65913089999998
Vermillion Al-Anon|Location is: St Paul Episc Church|2|20:00:00|21:00:00|10 Linden St, Vermillion, MN 57069|47.8749104|-94.17029250000002
THE WOMEN'S MEETING|Location is: Shelter|2|10:00:00|11:00:00|1222 11th St., Northwest, MN 58575|43.6769472|-92.9886368
THE WOMEN'S MEETING|Location is: Shelter|3|10:00:00|11:00:00|1222 11th St., Northwest, MN 58575|43.6769472|-92.9886368
THE WOMEN'S MEETING|Location is: Shelter|4|10:00:00|11:00:00|1222 11th St., Northwest, MN 58575|43.6769472|-92.9886368
THE WOMEN'S MEETING|Location is: Shelter|5|10:00:00|11:00:00|1222 11th St, Northwest, MN 58575|43.6769472|-92.9886368
THE WOMEN'S MEETING|Location is: Shelter|6|10:00:00|11:00:00|1222 11th St, Northwest, MN 58575|43.6769472|-92.9886368
BREAD OF LIFE|Location is: BREAD OF LIFE|3|17:00:00|18:00:00|1525 7th St., Northwest, MN 58575|44.2977896|-93.2910794
BEGINNINGS|Location is: At Scott Harper House|2|20:30:00|21:30:00|1938 15th St., Northwest, MN 58575|47.4831459|-94.91367869999999
TRINITY LUTHERAN CHURCH|Location is: TRINITY LUTHERAN CHURCH|4|19:00:00|20:00:00|116 S GRANT STREET, ADAMS, MN 53910|47.4698299|-94.92742199999998
AMOR Y FE|Location is: 4027 13th St.|7|17:00:00|18:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
AMOR Y FE|Location is: 4027 13th St.|1|20:00:00|21:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
AMOR Y FE|Location is: 4027 13th St.|2|20:00:00|21:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
AMOR Y FE|Location is: 4027 13th St.|3|20:00:00|21:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
AMOR Y FE|Location is: 4027 13th St.|4|20:00:00|21:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
AMOR Y FE|Location is: 4027 13th St.|5|20:00:00|21:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
AMOR Y FE|Location is: 4027 13th St.|6|20:00:00|21:00:00|4027 13th St., Northwest, MN 58540|45.9868229|-94.3882322
FUNCTION AT THE JUNCTION|Location is: VALLEY JUNCTION COMMUNITY CENTER|3|18:00:00|19:00:00|219 5TH ST, DES MOINES, MN 50036|43.61988119999999|-94.99051709999998
BACK ALLEY|Location is: BACK ALLEY|3|17:50:00|18:50:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
BACK ALLEY|Location is: BACK ALLEY|5|17:50:00|18:50:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: 425 Second St.|1|19:00:00|20:00:00|425 Second St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: BACK ALLEY|2|19:00:00|20:00:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: BACK ALLEY|3|19:00:00|20:00:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: BACK ALLEY|4|19:00:00|20:00:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: BACK ALLEY|5|19:00:00|20:00:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: BACK ALLEY|6|19:00:00|20:00:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
NEW WAY RECOVERY|Location is: BACK ALLEY|7|19:00:00|20:00:00|425 2nd St., Northwest, MN 58703|46.5333766|-93.7130737
Tuesday Night Big Book Discussion Group|Location is: Collegiate United Methodist Church|1|20:00:00|21:00:00|2622 Lincoln Way, ames, MN 50010|44.9722553|-93.00962270000002
New: Big Study|Location is: Emmanuel United Church (kitchen)|1|19:00:00|20:00:00|324 W. Main, Manchester, MN 52057|43.7261437|-93.45248800000002
Manchester Group|Location is: Emmanuel United Church (kitchen)|6|19:00:00|20:00:00|324 W. Main, Manchester, MN 52057|43.7261437|-93.45248800000002
FEDERATED CHURCH|Location is: FEDERATED CHURCH|4|12:00:00|13:00:00|116 S STATE STREET, BERLIN, MN 54923|45.8059811|-96.1388804
FEDERATED CHURCH|Location is: FEDERATED CHURCH|4|17:30:00|18:30:00|489 SCOTT STREET, GREEN LAKE, MN 54941|44.7104453|-93.4414539
GREEN LAKE VILLAGE HALL|Location is: GREEN LAKE VILLAGE HALL|7|20:00:00|21:00:00|534 MILL STREET, GREEN LAKE, MN 54941|43.6658999|-94.619552
Camino Nuevo-Spanish|Location is: Camino Nuevo-Spanish|2|18:00:00|19:00:00|1 Centre St., Rocky Hill, MN 52002|45.7568941|-94.92770039999999
7436 University Ave.|Location is: 7436 University Ave.|1|19:00:00|20:00:00|7436 University Ave., MADISON, MN 53562|44.9987104|-93.2537446
6205 University Ave.|Location is: 6205 University Ave.|3|19:00:00|20:00:00|6205 University Ave., MADISON, MN 53705|44.9987104|-93.2537446
WEDNESDAY WOMENS NITE MEETING|Location is: HOUSE OF MERCY|4|19:00:00|20:00:00|1409 CLARK, DES MOINES, MN 50314|44.051828|-95.55133269999999
N.E. SUNRISE|Location is: Holy Name Church|2|07:00:00|08:00:00|920 11th St.ne., Northeast, MN 68756|44.086349|-93.49273649999998
N.E. SUNRISE|Location is: Holy Name Church|3|07:00:00|08:00:00|920 11th St. Ne., Northeast, MN 68756|44.086349|-93.49273649999998
N.E. SUNRISE|Location is: Holy Name Church|4|07:00:00|08:00:00|920 11th St. Ne., Northeast, MN 68756|44.086349|-93.49273649999998
N.E. SUNRISE|Location is: Holy Name Church|5|07:00:00|08:00:00|920 11th St. Ne., Northeast, MN 68756|44.086349|-93.49273649999998
N.E. SUNRISE|Location is: Holy Name Church|6|07:00:00|08:00:00|920 11th St. Ne., Northeast, MN 68756|44.086349|-93.49273649999998
QUALITY INN SUITES|Location is: QUALITY INN SUITES|1|09:00:00|10:00:00|939 3RD ST, DES MOINES, MN 50309|43.6255703|-94.98972470000001
BEGINNERS MEETING|Location is: FIRST METHODIST CHURCH|5|19:15:00|20:15:00|1001 PLEASANT, DES MOINES, MN 50309|43.92005839999999|-94.02356509999998
FOXHALL|Location is: FIRST METHODIST CHURCH|5|20:00:00|21:00:00|1001 PLEASANT, DES MOINES, MN 50309|43.92005839999999|-94.02356509999998
F ANG G 2|Location is: F ANG G|1|09:30:00|10:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 10|Location is: F ANG G|1|15:00:00|16:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 11|Location is: F ANG G|1|19:00:00|20:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G|Location is: F ANG G|2|07:30:00|08:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 2|Location is: F ANG G|2|09:30:00|10:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 3|Location is: F ANG G|2|12:00:00|13:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F AND|Location is: F ANG G|2|19:30:00|20:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G|Location is: F ANG G|3|07:30:00|08:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 2|Location is: F ANG G|3|09:30:00|10:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 3|Location is: F ANG G|3|12:00:00|13:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 4|Location is: F ANG G|3|20:00:00|21:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G|Location is: F ANG G|4|07:30:00|08:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 2|Location is: F ANG G|4|09:30:00|10:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 3|Location is: F ANG G|4|12:00:00|13:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 5|Location is: F ANG G|4|16:30:00|17:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F AND G|Location is: F ANG G|4|20:00:00|21:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G|Location is: F ANG G|5|07:30:00|08:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 2|Location is: F ANG G|5|09:30:00|10:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 3|Location is: F ANG G|5|12:00:00|13:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 4|Location is: F ANG G|5|20:00:00|21:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G|Location is: F ANG G|6|07:30:00|08:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 2|Location is: F ANG G|6|09:30:00|10:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 3|Location is: F ANG G|6|12:00:00|13:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 7|Location is: F ANG G|6|19:30:00|20:30:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 6|Location is: F ANG G|6|00:00:00|01:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 8|Location is: F ANG G|7|11:00:00|12:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 9|Location is: F ANG G|7|13:00:00|14:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 10|Location is: F ANG G|7|15:00:00|16:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
F ANG G 4|Location is: F ANG G|7|20:00:00|21:00:00|315 E 5TH, DES MOINES, MN 50309|43.6201207|-94.99051329999998
UPTOWN|Location is: St. Paul`s Luth. Ch.|4|19:15:00|20:15:00|4900 Conn. Ave., Northwest, MN 52405|45.0793261|-93.1677401
THE FORTUNATES|Location is: Usaid Infor. Center|5|00:00:00|01:00:00|1300 Penn. Ave., Northwest, MN 52405|44.9915207|-93.30820159999996
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|1|19:00:00|20:00:00|1812 1/1 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|2|19:00:00|20:00:00|1812 1/1 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|3|19:00:00|20:00:00|1812 1/2 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|4|19:00:00|20:00:00|1812 1/2 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|5|19:00:00|20:00:00|1812 1/2 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|6|19:00:00|20:00:00|1812 1/2 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
DE LUNES A DOMINGO|Location is: DE LUNES A DOMINGO|7|19:00:00|20:00:00|1812 1/2 SECOND AVE, DES MOINES, MN 50309|43.61941969999999|-94.97770839999998
U.R.S.|Location is: West Des Moines|1|18:00:00|19:00:00|1312 Maple St., west des moines, MN 50265|43.6217105|-94.97779960000003
600 Highland Ave,|Location is: 600 Highland Ave,|3|17:30:00|18:30:00|600 Highland Ave,, MADISON, MN 53705|44.902955|-93.16292879999997
THE DEAL GROUP|Location is: ARCHIE BROOKS HALL|4|19:30:00|20:30:00|2100 SE 5TH ST, DES MOINES, MN 50315|44.0410408|-95.44267479999996
1609 University Ave.|Location is: 1609 University Ave.|5|20:00:00|21:00:00|1609 University Ave., MADISON, MN 53726|45.0044513|-93.25372229999999
tues night madison school|Location is: sebastian school|3|20:00:00|21:00:00|pleasant street, madison, MN 53718|45.01287929999999|-96.17749839999999
1001 University Ave.|Location is: 1001 University Ave.|3|12:00:00|13:00:00|1001 University Ave., MADISON, MN 53706|44.99857249999999|-93.25372319999997
1001 University Ave.|Location is: 1001 University Ave.|2|12:00:00|13:00:00|1001 University Ave., MADISON, MN 53706|44.99857249999999|-93.25372319999997
1001 University Ave.|Location is: 1001 University Ave.|4|12:00:00|13:00:00|1001 University Ave., MADISON, MN 53706|44.99857249999999|-93.25372319999997
1001 University Ave.|Location is: 1001 University Ave.|5|12:00:00|13:00:00|1001 University Ave., MADISON, MN 53706|44.99857249999999|-93.25372319999997
1001 University Ave.|Location is: 1001 University Ave.|6|12:00:00|13:00:00|1001 University Ave., MADISON, MN 53706|44.99857249999999|-93.25372319999997
1001 University Ave. 2|Location is: 1001 University Ave.|5|20:00:00|21:00:00|1001 University Ave., MADISON, MN 53706|44.99857249999999|-93.25372319999997
Madison Meditation and Recovery|Location is: Bethel Lutheran Church, Good Shepherd Chapel|4|17:30:00|18:30:00|312 Wisconsin Ave, Madison, MN 53703|46.8203416|-92.11895629999998
116 W. Washington Ave.|Location is: 116 W. Washington Ave.|2|12:00:00|13:00:00|116 W. Washington Ave., MADISON, MN 53703|44.7506594|-92.8818589
116 W. Washington Ave.|Location is: 116 W. Washington Ave.|3|12:00:00|13:00:00|116 W. Washington Ave., MADISON, MN 53703|44.7506594|-92.8818589
116 W. Washington Ave.|Location is: 116 W. Washington Ave.|4|12:00:00|13:00:00|116 W. Washington Ave., MADISON, MN 53703|44.7506594|-92.8818589
116 W. Washington Ave.|Location is: 116 W. Washington Ave.|5|12:00:00|13:00:00|116 W. Washington Ave., MADISON, MN 53703|44.7506594|-92.8818589
116 W. Washington Ave.|Location is: 116 W. Washington Ave.|6|12:00:00|13:00:00|116 W. Washington Ave., MADISON, MN 53703|44.7506594|-92.8818589
Capital Steps Group|Location is: 116 W. Washington Ave.|7|18:00:00|19:00:00|116 W. Washington Ave., MADISON, MN 53703|44.7506594|-92.8818589
TNT GROUP|Location is: SOUTH TOWN BAPTIST CHURCH|3|19:30:00|20:30:00|6001 SE 5TH, DES MOINES, MN 50315|43.620874|-94.99050899999997
New Confidence|Location is: Eastern House|7|10:00:00|11:00:00|105 Spring St., Cambridge, MN 53523|44.9258065|-93.6506488
PRESBYTERIAN CHURCH|Location is: PRESBYTERIAN CHURCH|5|19:30:00|20:30:00|313 E MAIN STREET, CAMBRIDGE, MN 53523|45.5706552|-93.22408769999998
