Bear Lake Group|Location is: Sweet Water Trailer and Rv Park|5|20:00:00|21:00:00|lot # 148, garden city, MT 84028|45.639345|-108.88577829999997
survivors|Location is: presbyterian church|4|12:00:00|13:00:00|1995 4th st., baker_city, MT 97814|46.3704603|-104.28150440000002
survivors|Location is: presbyterian church|5|17:30:00|18:30:00|1995 4th st., baker_city, MT 97814|46.3704603|-104.28150440000002
Tuesday_s Best Happy Hour|Location is: Oakwood Park Church|3|19:00:00|20:00:00|811 South Gorden Dr, , South Dakota  USA, MT 57747|44.8446264|-111.30162129999997
AMOR Y FE|Location is: 4027 13th St.|7|17:00:00|18:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
AMOR Y FE|Location is: 4027 13th St.|1|20:00:00|21:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
AMOR Y FE|Location is: 4027 13th St.|2|20:00:00|21:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
AMOR Y FE|Location is: 4027 13th St.|3|20:00:00|21:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
AMOR Y FE|Location is: 4027 13th St.|4|20:00:00|21:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
AMOR Y FE|Location is: 4027 13th St.|5|20:00:00|21:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
AMOR Y FE|Location is: 4027 13th St.|6|20:00:00|21:00:00|4027 13th St., Northwest, MT 58540|47.8895077|-112.26460780000002
BACK ALLEY|Location is: BACK ALLEY|3|17:50:00|18:50:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
BACK ALLEY|Location is: BACK ALLEY|5|17:50:00|18:50:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: 425 Second St.|1|19:00:00|20:00:00|425 Second St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: BACK ALLEY|2|19:00:00|20:00:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: BACK ALLEY|3|19:00:00|20:00:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: BACK ALLEY|4|19:00:00|20:00:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: BACK ALLEY|5|19:00:00|20:00:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: BACK ALLEY|6|19:00:00|20:00:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
NEW WAY RECOVERY|Location is: BACK ALLEY|7|19:00:00|20:00:00|425 2nd St., Northwest, MT 58703|46.4364127|-109.838099
BEGINNINGS|Location is: At Scott Harper House|2|20:30:00|21:30:00|1938 15th St., Northwest, MT 58575|47.5263453|-111.28186979999998
THE WOMEN'S MEETING|Location is: Shelter|2|10:00:00|11:00:00|1222 11th St., Northwest, MT 58575|47.5195198|-111.33124050000004
THE WOMEN'S MEETING|Location is: Shelter|3|10:00:00|11:00:00|1222 11th St., Northwest, MT 58575|47.5195198|-111.33124050000004
THE WOMEN'S MEETING|Location is: Shelter|4|10:00:00|11:00:00|1222 11th St., Northwest, MT 58575|47.5195198|-111.33124050000004
THE WOMEN'S MEETING|Location is: Shelter|5|10:00:00|11:00:00|1222 11th St, Northwest, MT 58575|47.5195198|-111.33124050000004
THE WOMEN'S MEETING|Location is: Shelter|6|10:00:00|11:00:00|1222 11th St, Northwest, MT 58575|47.5195198|-111.33124050000004
ST. MARY`S GAY|Location is: Church Hall|2|18:00:00|19:00:00|730 23rd St., Northwest, MT 58723|47.4970828|-111.26781160000002
ST. MARY'S GAY|Location is: Church Hall|2|20:30:00|21:30:00|730 23rd St., Northwest, MT 58723|47.4970828|-111.26781160000002
ST. MARY'S GAY|Location is: Church Hall|3|20:30:00|21:30:00|730 23rd St., Northwest, MT 58723|47.4970828|-111.26781160000002
ST. MARY|Location is: Church Hall|6|18:00:00|19:00:00|730 23rd St., Northwest, MT 58723|47.4970828|-111.26781160000002
HOW IT WORKS|Location is: Church Hall|6|20:30:00|21:30:00|730 23rd St., Northwest, MT 58723|47.4970828|-111.26781160000002
ST. MARY 2|Location is: Church Hall|6|20:30:00|21:30:00|730 23rd St., Northwest, MT 58723|47.4970828|-111.26781160000002
BRAND NEW RECOVERY|Location is: Penn. Ave. Baptist Ch.|2|19:00:00|20:00:00|3000 Penn. Ave., Southeast, MT 98802|46.1352137|-112.9728475
