LifeBoat|Location is: Farmville Presbyterian church|5|20:00:00|21:00:00|200 W 3rd , farmville, NC 23901|35.47173|-77.43311699999998
AMHERST FRIDAY|Location is: United Congregational Church|6|19:30:00|20:30:00|279 S. Main St, Amherst, NC 24521|35.6147888|-78.73678180000002
After All- Living Sober|Location is: Parish House|3|10:00:00|11:00:00|319 North Boulevard, Richmond, NC 23805|34.9080601|-79.72946539999998
Chester Group|Location is: St. Johns Episcopal Church|3|20:00:00|21:00:00|12201 Richmond St., Chester, NC 23831|34.8432588|-79.6660253
OAK GROVE GROUP|Location is: OAK GROVE COMMUNITY CENTER|5|19:30:00|20:30:00|OAK DRIVE AND US HIGHWAY 1, WEST COLUMBIA, NC 29078|35.7562584|-79.61885489999997
12 & 12 Study|Location is: John Randolph Hospital (Cafeteria)|2|20:00:00|21:00:00|411 W. Randolph Rd., Hopewell, NC 23860|35.6209525|-79.84686249999999
A New Beginning Group|Location is: John Randolph Hospital (Cafeteria)|3|11:00:00|12:00:00|411 W. Randolph Rd., Hopewell, NC 23860|35.6209525|-79.84686249999999
A New Beginning Group|Location is: John Randolph Hospital (Cafeteria)|5|11:00:00|12:00:00|411 W. Randolph Rd., Hopewell, NC 23860|35.6209525|-79.84686249999999
Second Chance Group|Location is: John Randolph Hospital (Cafeteria)|5|20:00:00|21:00:00|411 W. Randolph Rd., Hopewell, NC 23860|35.6209525|-79.84686249999999
A New Beginning Group|Location is: John Randolph Hospital (Cafeteria)|7|11:00:00|12:00:00|411 W. Randolph Rd., Hopewell, NC 23860|35.6209525|-79.84686249999999
Second Chance Group|Location is: John Randolph Hospital (Cafeteria)|7|20:00:00|21:00:00|411 W. Randolph Rd., Hopewell, NC 23860|35.6209525|-79.84686249999999
Crystal Meth Anonymous Beginners' Meeting|Location is: Parish house, Boulevard United Methodist Church|5|19:00:00|20:00:00|319 N. Boulevard, richmond, NC 23220|35.1723044|-79.59203079999997
Not Saints|Location is: First English Lutheran Church |6|08:15:00|09:15:00|1603 Monument Ave, richmond, NC 23220|35.8931705|-78.6496196
Wednesday Gay Group|Location is: St. James Episcopal Church|4|17:30:00|18:30:00|1205 W. Franklin St, richmond, NC 23220|34.93835560000001|-79.77746209999998
210 Women Working Together|Location is: 210 Madison Clubhouse|5|17:45:00|18:45:00|210 N Madison St, Richmond, NC 23220|34.8918899|-79.7094209
12 X 12 STUDY GROUP|Location is: FIRST UNITED METHODIST CHURCH|2|20:00:00|21:00:00|208 W MAIN STREET, MARION, NC 24354|35.6867793|-82.01046530000002
WINGS OF HOPE|Location is: FIRST UNITED METHODIST CHURCH|3|11:30:00|12:30:00|208 W MAIN STREET, MARION, NC 24354|35.6867793|-82.01046530000002
STEP SISTERS|Location is: FIRST UNITED METHODIST CHURCH|3|19:00:00|20:00:00|208 W MAIN STREET, MARION, NC 24354|35.6867793|-82.01046530000002
INFORMATIVE GROUP|Location is: FIRST UNITED METHODIST CHURCH|5|20:00:00|21:00:00|208 W MAIN STREET, MARION, NC 24354|35.6867793|-82.01046530000002
THE INCOMMON GROUP|Location is: FIRST UNITED METHODIST CHURCH|6|20:00:00|21:00:00|208 W MAIN STREET, MARION, NC 24354|35.6867793|-82.01046530000002
Downtowner's Group|Location is: Holy Comforter Catholic|4|12:00:00|13:00:00|208 E Jefferson, Charlottesville, NC 22902|36.0975503|-79.86794199999997
Downtowner's Group T.G.I.F.|Location is: Holy Comforter Catholic|6|12:00:00|13:00:00|208 E Jefferson, Charlottesville, NC 22902|36.0975503|-79.86794199999997
Courage to Chage|Location is: Friends Quaker House|2|20:00:00|21:00:00|1104 Forest St, Charlottesville, NC 22903|36.0975503|-79.86794199999997
Old Blue Ridge Meeting|Location is: Friends Quaker House|7|20:00:00|21:00:00|1104 Forest St, Charlottesville, NC 22903|36.0975503|-79.86794199999997
CHRIST EPISCOPAL CHURCH|Location is: CHRIST EPISCOPAL CHURCH|3|20:00:00|21:00:00|7031 S MAIN, JEFFERSON, NC 24340|36.4151238|-81.47761259999999
CHRIST EPISCOPAL CHURCH|Location is: CHRIST EPISCOPAL CHURCH|5|20:00:00|21:00:00|7031 S MAIN, JEFFERSON, NC 24340|36.4151238|-81.47761259999999
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN’S CHURCH|2|01:23:00|02:23:00|119 N CHURCH STREET, LEXINGTON, NC 29072|35.82201930000001|-80.2458269
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN’S CHURCH|4|19:30:00|20:30:00|119 N CHURCH STREET, LEXINGTON, NC 29072|35.82201930000001|-80.2458269
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN’S CHURCH|5|19:00:00|20:00:00|119 N CHURCH STREET, LEXINGTON, NC 29072|35.82201930000001|-80.2458269
HENDERSON CENTRAL GROUP 2|Location is: Gillbirt United Methodist Church|1|20:00:00|21:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP 2|Location is: Gillbirt United Methodist Church|3|20:00:00|21:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP 2|Location is: Gillbirt United Methodist Church|7|20:00:00|21:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP 3|Location is: Gillbird United Methodist Church|1|09:30:00|10:30:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP|Location is: Gillbird United Methodist Church|2|00:00:00|01:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP|Location is: Gillbird United Methodist Church|3|00:00:00|01:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP|Location is: Gillbird United Methodist Church|4|00:00:00|01:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
HENDERSON CENTRAL GROUP|Location is: Gillbird United Methodist Church|6|00:00:00|01:00:00|4815 Hwy. 39, Gillbird, NC 29054|35.2389507|-82.10441449999996
Mathews Friendship Group|Location is: Kingston Parish House|5|19:00:00|20:00:00|Main St, Mathews, NC 23109|35.1150666|-80.72684529999998
T.N.T (12 and 12)|Location is: low church room505|1|19:00:00|20:00:00|Church Lane, Locust Grove, NC 22508|35.826831|-79.73773489999996
LADIES STEP STUDY|Location is: CHURCH OF RESURRECTION|6|10:00:00|11:00:00|15220 Main, BELLVUE, NC 22408|35.8373132|-78.64262459999998
RELATIONSHIPS|Location is: CHURCH OF RESURRECTION|7|19:00:00|20:00:00|15220 Main, BELLVUE, NC 22408|35.8373132|-78.64262459999998
ACTION STEP|Location is: Unity Pl.|5|19:00:00|20:00:00|8610 R.r. Ave., Bowie, NC 20662|36.0124699|-79.63687900000002
Edgefield|Location is: Episcopal Church|2|20:00:00|21:00:00|313 Simplins St., ,   USA, NC 29824|35.7747624|-78.68708900000001
Edgefield|Location is: Episcopal Church|3|20:00:00|21:00:00|313 Simplins St., ,   USA, NC 29824|35.7747624|-78.68708900000001
Edgefield|Location is: Episcopal Church|6|20:00:00|21:00:00|313 Simplins St., ,   USA, NC 29824|35.7747624|-78.68708900000001
INFORMAL STEP MEETING|Location is: St. Francis Of Assisi Church|6|19:00:00|20:00:00|18825 Fuller Heights Rd, Triangle, NC 22172|35.8940633|-78.74885999999998
INFORMAL STEP MEETING|Location is: St. Francis Of Assisi|7|19:00:00|20:00:00|18825 Fuller Heights Road, Triangle, NC 22172|35.8940633|-78.74885999999998
TRIANGLE|Location is: Concordia Luthern Church|3|10:00:00|11:00:00|3637 Graham Park Rd, Triangle, NC 22172|35.71069900000001|-77.89570300000003
TRIANGLE|Location is: Concordia Lutheran Church|6|20:30:00|21:30:00|3637 Graham Park Road, Triangle, NC 22172|35.71069900000001|-77.89570300000003
TRIANGLE|Location is: Concordia Lutheran Church|7|20:00:00|21:00:00|3637 Graham Park Road, Triangle, NC 22172|35.71069900000001|-77.89570300000003
nooners group|Location is: warrenton|2|12:00:00|13:00:00|95 green street, warrenton, NC 20186|36.3675571|-78.21356600000001
FRESH START|Location is: Saint Paul's United Methodist Church|2|20:30:00|21:30:00|1400 G Street, Woodbridge, NC 22191|35.6294275|-77.92837429999997
WOODBRIDGE|Location is: Saint Paul's United Methodist Church|2|20:30:00|21:30:00|1400 G Street, Woodbridge, NC 22191|35.6294275|-77.92837429999997
WINNERS CIRCLE|Location is: Saint Paul's United Methodist Church|4|19:30:00|20:30:00|1400 G Street, Woodbridge, NC 22191|35.6294275|-77.92837429999997
WOODBRIDGE|Location is: St Paul?s Methodist Church|6|20:30:00|21:30:00|1400 G. St, Woodbridge, NC 22191|35.6294275|-77.92837429999997
SUN. AFTERNOON BREAK|Location is: Trinity Episcopal Ch|1|15:00:00|16:00:00|9325 West St., Manassas, NC 20110|35.0354974|-79.01147479999997
MANASSAS BIG BOOK|Location is: Trinity Episcopal Ch|4|20:00:00|21:00:00|9325 West St., Manassas, NC 20110|35.0354974|-79.01147479999997
SATURDAY NIGHT|Location is: Trinity Episcopal Church|7|19:00:00|20:00:00|9325 West Street, Manassas, NC 20110|35.0354974|-79.01147479999997
LAKE RIDGE|Location is: Lake Ridge Baptist Church|5|20:30:00|21:30:00|12450 Clipper Dr., Woodbridge, NC 22192|34.2303504|-77.83034609999999
Carolina in the Morning|Location is: Saint Mary's Church Hall|3|10:00:00|11:00:00|437 Carolina Back Road (Route 112), CAROLINA, NC 29655|35.7156311|-79.88715400000001
Carolina in the Morning II|Location is: Saint Mary's Church Hall|5|10:00:00|11:00:00|437 Carolina Back Road (Route 112), CAROLINA, NC 29655|35.7156311|-79.88715400000001
OPEN MIND|Location is: Messiah United Methodist Ch|1|19:30:00|20:30:00|6215 Rolling Rd, Springfield, NC 22152|35.8883012|-78.5061748
APRIL FOOL?S|Location is: Messiah United Methodist|7|19:00:00|20:00:00|6215 Rolling Road, Springfield, NC 22152|35.8883012|-78.5061748
Forest Hills|Location is: St. Mark United Methodist Church|3|20:00:00|21:00:00|2367 Washington Road, Augusta, NC 30904|35.537954|-76.98708729999998
Forest Hills|Location is: St. Mark United Methodist Church|6|20:00:00|21:00:00|2367 Washington Road, Augusta, NC 30904|35.537954|-76.98708729999998
6:00 AM WORMS|Location is: Independence Club -|1|06:00:00|07:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
EARLY BIRDS #1|Location is: Independence Club -|1|07:30:00|08:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
INTENSIVE CARE|Location is: Independence Club -|1|10:00:00|11:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
NEW|Location is: Independence Club -|1|12:30:00|13:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
5:30 COMMUTERS|Location is: Independence Club -|1|17:30:00|18:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
6:00 AM WORMS|Location is: Independence Club -|2|06:00:00|07:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
EARLY BIRDS #1|Location is: Independence Club -|2|07:30:00|08:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
NOONERS|Location is: Independence Club -|2|00:00:00|01:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
5:30 COMMUTERS|Location is: Independence Club -|2|17:30:00|18:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
6:00 AM WORMS|Location is: Independence Club -|3|06:00:00|07:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
EARLY BIRDS #1|Location is: Independence Club -|3|07:30:00|08:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
NOONERS|Location is: Independence Club -|3|00:00:00|01:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
5:30 COMMUTERS|Location is: Independence Club -|3|17:30:00|18:30:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
6:00 AM WORMS|Location is: Independence Club -|4|06:00:00|07:00:00|7024 Spring Garden Drive, Springfield, NC 22150|35.8555464|-78.6245419
