Crazy in AA young peoples meeting|Location is: Unitarian Church|5|19:30:00|20:30:00|274 Pleasant St, Concord, NH 03301|43.1972628|-71.56558419999999
Experience, Strenth and Hope Group|Location is: West Street Ward House|1|09:45:00|10:45:00|West Street, concord, NH 03301|43.19509009999999|-71.53506299999998
Recovery Through Discovery|Location is: First Congregational Church|3|19:00:00|20:00:00|Corner of Washington St.. and North Main St., concord, NH 03301|43.2120716|-71.5390602
We Understand|Location is: St Matthew Episcopal Church|2|20:30:00|21:30:00|5 N Mast Rd, Goffstown, NH 03045|43.0207179|-71.6007535
TSDD Men's Peace Of Mind|Location is: Keystone Hall|2|19:00:00|20:00:00|5 Pine Rd, New Boston, NH 03070|42.9893602|-71.72559810000001
Freedom|Location is: Faith Lutheran|3|19:00:00|20:00:00|820 Main St., Andover, NH 03216|43.4296084|-71.87072560000001
RAYMOND VILLAGE MEETING|Location is: RAYMOND VILLAGE CHURCH|6|19:00:00|20:00:00|27 MAIN STREET, RAYMOND, NH 03077|43.0391155|-71.1856861
Amherst Sunday Step Group|Location is: Congregational Church|1|19:30:00|20:30:00|33 Main St.?, AMHERST, NH 03031|42.8614359|-71.62950619999998
Mens Beginners Group|Location is: the friendship center|6|19:00:00|20:00:00|45 East Broadway, derry, NH |42.881698|-71.32448999999997
No Name Group|Location is: Congregational Church|6|17:30:00|18:30:00|10 Union St, Milford, NH 03055|42.8346321|-71.65104910000002
No Name Group|Location is: Congregational Church|5|17:30:00|18:30:00|10 Union St, Milford, NH 03055|42.8346321|-71.65104910000002
No Name Group|Location is: Congregational Church|4|17:30:00|18:30:00|10 Union St, Milford, NH 03055|42.8346321|-71.65104910000002
No Name Group|Location is: Congregational Church|3|17:30:00|18:30:00|10 Union St, Milford, NH 03055|42.8346321|-71.65104910000002
No Name Group|Location is: Congregational Church|2|17:30:00|18:30:00|10 Union St, Milford, NH 03055|42.8346321|-71.65104910000002
Our Town|Location is: Unitarian Church|2|20:00:00|21:00:00|Main St, peterborough, NH 03458|42.8777231|-71.95105339999998
Peculiar Mental Twists|Location is: Grace Lutheran Church|7|08:00:00|09:00:00|130 Spitbrook Road, nashua, NH |42.708085|-71.46195649999999
Early Birds|Location is: Harbor Homes|7|06:30:00|07:30:00|45 High Street, nashua, NH 03060|42.7606622|-71.4674326
Early Birds|Location is: Harbor Homes|1|06:30:00|07:30:00|45 High Street, nashua, NH 03060|42.7606622|-71.4674326
