HICKSVILLE BACK TO BASICS|Location is: St. Stephen's Church|3|20:00:00|21:00:00|270 South Broadway , New York, NY |40.7141782|-74.0067972
HICKSVILLE BACK TO BASICS|Location is: St. Stephen's Church|6|20:00:00|21:00:00|270 South Broadway , New York, NY |40.7141782|-74.0067972
CARMEL GLENEIDA|Location is: Gilead United Presbyterian Church|2|19:00:00|20:00:00|Seminary Hill Road & Church Street , , NY |41.420486|-73.67848019999997
CARMEL GLENEIDA|Location is: Gilead United Presbyterian Church|4|19:00:00|20:00:00|Seminary Hill Road & Church Street , , NY |41.420486|-73.67848019999997
PHOENICIA SATURDAY NITE LIVE|Location is: Methodist Church|7|20:00:00|21:00:00|Church St.  , , NY |40.7135341|-74.0090313
Living now |Location is: 45 bleeker st|1|10:00:00|11:00:00|btwn bowery and lafayette, new_york, NY |40.7143528|-74.0059731
Monday Mens beginners meeting|Location is: midtown  right next too grand central |2|18:15:00|19:15:00|on 43rd st btwn lex and 3rd ave, new_york, NY |40.7143528|-74.0059731
east village group|Location is: E 7th st btwn 1st and 2nd |3|19:00:00|20:00:00|ny ny , new_york, NY |40.7902778|-73.95972219999999
saturday beginners |Location is: E 7th st btwn 1st and 2nd |7|22:30:00|23:30:00|ny ny , new_york, NY |40.7902778|-73.95972219999999
Another Way of Living|Location is: New York|2|20:09:00|21:09:00|http://blogtalkradio.com/awol, new_york, NY |40.7143528|-74.0059731
AWOL|Location is: New York|3|20:09:00|21:09:00|http://.www.blogtalkradio.com/awol, new_york, NY |40.7143528|-74.0059731
Steppin In The Mix|Location is: 267 West 152 St.|7|15:00:00|16:00:00|New York, new_york, NY |40.7143528|-74.0059731
"GROWING UP"|Location is: Holy Family Church Rectory|5|19:15:00|20:15:00|2158 Watson Avenue,  Cafeteria , New York, NY |40.7143528|-74.0059731
69'ers|Location is: GMHC The Tisch Building|2|20:30:00|21:30:00|119 West 24th Street, Suite #700 Between 6th & 7th Avenues , New York, NY |40.7143528|-74.0059731
A CHANCE TO LIVE AGAIN|Location is: SRO Building|2|19:00:00|20:00:00|109 West 129th Street,  Basement , New York, NY |40.810754|-73.94408199999998
A CHANCE TO LIVE AGAIN|Location is: SRO Building|4|18:00:00|19:00:00|109 West 129th Street,  Basement , New York, NY |40.810754|-73.94408199999998
A DAY AT A TIME|Location is: Our Lady of Mount Carmel Parish Center|7|10:30:00|11:30:00|23-30 New Town Avenue, Basement , New York, NY |40.770549|-73.92413499999998
A NEW PAIR OF GLASSES|Location is: Muhlenberg Residence|6|19:00:00|20:00:00|510 Atlantic Avenue, Basement , New York, NY |40.6854188|-73.98140009999997
A NEW PAIR OF GLASSES BIG BOOK|Location is: Good Shepherd Methodist Church|3|19:00:00|20:00:00|30-44 Crescent Street, Basement , New York, NY |40.7673774|-73.92568449999999
A NEW PERSON|Location is: Holy Family Church Rectory|1|19:00:00|20:00:00|2158 Watson Avenue, Mechler Hall , New York, NY |40.7143528|-74.0059731
A STEP FORWARD|Location is: Sunnyside Reformed Church|6|18:30:00|19:30:00|48-03 Skillman Avenue, Basement , New York, NY |40.746549|-73.91580099999999
A VISION FOR YOU|Location is: Christ & St. Stephen's Church|6|19:45:00|20:45:00|120 West 69th Street, Basement , New York, NY |40.77560099999999|-73.98109099999999
AA AND BEYOND|Location is: Sacred Heart Church Rectory|3|18:30:00|19:30:00|1253 Shakespeare Avenue,  Basement , New York, NY |40.838601|-73.92354899999998
