HAPPY HOUR|(O)(12&12) Crossroads Church ( Special Needs Room)|2|18:00:00|19:00:00|3500 Madison Rd Cincinnati, OH 45209|39.1589721|-84.423206
THANK GOD IT'S MONDAY GROUP|(C)(D) New Thought Unity Church|2|19:00:00|20:00:00|1401 E. McMillan St East Walnut Hills 45206|39.1250743|-84.4795857
VARIOUSLY STRENUOUS, COMIC AND TRAGIC|(C)(L/D)(H) Redeemer Church|2|19:30:00|20:30:00|2944 Erie Ave Cincinnati 45208|39.1392171|-84.4335782
MEN'S GROUP|(O)(BB) Salvation Army|2|19:30:00|20:30:00|2250 Park Avenue Norwood 45212|39.159875|-84.451799
FELLOWSHIP OF THE SPIRIT (OAKLEY)|(C)(12&12)(H)(BS) Oakley United Church of Christ|2|20:00:00|21:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
THE MIDNIGHT MEETING|(O)(D) United Church of Christ|2|00:00:00|01:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
KEEP IT SIMPLE (OAKLEY)|(C)(D)(H) Oakley Community Center (next to Biggs)|3|12:00:00|13:00:00|3830 Paxton Ave Cincinnati, OH 45209|39.145944|-84.4302245
WOMEN'S DISCUSSION MEETING|(O)(D)(H) First Step Home|3|18:00:00|19:00:00|2203 Fulton Ave Cincinnati, OH 45206|39.1207833|-84.4919782
EAST NO 1|(O)(L) Redeemer Church|3|20:00:00|21:00:00|2944 Erie Ave Cincinnati 45208|39.1392171|-84.4335782
THE BANK GROUP (OAKLEY)|(C)(D)(H) United Church of Christ|3|20:00:00|21:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
LIBERTY MISSION|(O)(L) Norwood Presby Church|3|20:00:00|21:00:00|4440 Floral Ave Norwood, OH 45212|39.1572179|-84.450108
MARIEMONT WEST|(C)(D) Fairfax Presby Church|3|20:00:00|21:00:00|3731 Southern Ave Cincinnati, OH 45227|39.142836|-84.393615
THE MIDNIGHT MEETING|(O)(D) United Church of Christ|3|00:00:00|01:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
ATTITUDE ADJUSTMENT|(C)(D)(H) Hyde Park Community Methodist Church|4|07:30:00|08:30:00|Observatory Ave & Grace Ave Cincinnati, OH 45208|39.1368559|-84.4320689
MARIEMONT DAY|(C)(D) Mariemont Community Church|4|11:00:00|12:00:00|3908 Plainville Rd Cincinnati, OH 45227|39.146495|-84.378359
THE MAIN PURPOSE OF THIS BOOK|(O)(BB) Crossroads Church (Check Monitirs)|4|18:00:00|19:00:00|3500 Madison Rd Cincinnati, OH 45209|39.1589721|-84.423206
EVANSTON GROUP|(O)(D) United House of Prayer for All Peple|4|19:30:00|20:30:00|1860 Clarion Ave Cincinnati, OH 45207|39.144726|-84.466404
GRAPEVINE TOO DISCUSSION|(C)(D) Church of the Redeemer|4|19:30:00|20:30:00|2944 Erie Ave Cincinnati 45208|39.1392171|-84.4335782
EAST END GROUP|(O)(D) St. Stephen's Church|4|19:30:00|20:30:00|3804 Eastern Ave East End 45226|39.1118857|-84.4351242
SPECKLED BIRD GROUP|(O)(D)(BB)(12&12) Speckled Bird Cafe|4|20:00:00|21:00:00|4505 Carter Ave Norwood, OH 45212|39.1597773|-84.4653468
HYDE PARK HUMP GROUP|(C)(D)(H) Knox Presbyterian Church|4|20:30:00|21:30:00|Observatory Ave & Michigan Ave Cincinnati, OH 45208|39.1374621|-84.4418632
THE MIDNIGHT MEETING|(O)(D) United Church of Christ|4|00:00:00|01:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
BURTON HOUSE 12 AND 12|(C)(12) Burton House|5|18:30:00|19:30:00|932 Burton Ave Cincinnati, OH 45229|39.1589721|-84.423206
HYDE PARK NEAR 12 STEP DISC|(C)(12&12) St. Rose Church|5|19:00:00|20:00:00|2501 Riverside Dr Cincinnati, OH 45202|39.123546|-84.461605
BACK TO THE FORTIES|(C)(BB) Zion United Church of Christ|5|20:00:00|21:00:00|2332 Sherwood Ln Norwood, OH 45212|39.1686082|-84.4516927
WORKING WITH NEWCOMERS|(O)(D) Norwood Presbyterian Church|5|20:00:00|21:00:00|4400 Floral Ave Cincinnati, OH 45212|39.156535|-84.450191
PATH FINDERS|(C)(D) Immanual Un Church of Christ|5|20:00:00|21:00:00|210 Jefferson Ave Cincinnati, OH 45217|39.166266|-84.495808
THE MIDNIGHT MEETING|(O)(D) United Church of Christ|5|00:00:00|01:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
WOMEN'S DISCUSSION MEETING|(O)(L)(H) First Step Home|6|18:00:00|19:00:00|2203 Fulton Ave Cincinnati, OH 45206|39.1207833|-84.4919782
INSERT NAME HERE|(O)(D)(H) Oakley Community Center (next to Biggs)|6|19:30:00|20:30:00|3882 Paxton Ave Hyde Park Plaza, Cincinnati, OH 45209|39.1465258|-84.4293735
HOTEL LOBBY INCIDENT|(O)(D) Zion United Church of Christ|6|19:30:00|20:30:00|2332 Sherwood Ln Norwood, OH 45212|39.1686082|-84.4516927
YOUNG PEOPLE'S SOBRIETY GROUP|(O)(D) United Church of Christ|6|20:00:00|21:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
EAST TWO|(C)(D) Church of the Redeemer|6|20:30:00|21:30:00|2944 Erie Ave Cincinnati 45208|39.1392171|-84.4335782
THE MIDNIGHT MEETING|(O)(D) United Church of Christ|6|00:00:00|01:00:00|4100 Taylor Ave Cincinnati, OH 45209|39.1524109|-84.4281767
OAKLEY SATURDAY BIG BOOK DISCUSSION|(O)(BB)(H) Hyde Park Bethlehem United Meth Church|7|11:00:00|12:00:00|3799 Hyde Park Ave Cincinnati, OH 45209|39.147975|-84.43717
SHARE THE HOPE|(O)(BB) Salvation Army|7|18:00:00|19:00:00|2250 Park Avenue Norwood 45212|39.159875|-84.451799
EAST NO 3|(O)(L)(H) Eastminster Presb Church Fellowship Hall|7|19:30:00|20:30:00|4606 Erie Ave Cincinnati, OH 45227|39.156662|-84.394741
