Clear Creek Roadrunners|Location is: Clear Creek Roadrunners|5|14:00:00|15:00:00|1410 Colorado (Ch, side door), Idaho Springs, CO 
Clear Creek Roadrunners|Location is: Clear Creek Roadrunners|2|14:00:00|15:00:00|1410 Colorado (Ch, side door), Idaho Springs, CO 
Clear Creek Roadrunners|Location is: Clear Creek Roadrunners|6|14:00:00|15:00:00|1410 Colorado (Ch, side door), Idaho Springs, CO 
AA MEETING - MORRISON|Location is: Ruritan Building|4|13:30:00|14:30:00|Maple St, Morrison, CO 80465
Vail Chapel|Location is: Interfaith Chapel|2|17:15:00|18:15:00|19 Vail Road, Vail, CO 81657
Big Book Study|Location is: Vail Valley Medical Center|1|18:30:00|19:30:00|181 West Meadow Drive, Vail, CO 81657
PROMISES|Location is: Living Lord Lutheran Church|3|19:00:00|20:00:00|11120 East S..R. 70, Lakewood Ranch, CO 80127
ENJOYING THE JOURNEY|Location is: Living Lord Lutheran Church|6|18:00:00|19:00:00|11120 East S..R. 70, Lakewood Ranch, CO 80127
A New Life|Location is: A New Life|3|14:00:00|15:00:00|14099 W. Jewell (Ch), Lakewood, CO 80228
Friday 11 Step Study|Location is: Friday 11 Step Study|6|14:00:00|15:00:00|10306 W. Bowles Ave. (Ch Annex), Littleton, CO 80127
Green Mountain|Location is: Green Mountain|6|14:00:00|15:00:00|11202 W. Jewell (Ch), Lakewood, CO 80228
Arid Group 2|Location is: Arid Group|3|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|7|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 3|Location is: Arid Group|1|null|N/A|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|1|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|1|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|5|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|4|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|4|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|3|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|5|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 3|Location is: Arid Group|7|null|N/A|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|2|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|2|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group|Location is: Arid Group|6|14:00:00|15:00:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
Arid Group 2|Location is: Arid Group|6|14:30:00|15:30:00|1585 Quail St. Unit 19 238-5693, Lakewood, CO 80215
We Are Not Saints|Location is: Eagle Bend Apartments Clubhouse|4|18:30:00|19:30:00|Hwy 6, vail, CO 81620
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|3|06:30:00|07:30:00|, , CO 
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|4|06:30:00|07:30:00|, , CO 
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|5|06:30:00|07:30:00|, , CO 
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|1|06:30:00|07:30:00|, , CO 
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|7|06:30:00|07:30:00|, , CO 
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|2|06:30:00|07:30:00|, , CO 
Sunrise Serenity|Location is: Day At A Time Club (DAAT)|6|06:30:00|07:30:00|, , CO 
D.T. Group|Location is: D.T. Group|7|null|N/A|2099 Wadsworth Bl. # M, Lakewood, CO 80227
Friday Night Meditation|Location is: Eagle Bend Apartments Clubhouse|6|22:00:00|23:00:00|U.S. 6, Avon, CO 81620
Sunday Night Live|Location is: Sunday Night Live|1|14:30:00|15:30:00|10001 W 58th Ave (Ch @Kipling), Arvada, CO 80002
Winners|Location is: Winners|1|14:00:00|15:00:00|1395 S. Sheridan Blvd. #G, Lakewood, CO 80232
Nuevo Destino|Location is: Nuevo Destino|4|14:30:00|15:30:00|1900 Harlan St., Lakewood, CO 80214
Nuevo Destino|Location is: Nuevo Destino|3|14:30:00|15:30:00|1900 Harlan St., Lakewood, CO 80214
Nuevo Destino|Location is: Nuevo Destino|5|14:30:00|15:30:00|1900 Harlan St., Lakewood, CO 80214
Nuevo Destino|Location is: Nuevo Destino|2|14:30:00|15:30:00|1900 Harlan St., Lakewood, CO 80214
Nuevo Destino|Location is: Nuevo Destino|6|14:30:00|15:30:00|1900 Harlan St., Lakewood, CO 80214
Lady Jaywalkers|Location is: Lady Jaywalkers|4|19:45:00|20:45:00|13455 W. 58th Ave. (TF Fac), Arvada, CO 
What It's Like|Location is: What It's Like|7|null|N/A|13810 W. 85th Dr. (Depot clubhs), Arvada, CO 
Sat Night Speakeasy|Location is: Sat Night Speakeasy|7|14:00:00|15:00:00|11500 W. 20th (Ch E side), Lakewood, CO 
Only Requirement Group|Location is: 1st Congregational Church|4|20:30:00|21:30:00|1128 Pine St, Boulder, CO 80302
Pine Street Group|Location is: 1st Congregational Church|7|19:00:00|20:00:00|1128 Pine St, Boulder, CO 80302
Wed. Night Beginners|Location is: Wed. Night Beginners|4|19:30:00|20:30:00|1237 Pine St, Boulder, CO 80302
Sat. Nite Jive on Wed.|Location is: Wed. Night Beginners|4|19:00:00|20:00:00|1237 Pine St, Boulder, CO 80302
Gratitude in Action|Location is: Wed. Night Beginners|4|18:00:00|19:00:00|1237 Pine St, Boulder, CO 80302
