Amazing Miracles|Location is: Ashari Jaya II|4|08:00:00|09:00:00|Desa Bendungan, Ciawi, bogor, IN 16720|41.5744227|-78.06519309999999
TRINTY UNITED METH CHURCH|Location is: TRINTY UNITED METH CHURCH|6|19:30:00|20:30:00|Market and Guilford, Huntington, IN 46750|40.8830249|-85.49288289999998
EPWORTH METH. CHURCH|Location is: EPWORTH METH. CHURCH|4|19:00:00|20:00:00|1204 W. CHERRY ST, Bluffton, IN 46714|40.7377453|-85.18518499999999
EPWORTH METH. CHURCH|Location is: EPWORTH METH. CHURCH|7|09:00:00|10:00:00|1204 W. CHERRY ST, Bluffton, IN 46714|40.7377453|-85.18518499999999
CROSS UNITED CHURCH|Location is: CROSS UNITED CHURCH|7|20:00:00|21:00:00|, Berne, IN |40.6578242|-84.9519115
Thirsty For Sobriety|Location is: AI-.An Club|5|17:15:00|18:15:00|76I Cass SI., Hamilton, IN 46034|40.1290331|-86.0427626
Sunday Serenity|Location is: AI-.An Club|1|20:00:00|21:00:00|76I Cass SI., Hamilton, IN 46034|40.1290331|-86.0427626
Attitude Adjustment|Location is: AI-.An Club|2|06:45:00|07:45:00|76I Cass SI., Hamilton, IN 46034|40.1290331|-86.0427626
Living Sober|Location is: AI-.An Club|2|12:00:00|13:00:00|76I Cass SI., Hamilton, IN 46034|40.1290331|-86.0427626
BELL RINGERS|Location is: 1st Presbyterian Church|2|20:00:00|21:00:00|108 E. Washington St, Monroe, IN 46772|40.7449913|-84.93857809999997
LAMP POST GROUP|Location is: The Chapel|6|20:00:00|21:00:00|2505 w. Hamilton Rd at Covington, Ft. Wayne, IN 46814|41.061149|-85.30871200000001
WAYNEDALE GROUP|Location is: Waynedale Methodist Church|5|19:30:00|20:30:00|2501 Church St  & Old Trail Rd, Ft. Wayne, IN 46809|41.016698|-85.17177190000001
WAYNEDALE STEP GROUP|Location is: Waynedale Methodist Church|2|19:00:00|20:00:00|2501 Church St, Ft. Wayne, IN 46809|41.01631|-85.17087800000002
EASY DOES IT|Location is: Hope United Methodist Church|2|19:00:00|20:00:00|Highway 27 S & Hoagland  Rd., Ft. Wayne, IN 46745|40.9629305|-85.03373920000001
Attitude Adjustment|Location is: AI-.An Club|5|06:45:00|07:45:00|76I Cass SI., Princeton, IN 46947|40.7807397|-86.37821980000001
Just For Today|Location is: AI-.An Club|5|12:00:00|13:00:00|76I Cass SI., Princeton, IN 46947|40.7807397|-86.37821980000001
12 & 12|Location is: AI-.An Club|5|20:00:00|21:00:00|76I Cass SI., Princeton, IN 46947|40.7807397|-86.37821980000001
Attitude Adjustment|Location is: AI-.An Club|6|06:45:00|07:45:00|76I Cass SI., Princeton, IN 46947|40.7807397|-86.37821980000001
Listen & Learn|Location is: AI-.An Club|6|12:00:00|13:00:00|76I Cass SI., Princeton, IN 46947|40.7807397|-86.37821980000001
Happy Hour Group|Location is: AI-.An Club|6|17:15:00|18:15:00|76I Cass SI., Princeton, IN 46947|40.7807397|-86.37821980000001
Acceptance Too|Location is: Acceptance Too|2|14:30:00|15:30:00|12755 W. Cedar Dr. (Ch), Lakewood, IN 46809|41.0400837|-85.18405100000001
ALDERSGATE DISC. GROUP|Location is: Aldersgate Church|2|19:30:00|20:30:00|2417 Getz Rd, Ft. Wayne, IN 46804|41.062622|-85.21856300000002
12+12 STUDY GROUP|Location is: Aldersgate Church|3|19:30:00|20:30:00|2417 Getz Rd, Ft. Wayne, IN 46804|41.062622|-85.21856300000002
BIG BOOK STUDY GROUP|Location is: Aldersgate Church|5|18:00:00|19:00:00|2417 Getz Rd., Ft. Wayne, IN 46804|41.062622|-85.21856300000002
WOMEN?S  DAY BY DAY GRP.|Location is: Unitarian Church|5|10:30:00|11:30:00|5310 Old Mill Rd., Ft. Wayne, IN 46807|41.034735|-85.15140500000001
A NEW BEGINNING|Location is: Trier Ridge Church|2|19:30:00|20:30:00|7501 Hessen Cassel at Tillman, Ft. Wayne, IN 46816|41.01712|-85.09500400000002
Thursday night open discussion|Location is: Grace Lutheran Church|5|19:30:00|20:30:00|Main St., columbia city, IN 46725|41.15209|-85.48802419999998
WESTSIDE GROUP|Location is: St. Joseph?s Catholic|6|19:30:00|20:30:00|Brooklyn at Hale, Ft. Wayne, IN 46802|41.0640899|-85.16525209999998
ONE DAY AT A TIME GROUP|Location is: Sacred Heart School|1|19:00:00|20:00:00|Capitol  & Gaywood, Ft. Wayne, IN 46806|41.0417293|-85.12259159999996
1st CHURCH OF GOD|Location is: 1st CHURCH OF GOD|4|19:30:00|20:30:00|1200 De Puy St., Columbia City, IN |41.15726859999999|-85.4883127
LOGANSPORT RECOVERY|Location is: LOGANSPORT RECOVERY|1|19:00:00|20:00:00|113 N 3RD STREET, LOGANSPORT, IN 46947|40.7548576|-86.36766469999998
LOGANSPORT RECOVERY|Location is: LOGANSPORT RECOVERY|5|20:00:00|21:00:00|113 N 3RD STREET, LOGANSPORT, IN 46947|40.7548576|-86.36766469999998
FEED AND SEED GROUP|Location is: Doty Rd. @ Milan Center Rd.|3|19:30:00|20:30:00|Doty Rd. @ Milan Center Rd., Ft. Wayne, IN 46818|41.1330107|-85.33283660000001
CHANGE OF HEART Group|Location is: Freedom House|1|19:00:00|20:00:00|806 Walnut, Ft. Wayne, IN 46802|41.06697930000001|-85.14922279999996
JUST STAY GROUP|Location is: Freedom House|3|19:30:00|20:30:00|806 Walnut, Ft. Wayne, IN 46802|41.06697930000001|-85.14922279999996
JUST STAY GROUP|Location is: Freedom House|5|12:00:00|13:00:00|806 Walnut, Ft. Wayne, IN 46802|41.06697930000001|-85.14922279999996
CHANGE OF HEART|Location is: Freedom House|5|19:30:00|20:30:00|806 Walnut, Ft. Wayne, IN 46802|41.06697930000001|-85.14922279999996
JUST STAY GROUP|Location is: Freedom House|7|10:00:00|11:00:00|806 Walnut, Ft. Wayne, IN 46802|41.06697930000001|-85.14922279999996
HOPE HOUSE MEETING|Location is: Hope House|1|15:00:00|16:00:00|1115 Garden St., Ft. Wayne, IN 46802|41.073072|-85.15614499999998
HOPE HOUSE GROUP|Location is: Hope House|7|13:00:00|14:00:00|1115 Garden Street, Ft. Wayne, IN 46802|41.073072|-85.15614499999998
STEPHOUSE SPEAKER MTG|Location is: The Thirteen Step House Inc.|1|08:00:00|09:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
WAY OF LIFE GROUP|Location is: The Thirteen Step House Inc.|2|12:00:00|13:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
WAY OF LIFE GROUP|Location is: The Thirteen Step House Inc.|2|19:00:00|20:00:00|, Fort Wayne, IN |41.079273|-85.13935129999999
Living Sober Book/Discussion|Location is: The Thirteen Step House Inc.|3|12:00:00|13:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
Big Book/Discussion|Location is: The Thirteen Step House Inc.|3|19:00:00|20:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
MORNING DISCUSSION GROUP|Location is: The Thirteen Step House Inc.|4|12:00:00|13:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
HARBOR LIGHT GROUP Speaker|Location is: The Thirteen Step House Inc.|4|20:00:00|21:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
KEY TO SOBRIETY|Location is: The Thirteen Step House Inc.|5|12:00:00|13:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
LUNCHEON GROUP|Location is: The Thirteen Step House Inc.|6|12:30:00|13:30:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
HARVESTER GROUP|Location is: The Thirteen Step House Inc.|6|20:00:00|21:00:00|1317 W. Washington BLVD, Fort Wayne, IN |41.074312|-85.15592300000003
901 BIG BOOK GROUP|Location is: GE Union Hall|5|16:00:00|17:00:00|1427 Broadway, Ft. Wayne, IN 46802|41.071796|-85.14824599999997
BASIC TEXT GRP|Location is: St John?s Luth Church|5|19:00:00|20:00:00|729 W.Washington, Ft. Wayne, IN 46802|41.07570940000001|-85.1487808
UP THE STEPS|Location is: Plymouth Congregational Chr.|1|13:00:00|14:00:00|501 W. Berry St., Ft. Wayne, IN 46802|41.0782846|-85.14599199999998
UP THE STEPS|Location is: Plymouth Congregational Chr.|3|18:30:00|19:30:00|501 W. Berry St., Ft. Wayne, IN 46802|41.0782846|-85.14599199999998
MON NITE WOMEN?S GROUP|Location is: First Presbyterian Church|2|19:30:00|20:30:00|W. Wayne at Webster Sts, Ft. Wayne, IN 46802|41.0777621|-85.14241800000002
CENTRAL GROUP|Location is: First Presbyterian Church|3|20:30:00|21:30:00|W. Wayne at Webster, Ft. Wayne, IN 46802|41.0777621|-85.14241800000002
GRAPEVINE MEETING|Location is: First Presbyterian Church|4|20:00:00|21:00:00|W. Wayne at Webster, Ft. Wayne, IN 46802|41.0777621|-85.14241800000002
FREEDOM FROM BONDAGE|Location is: Grace Presbyterian Church|1|18:30:00|19:30:00|1811 Fairhill Rd. @ Cherokee Rd., Ft. Wayne, IN 46808|41.09211519999999|-85.16502700000001
DAILY REFLECTIONS GROUP|Location is: Club Oaasis|1|09:30:00|10:30:00|1118 Spring St, Ft. Wayne, IN 46808|41.0889838|-85.15693420000002
