BUCKLEY|Location is: St. John ?s Providence House|4|19:30:00|20:30:00|4501 Arlington Ave at Pasadena, Ft. Wayne, IN 46807
ADDICTIVE SYNDROME|Location is: First Christian Church|2|20:00:00|21:00:00|4800 S. Calhoun St.., Ft. Wayne, IN 46807
ADDICTIVE SYNDROME|Location is: First Christian Church|4|20:00:00|21:00:00|4800 S. Calhoun St., Ft. Wayne, IN 46807
ADDICTIVE SYNDROME|Location is: First Christian Church|6|20:00:00|21:00:00|4800 S. Calhoun St., Ft. Wayne, IN 46807
SOUTH ANTHONY GRP|Location is: Bethlehem Luth  Church|5|19:00:00|20:00:00|3705 S.Anthony, Ft. Wayne, IN 46806
SOUTH ANTHONY GRP|Location is: Bethlehem Luth  Church|7|19:00:00|20:00:00|3705 S.Anthony, Ft. Wayne, IN 46806
GREATER  POWER GROUP|Location is: Unity Church|2|19:30:00|20:30:00|3232 Crescent Ave., Ft. Wayne, IN 46805
First Parish|Location is: First Parish|5|19:30:00|20:30:00|391 Bay Rd., Rte. 1A, Hamilton, IN 46038
We Agnostics|Location is: Carvel Club|5|18:30:00|19:30:00|4627 Carvel Avenue, indianapolis, IN 46205
LIFE'S NEW BEGINNINGS|Location is: Paulding Drug/Alcohol Services, The Turning Point|4|20:30:00|21:30:00|451 McDonald Pike #A, Paulding, IN 45879
HALT GROUP|Location is: The Turning Point|2|20:00:00|21:00:00|451 MacDonald Pike Rd. #A, Paulding, IN 
LIFE'S NEW BEGINNINGS|Location is: The Turning Point|4|20:00:00|21:00:00|451 MacDonald Pike Rd. #A, Paulding, IN 
1st Presbyterian Church|Location is: 1st Presbyterian Church|3|19:30:00|20:30:00|310 W. 2nd St., Delphos, IN 45833
FRIENDLY RD GROUP|Location is: LOVES UNITED METHODIST CHURCH|6|20:00:00|21:00:00|3020 MAIN STREET, WALKERTON, IN 46574
ODD COUPLE|Location is: OSCEOLA UNITED METHODIST CHURCH|3|20:00:00|21:00:00|431 N BEECH ROAD, OSCEOLA, IN 46561
1ST.CONG.CHURCH|Location is: 1ST.CONG.CHURCH|2|19:30:00|20:30:00|314 W. MAUMEE, Angola, IN 46703
1ST.CONG.CHURCH|Location is: 1ST.CONG.CHURCH|3|19:30:00|20:30:00|314 W. MAUMEE, Angola, IN 46703
1ST.CONG.CHURCH|Location is: 1ST.CONG.CHURCH|6|19:30:00|20:30:00|314 W. MAUMEE, Angola, IN 46703
Open Speaker Metting|Location is: CAMERON HOSP.|7|20:00:00|21:00:00|416 E MAUMEE, Angola, IN 46703
UNITED METH. CHURCH|Location is: UNITED METH. CHURCH|2|19:00:00|20:00:00|3RD. ST., Howe, IN 
MONDAY NIGHT STEP|Location is: GRACE METHODIST CHURCH|2|19:30:00|20:30:00|3012 S TWYCKENHAM DR, SOUTH BEND, IN 46614
GRACE FELLOWSHIP GROUP|Location is: GRACE METHODIST CHURCH|6|19:30:00|20:30:00|3012 TWYCKENHAM, SOUTH BEND, IN 46614
WAKE UP CALL|Location is: FELLOWSHIP HOUSE|2|08:00:00|09:00:00|432 LAFAYETTE, SOUTH BEND, IN 46601
