EMORY GROUP|Location is: EMORY GROUP|3|20:00:00|21:00:00|TEXAS STREET AND HWY 19 NORTH, EMORY, TX |32.873518|-95.76612549999999
Fellowship Group|Location is: Charlie&#39;s Place|1|11:00:00|12:00:00|McKinze & I-37, corpus_christi, TX |31.9685988|-99.90181310000003
Bridge City AA|Location is: Bridge City, Texas|1|00:00:00|01:00:00|Dobyn Street, bridge_city, TX |30.0267825|-93.84586130000002
Colorado City Group|Location is: Episcopal Churc|3|20:00:00|21:00:00|304 Locust St, colorado_city, TX 79512|32.3914895|-100.86307340000002
Colorado City Big Book|Location is: Episcopal Churc|5|20:00:00|21:00:00|304 Locust St, colorado_city, TX 79512|32.3914895|-100.86307340000002
Eastland AA|Location is: residential|7|20:00:00|21:00:00|302 N College, eastland, TX 76448|32.4039738|-98.83198820000001
Alcoholics Anonymous|Location is: A.A. Bldg|7|20:00:00|21:00:00|302 N College Ave, Eastland, TX 76448|32.4039738|-98.83198820000001
Eastland AA|Location is: residential|2|18:00:00|19:00:00|302 N College, eastland, TX 76448|32.4039738|-98.83198820000001
Eastland AA|Location is: residential|3|20:00:00|21:00:00|302 N College, eastland, TX 76448|32.4039738|-98.83198820000001
Eastland AA|Location is: residential|5|18:00:00|19:00:00|302 N College, eastland, TX 76448|32.4039738|-98.83198820000001
EASTLAND|Location is: EASTLAND|2|18:00:00|19:00:00|302 N COLLEGE ST, EASTLAND, TX 76448|32.4039738|-98.83198820000001
EASTLAND|Location is: EASTLAND|5|18:00:00|19:00:00|302 N COLLEGE ST, EASTLAND, TX 76448|32.4039738|-98.83198820000001
EASTLAND|Location is: EASTLAND|3|20:00:00|21:00:00|302 N COLLEGE ST, EASTLAND, TX 76448|32.4039738|-98.83198820000001
EASTLAND|Location is: EASTLAND|7|20:00:00|21:00:00|302 N COLLEGE ST, EASTLAND, TX 76448|32.4039738|-98.83198820000001
Hamilton Group|Location is: St. John&#39;s Lutheran Church|2|19:00:00|20:00:00|122 Cheyenne Mesa Rd, Hamilton, TX 76531|31.7037655|-98.12392310000001
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|1|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|2|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|3|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|4|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|5|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|6|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP|Location is: STEPHENVILLE GROUP|7|12:00:00|13:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 3|Location is: STEPHENVILLE GROUP|1|18:00:00|19:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 3|Location is: STEPHENVILLE GROUP|3|18:00:00|19:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 3|Location is: STEPHENVILLE GROUP|5|18:00:00|19:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|1|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|2|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|3|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|4|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|5|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|6|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
STEPHENVILLE GROUP 2|Location is: STEPHENVILLE GROUP|7|20:00:00|21:00:00|611 S GRAHAM ST, STEPHENVILLE, TX 76401|32.2169862|-98.199567
