Keep it Simple Group|Location is: United Church (Route 15)|2|20:00:00|21:00:00|Park Street, underhill, VT |44.523222|-72.94298309999999
MONDAY MONTPELIER|Location is: MONDAY MONTPELIER|2|20:00:00|21:00:00|222 1/2 Main St., Montpelier, VT 05602|44.2614454|-72.56375200000002
MONTPELIER WEDNESDAY|Location is: MONDAY MONTPELIER|4|20:00:00|21:00:00|222 1/2 Main St., Montpelier, VT 05602|44.2614454|-72.56375200000002
SATURDAY MONTPELIER|Location is: MONDAY MONTPELIER|7|00:00:00|01:00:00|222 1/2 Main St., Montpelier, VT 05602|44.2614454|-72.56375200000002
FEDERATED CHURCH|Location is: FEDERATED CHURCH|2|19:30:00|20:30:00|162 MAIN STREET, ORLEANS, VT 05860|44.8109533|-72.20323209999998
Atlantic Group|Location is: St. Michaels' College Chapel|6|20:00:00|21:00:00|Saint Michaels College, colchester, VT |44.4957789|-73.16632879999997
KEEP THE FOCUS BIG BOOK|Location is: Epiphany Lutheran Church|4|20:00:00|21:00:00|10503 Valley View Rd,@ Rt 8, Northfield Center, VT |44.5588028|-72.57784149999998
Easy Does It|Location is: First Parish Ch.|3|19:30:00|20:30:00|Main St., Groton, VT 05046|44.2103954|-72.1948822
Burlington Young People&#39;s (BYP)|Location is: McClure MultiGenerational Center|1|18:30:00|19:30:00|241 North Winooski Avenue, burlington, VT 05401|44.48704499999999|-73.209431
Saturday Night Speaker |Location is: Church of God|7|18:00:00|19:00:00|Crawford Rd, Derby, VT 05855|44.9412677|-72.17205969999998
Old Timers Group|Location is: Unitarian Church @ Blinking Lights?|1|18:00:00|19:00:00|Main St., NORTHFIELD, VT 05663|44.0768318|-72.73943159999999
Early Birds|Location is: Union Church|4|18:30:00|19:30:00|1317 Main St, Concord, VT 05824|44.4384563|-71.87875789999998
ONBO|Location is: Union Church|4|20:00:00|21:00:00|1317 Main St, Concord, VT 05824|44.4384563|-71.87875789999998
Wake-Up Call|Location is: Union Church|3|06:45:00|07:45:00|1317 Main St, Concord, VT 05824|44.4384563|-71.87875789999998
Wake-Up Call|Location is: Union Church|5|06:45:00|07:45:00|1317 Main St, Concord, VT 05824|44.4384563|-71.87875789999998
Wake-Up Call|Location is: Union Church|7|08:30:00|09:30:00|1317 Main St, Concord, VT 05824|44.4384563|-71.87875789999998
Union Church|Location is: Union Church|2|20:00:00|21:00:00|1317 Main St, Concord, VT 05824|44.4384563|-71.87875789999998
Beyond the Sandbar|Location is: South Hero Congregational Church|1|18:30:00|19:30:00|South Street, south hero, VT |44.6210514|-73.30250339999998
Diamonds In The Rough|Location is: Club 12|2|19:00:00|20:00:00|1 Durkee St, Plattsburgh, VT 12901|44.6949718|-73.45224129999997
Diamonds In The Rough|Location is: Club 12|5|19:00:00|20:00:00|1 Durkee St, Plattsburgh, VT 12901|44.6949718|-73.45224129999997
YPP|Location is: Club 12|5|20:00:00|21:00:00|1 Durkee St, Plattsburgh, VT 12901|44.6949718|-73.45224129999997
Candlelight|Location is: Club 12|6|22:00:00|23:00:00|1 Durkee St, Plattsburgh, VT 12901|44.6949718|-73.45224129999997
