New Hampshire: Remember When|Location is: St. Josephs Hospital, Carl Amelio Rm|1|20:00:00|21:00:00|172 Kinsley St, Nashua, MA 03060|42.74980679999999|-71.48125849999997
New Hampshire: Early Birds|Location is: Harbor Homes|7|06:30:00|07:30:00|45 High Street, nashua, MA 03060|42.7606622|-71.4674326
New Hampshire: Early Birds|Location is: Harbor Homes|1|06:30:00|07:30:00|45 High Street, nashua, MA 03060|42.7606622|-71.4674326
New Hampshire: 10 pm (est) AA Meeting ITR chat|Location is: IN THE ROOMS|6|22:00:00|23:00:00|45 High St, nashua, MA 03060|42.7606622|-71.4674326
New Hampshire: Peculiar Mental Twists|Location is: Grace Lutheran Church|7|08:00:00|09:00:00|130 Spitbrook Road, nashua, MA |42.708085|-71.46195649999999
Rhode Island: New Hope|Location is: Saint Charles Church|6|10:30:00|11:30:00|190 North Main Street, Woonsocket, MA 02895|42.008318|-71.51377400000001
Rhode Island: Wednesday Night Discussion|Location is: Saint Charles Church|4|19:30:00|20:30:00|190 North Main Street, Woonsocket, MA 02895|42.008318|-71.51377400000001
Rhode Island: Happy Wanderers|Location is: Senior Citizens Center|1|11:00:00|12:00:00|84 Social Street, Woonsocket, MA 02895|42.006714|-71.51154300000002
Rhode Island: Unity|Location is: Senior Citizens Center|2|20:00:00|21:00:00|84 Social Street, Woonsocket, MA 02895|42.006714|-71.51154300000002
Rhode Island: Saint James|Location is: Senior Citizens Center|6|20:00:00|21:00:00|84 Social Street, Woonsocket, MA 02895|42.006714|-71.51154300000002
Rhode Island: Let It Begin With Me|Location is: Senior Citizens Center|7|18:30:00|19:30:00|84 Social Street, Woonsocket, MA 02895|42.006714|-71.51154300000002
Rhode Island: Woonsocket Number One|Location is: First United Methodist Church|5|20:00:00|21:00:00|11 Federal Street, Woonsocket, MA 02895|42.0052442|-71.511371
Rhode Island: Woman's 12 and 12|Location is: Unitarian-Universalist Church|2|19:00:00|20:00:00|78 Earl Street, Woonsocket, MA |42.007379|-71.51214099999999
Rhode Island: Early Bird Meets Monday to Thursday.|Location is: Sacred Heart Church|3|10:30:00|11:30:00|415 Olo Street, Woonsocket, MA 02895|41.999786|-71.52648099999999
Rhode Island: Early Bird Meets Monday to Thursday.|Location is: Sacred Heart Church|2|10:30:00|11:30:00|415 Olo Street, Woonsocket, MA 02895|41.999786|-71.52648099999999
Rhode Island: Early Bird Meets Monday to Thursday.|Location is: Sacred Heart Church|4|10:30:00|11:30:00|415 Olo Street, Woonsocket, MA 02895|41.999786|-71.52648099999999
Rhode Island: Early Bird Meets Monday to Thursday.|Location is: Sacred Heart Church|5|10:30:00|11:30:00|415 Olo Street, Woonsocket, MA 02895|41.999786|-71.52648099999999
Rhode Island: Saint James Saturday Morning|Location is: Saint James Baptist Church|7|21:30:00|22:30:00|340 South Main Street, Woonsocket, MA 02895|41.99637|-71.52208889999997
Rhode Island: Fog Lifters|Location is: Holy Family Church|3|19:00:00|20:00:00|414 South Main Street, Woonsocket, MA 02895|41.995222|-71.523192
Rhode Island: New View|Location is: Emmanuel Episcopal Church|5|19:30:00|20:30:00|120 Nate Whipple Highway, Cumberland, MA 02864|41.97945|-71.44743500000004
Rhode Island: Sunday Night Step|Location is: Emmanuel Episcopal Church|1|19:00:00|20:00:00|120 Nate Whipple Highway, Cumberland, MA 02864|41.97945|-71.44743500000004
Rhode Island: Homestead Big Book|Location is: Slatersville Congregational Church|2|19:00:00|20:00:00|Greene and School Streets, North Smithfield (Slatersville), MA |42.0008575|-71.5784094
Rhode Island: Coming Back|Location is: Saint Joan Church Hall|3|20:00:00|21:00:00|3357 Mendon Road, Cumberland, MA 02864|41.978214|-71.45817199999999
Rhode Island: Red Head|Location is: Our Lady Queen of Martyrs Church|1|19:45:00|20:45:00|1409 Park Avenue, Woonsocket, MA 02895|41.98498|-71.51655499999998
Rhode Island: KISS|Location is: Saint John's Church|6|19:30:00|20:30:00|63 Church Street, North Smithfield (Slatersville), MA 02896|41.9972061|-71.57982340000001
Rhode Island: Cumberland Hill- No Place Like Home|Location is: Holy Dormition Orthodox Church|5|20:00:00|21:00:00|71 Manville Hill Road, Cumberland, MA 02864|41.974766|-71.463614
Rhode Island: Peace of Mind|Location is: Saint James Parish Hall|7|10:30:00|11:30:00|57 Division Street, Lincoln (Manville), MA 02838|41.970341|-71.4759909
Rhode Island: Burrillville Big Book|Location is: Saint Patrick's Center|6|19:30:00|20:30:00|88 Main Street, Burrillville (Harrisville), MA 02830|41.9656498|-71.69273829999997
Rhode Island: Monday Night 12 & 12|Location is: Saint Patrick's Center|2|19:30:00|20:30:00|88 Main Street, Burrillville (Harrisville), MA 02830|41.9656498|-71.69273829999997
New Hampshire: Mens Beginners Group|Location is: the friendship center|6|19:00:00|20:00:00|45 East Broadway, derry, MA |42.881698|-71.32448999999997
Rhode Island: As Bill Sees It|Location is: Our Lady of Good Help Church|6|10:30:00|11:30:00|1063 Victory Highway, Burrillville (Mapleville), MA 02839|41.9547454|-71.65007530000003
Rhode Island: Day By Day|Location is: Our Lady of Good Help Church|3|19:30:00|20:30:00|1063 Victory Highway, Burrillville (Mapleville), MA 02839|41.9547454|-71.65007530000003
Rhode Island: Saylesville Monday Night|Location is: Sayles Memorial Church|2|19:00:00|20:00:00|185 Chapel Street, Lincoln, MA 02865|41.8980522|-71.41215439999996
Rhode Island: 12 & 12|Location is: Lincoln Senior Center|4|19:30:00|20:30:00|40 Chapel Street, Lincoln (Saylesville), MA 02865|41.9110123|-71.4418101
Rhode Island: Active|Location is: Saint Leo's Church|6|20:00:00|21:00:00|699 Central Avenue, Pawtucket, MA 02861|41.8871589|-71.35587199999998
Rhode Island: Grupo Internacional|Location is: Grupo Internacional|6|19:00:00|20:00:00|468 High Street, Central Falls, MA 02863|41.88614219999999|-71.3840265
Rhode Island: Grupo Internacional|Location is: Grupo Internacional|2|19:00:00|20:00:00|468 High Street, Central Falls, MA 02863|41.88614219999999|-71.3840265
Rhode Island: Grupo Internacional|Location is: Grupo Internacional|1|19:00:00|20:00:00|468 High Street, Central Falls, MA 02863|41.88614219999999|-71.3840265
Rhode Island: Grupo Internacional|Location is: Grupo Internacional|5|19:00:00|20:00:00|468 High Street, Central Falls, MA 02863|41.88614219999999|-71.3840265
Rhode Island: Grupo Internacional|Location is: Grupo Internacional|7|12:00:00|13:00:00|468 High Street, Central Falls, MA 02863|41.88614219999999|-71.3840265
Rhode Island: AA Today|Location is: Anchor Recovery Community Center|7|10:00:00|11:00:00|249 Main St, pawtucket, MA |41.8776084|-71.38528159999998
Rhode Island: AA Today|Location is: Anchor Recovery Community Center|6|10:00:00|11:00:00|249 Main St, pawtucket, MA |41.8776084|-71.38528159999998
Rhode Island: AA Today|Location is: Anchor Recovery Community Center|5|10:00:00|11:00:00|249 Main St, pawtucket, MA |41.8776084|-71.38528159999998
Rhode Island: AA Today|Location is: Anchor Recovery Community Center|4|10:00:00|11:00:00|249 Main St, pawtucket, MA |41.8776084|-71.38528159999998
Rhode Island: AA Today|Location is: Anchor Recovery Community Center|3|10:00:00|11:00:00|249 Main St, pawtucket, MA |41.8776084|-71.38528159999998
Rhode Island: AA Today|Location is: Anchor Recovery Community Center|2|10:00:00|11:00:00|249 Main St, pawtucket, MA |41.8776084|-71.38528159999998
Rhode Island: Promises|Location is: Saint Luke's Church|2|19:00:00|20:00:00|670 Weeden Street, Pawtucket, MA 02860|41.877724|-71.41181899999998
Rhode Island: F. I. G.|Location is: Saint Luke's Church|7|19:30:00|20:30:00|670 Weeden Street, Pawtucket, MA 02860|41.877724|-71.41181899999998
Rhode Island: Big Book Recovery|Location is: Saint Luke's Church|3|19:00:00|20:00:00|670 Weeden Street, Pawtucket, MA 02860|41.877724|-71.41181899999998
Rhode Island: Fairlawn Beginners|Location is: Saint Luke's Church|4|20:00:00|21:00:00|670 Weeden Street, Pawtucket, MA 02860|41.877724|-71.41181899999998
Rhode Island: Park Place 2|Location is: Park Place Congregational Church|2|20:00:00|21:00:00|71 Park Place, Pawtucket, MA 02860|41.87642700000001|-71.38759800000003
Rhode Island: R.I. Gay & Lesbian Group|Location is: Park Place Congregational Church|3|19:30:00|20:30:00|71 Park Place, Pawtucket, MA 02860|41.87642700000001|-71.38759800000003
Rhode Island: Park Place|Location is: Park Place Congregational Church|2|18:30:00|19:30:00|71 Park Place, Pawtucket, MA 02860|41.87642700000001|-71.38759800000003
Rhode Island: Number One|Location is: Pawtucket Congregational Church|5|20:00:00|21:00:00|40 Walcott Street, Pawtucket, MA 02860|41.876646|-71.38044689999998
Rhode Island: New Beginning|Location is: Pawtucket Congregational Church|2|19:30:00|20:30:00|40 Walcott Street, Pawtucket, MA 02860|41.876646|-71.38044689999998
