Massachusetts: Westfield Primary Purpose Group|Location is: 2nd Congregational Church|7|16:00:00|17:00:00|Western Ave. ??, WESTFIELD, ME 01085|42.1298158|-72.79581510000003
New Hampshire: Lancaster Lit Group|Location is: St. Paul&#39;s Episcopal Church|3|19:00:00|20:00:00|Main Street, lancaster, ME 03584|44.526153|-71.57410500000003
New Hampshire: North Country Group Third and Eleven Step|Location is: Weeks Hospital, 3rd Floor|1|09:30:00|10:30:00|Lancaster, NH, lancaster, ME |44.4889465|-71.56925100000001
Massachusetts: Early Birds|Location is: Union Church|4|18:30:00|19:30:00|1317 Main St, Concord, ME 05824|42.53348709999999|-71.39941850000002
Massachusetts: ONBO|Location is: Union Church|4|20:00:00|21:00:00|1317 Main St, Concord, ME 05824|42.53348709999999|-71.39941850000002
Massachusetts: Wake-Up Call|Location is: Union Church|3|06:45:00|07:45:00|1317 Main St, Concord, ME 05824|42.53348709999999|-71.39941850000002
Massachusetts: Wake-Up Call|Location is: Union Church|5|06:45:00|07:45:00|1317 Main St, Concord, ME 05824|42.53348709999999|-71.39941850000002
Massachusetts: Wake-Up Call|Location is: Union Church|7|08:30:00|09:30:00|1317 Main St, Concord, ME 05824|42.53348709999999|-71.39941850000002
Massachusetts: Union Church|Location is: Union Church|2|20:00:00|21:00:00|1317 Main St, Concord, ME 05824|42.53348709999999|-71.39941850000002
Vermont: Saturday Night Speaker |Location is: Church of God|7|18:00:00|19:00:00|Crawford Rd, Derby, ME 05855|44.93884449999999|-72.20234900000003
Massachusetts: FEDERATED CHURCH|Location is: FEDERATED CHURCH|2|19:30:00|20:30:00|162 MAIN STREET, ORLEANS, ME 05860|41.784944|-69.97454400000004
New Brunswick: Victoria Group|Location is: K of C Hall|6|20:30:00|21:30:00|Front Street, Grand Falls, ME |47.047839|-67.74242400000003
New Brunswick: Breakfast Meeting|Location is: Hilltop Hotel|1|09:00:00|10:00:00|Madawaska Road, Grand Falls, ME |47.0579239|-67.75188049999997
New Hampshire: Mayflower|Location is: St. Bonaven.|2|19:00:00|20:00:00|Rt. 3-A, Plymouth, ME 03264|43.7159735|-71.5303386
Vermont: Easy Does It|Location is: First Parish Ch.|3|19:30:00|20:30:00|Main St., Groton, ME 05046|44.2103954|-72.1948822
