Wed. night beginners meeting|Location is: Corner church|4|07:00:00|08:00:00|Morlt and River rd., fair_lawn, NJ |40.0583238|-74.4056612
New Way To Live|Location is: 1st Presbyterian Church|5|20:00:00|21:00:00|100 Scotch Rd., New Egypt, NJ |40.0676135|-74.53070930000001
Venture To Help|Location is: 1st Presbyterian Church|7|15:30:00|16:30:00|100 Scotch Rd., New Egypt, NJ |40.0676135|-74.53070930000001
Rocky Hill Noon|Location is: 24 Club|2|12:00:00|13:00:00|Rts. 206 & 518, New Egypt, NJ |40.0676135|-74.53070930000001
Live & Let Live|Location is: Church of Christ|5|20:00:00|21:00:00|97 Lakewood Rd. (Rt. 528), New Egypt, NJ |40.0676135|-74.53070930000001
New Beginners|Location is: New Beginners|6|19:30:00|20:30:00|2 Meadowbrook Lane New Egypt, Hightstown, NJ 08533|40.069752|-74.53727200000003
Prospects for Sobriety|Location is: Lutheran Church|2|20:00:00|21:00:00|1620 Prospect St., New Egypt, NJ |40.0676135|-74.53070930000001
Friday Night Group|Location is: Allentown Presbyterian Church|6|20:30:00|21:30:00|Route 539, Ellisdale (North Hanover), NJ 08501|40.0591667|-74.57749999999999
Hornerstown 12 & 12|Location is: HornerstownBaptistCh|3|19:00:00|20:00:00|13 Arnytown-HornerstownRd, Hamilton, NJ |40.102173|-74.55467099999998
Serenity In The Pines|Location is: St. Elizabeth Ann Seton Church,St. Matthew&#39;s Rm|2|12:00:00|13:00:00|30 Schoolhouse Road. , manchester_township, NJ 08759|39.9369706|-74.34720809999999
Serenity In The Pines|Location is: St. Elizabeth Ann Seton Church, St. Matthew&#39;s Rm, Parish Cen|6|12:00:00|13:00:00|30 Schoolhouse Road, manchester_township, NJ 08759|39.9369706|-74.34720809999999
Sunday Night Step|Location is: St. David's Church|1|20:00:00|21:00:00|90 South Main St., Allentown, NJ 08501|40.1741174|-74.5923482
Fourth Dimension|Location is: Holy Cross Lutheran Church|4|19:30:00|20:30:00|1500 Hooper Ave, Toms River, NJ 08753|39.99761|-74.16967899999997
Toms River Court House Gang|Location is: County Parking Garage, Third Floor, Cafeteria|7|10:00:00|11:00:00|129 Hooper Avenue & Madison, toms_river, NJ 08753|39.9548416|-74.19316709999998
Throckmorton Street Group|Location is: The Clubhouse|2|18:15:00|19:15:00|45 Throckmorton Street, freehold, NJ |40.2597964|-74.2766193
Throckmorton Street Group|Location is: The Clubhouse|1|19:00:00|20:00:00|45 Throckmorton Street, freehold, NJ |40.2597964|-74.2766193
Morning Miracles|Location is: The Clubhouse|1|09:00:00|10:00:00|45 Throckmorton Street, freehold, NJ |40.2597964|-74.2766193
Throckmorton Street Group|Location is: The Clubhouse|1|12:30:00|13:30:00|45 Throckmorton Street, freehold, NJ |40.2597964|-74.2766193
Princeton Alternative|Location is: Trinity Episcopal Church|7|10:00:00|11:00:00|33 Mercer St., Hightstown, NJ 08520|40.2688122|-74.5238362
Men's Discussion|Location is: Trinity Episcopal Church|4|20:30:00|21:30:00|33 Mercer St., Hightstown, NJ 08520|40.2688122|-74.5238362
Came To Believe|Location is: Slackwood Fire House|1|08:00:00|09:00:00|21 Slack Ave., Hightstown, NJ |40.2695538|-74.52320889999999
Attitude Adjustment|Location is: AI-.An Club|3|06:45:00|07:45:00|76I Cass SI., Hightstown, NJ |40.2695538|-74.52320889999999
Young & Sober|Location is: Bethany Pres. Church.|2|20:00:00|21:00:00|400 Hamilton & Chestnut, Hightstown, NJ |40.2695538|-74.52320889999999
Kurtins Tuesday Nite|Location is: Lakeside Community House|3|19:00:00|20:00:00|137 Lakeside Blvd, Hightstown, NJ |40.2695538|-74.52320889999999
Live and Let Live|Location is: SI. Marks Church|2|07:00:00|08:00:00|465 Paxson Ave, Hightstown, NJ |40.2695538|-74.52320889999999
Let It Begin with Me|Location is: Last Chance Recovery Center|1|19:30:00|20:30:00|917 S. Broad St., Hightstown, NJ 08520|40.2719011|-74.51982759999999
The Real Alcoholics|Location is: Al-An Club|1|14:00:00|15:00:00|761 Cass St, Yardville, NJ |40.1807447|-74.67078229999998
Women of Courage Group|Location is: Al-An Club|1|18:00:00|19:00:00|761 Cass St., Yardville, NJ |40.1807447|-74.67078229999998
The Winner's Circle|Location is: The Winner's Circle|7|07:30:00|08:30:00|16 All Saints Rd, Yardville, NJ |40.1807447|-74.67078229999998
11thStepPrayer/Meditation|Location is: Grace-St. Pauls Episcopal Ch|7|19:00:00|20:00:00|3715 E. State St. Ext., Yardville, NJ |40.1807447|-74.67078229999998
Women's Meeting|Location is: Presbyterian Church|4|12:15:00|13:15:00|Presbyterian Church 2688 Main St. (Rt. 206), Yardville, NJ |40.1807447|-74.67078229999998
Allentown Big Book|Location is: St.John's Ch|5|12:00:00|13:00:00|1282 Yardville-Allentown Rd (Rt.524), Yardville, NJ |40.1807447|-74.67078229999998
?11th Step|Location is: Friends Meeting House|1|15:00:00|16:00:00|Sugan Rd., Yardville, NJ |40.1807447|-74.67078229999998
Living Sober|Location is: Hamilton Twp. Library|5|12:00:00|13:00:00|1 Municipal Drive, Bordentown, NJ 08505|40.1402453|-74.7033523
A New Beginning|Location is: Capital Health Sys. Helene Fuld|3|19:00:00|20:00:00|750 Brunswick Ave, Hightstown, NJ 08512|40.2971392|-74.49655029999997
Slackwood Step|Location is: Slackwood Pres. Church|2|19:30:00|20:30:00|2020 Brunswick Ave., Hightstown, NJ 08512|40.2971392|-74.49655029999997
