ROAD'S END|Location is: Centenary United Methodist Church|2|20:00:00|21:00:00|Route 468 (Muddy Creek Road), Shadyside, WV 26624|38.7318936|-80.83224280000002
Upshur Uphill Group|Location is: United Methodist Church|1|20:00:00|21:00:00|42 So. Florida Street, buckhannon, WV 26201|38.9912955|-80.22629460000002
Gratitude Group|Location is: Gratitude Group|4|19:00:00|20:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133|38.472238|-81.10857440000001
Keep It Simple Sister|Location is: Gratitude Group|5|19:00:00|20:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133|38.472238|-81.10857440000001
Sober Bucks In Veneta|Location is: Gratitude Group|5|19:00:00|20:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133|38.472238|-81.10857440000001
Gratitude Group|Location is: Gratitude Group|7|09:00:00|10:00:00|25133 Broadway, Valley Methodist, Veneta, WV 25133|38.472238|-81.10857440000001
SIMPLY SOBER|Location is: Lakewood Church of God|2|19:00:00|20:00:00|22820 Fredrick Rd., Clarksburg, WV |39.2724573|-80.35263940000004
SIMPLY SOBER|Location is: Lakewood Church of God|6|19:00:00|20:00:00|22820 Fredrick Rd., Clarksburg, WV |39.2724573|-80.35263940000004
Pathfinder|Location is: Pathfinder|2|14:00:00|15:00:00|26349 Hwy 74 (Ch), Kittridge, WV 26349|39.23294569999999|-80.12317610000002
Pathfinder|Location is: Pathfinder|6|14:00:00|15:00:00|26349 Hwy 74 (Ch), Kittridge, WV 26349|39.23294569999999|-80.12317610000002
Friday Night Freedom Group|Location is: St Marks Lutheran Church|6|20:00:00|21:00:00|Route 19 S , clarksburg, WV |39.2495419|-80.38383440000001
Fellowship|Location is: Congregational Church|2|19:30:00|20:30:00|Route 9, Spencer, WV |38.8625622|-81.33212979999996
Magic Mtn|Location is: Magic Mtn|2|19:30:00|20:30:00|24901 Orchard Village Rd (Church), Valencia, WV 24901|37.8253221|-80.47714719999999
Women's Happy Hour|Location is: Magic Mtn|4|18:00:00|19:00:00|24901 Orchard Village Rd (Church), Valencia, WV 24901|37.8253221|-80.47714719999999
Magic Mtn|Location is: Magic Mtn|6|19:30:00|20:30:00|24901 Orchard Village Rd (Church), Valencia, WV 24901|37.8253221|-80.47714719999999
Women's Early Bird Big Book|Location is: Magic Mtn|7|07:15:00|08:15:00|24901 Orchard Village Rd (Church), Valencia, WV 24901|37.8253221|-80.47714719999999
After Work Meeting|Location is: J. Harper Meredith Bldg|2|17:00:00|18:00:00|Jackson St Entrance, fairmont, WV 26554|39.4850848|-80.14257809999998
Saturday Nite Fever Group|Location is: John Manchin Senior Health Care Hospital|2|19:00:00|20:00:00|401 Guffey St., fairmont, WV 26554|39.4788667|-80.13375880000001
Saturday Nite Fever Group|Location is: John Manchin Senior Health Care Hospital|1|19:00:00|20:00:00|401 Guffey St., fairmont, WV 26554|39.4788667|-80.13375880000001
The Monday Night Group|Location is: Monday Night Group|2|20:30:00|21:30:00|219 Jefferson St., fairmont, WV 26554|39.4840006|-80.1422134
