rusk club|Location is: key largo florida|2|17:30:00|18:30:00|mm 98.9 oceanside, key_largo, FL 
sunday night speaker mtg.|Location is: key largo florida|1|20:00:00|21:00:00|98.8 oceanside, key_largo, FL 
sunlight of the spirit|Location is: liberty lighthouse church|2|20:00:00|21:00:00|off felts--one street over from old 41, bonita_springs, FL 
All About Recovery|Location is: WWNN Am 1470 Radio|1|21:00:00|22:00:00|www.blogtalkradio.com/holistichealthtalk, boca_raton, FL 
candle light|Location is: ormond beach|1|22:00:00|23:00:00|n young st, ormond_beach, FL 
Against All Odds|Location is: Dry Palms Foundation|1|20:00:00|21:00:00|In directory, north_fort_myers, FL 
Against All Odds|Location is: Dry Palms Foundation|2|20:00:00|21:00:00|In directory, north_fort_myers, FL 
Sobriety on Two|Location is: 12 Step House |2|20:30:00|21:30:00|1 block north of ST Rd 84 next to the RR Tracks, fort_lauderdale, FL 
Primary Purpose Group(Garage Group)|Location is: Church of Ephiphany|5|19:00:00|20:00:00|103rd & Harlow Ave, orange_park, FL 
noontimers 7am|Location is: St Francis|2|07:00:00|08:00:00|101 I don&#39;t know it, gulf_breeze, FL 
Deltona/Debary Group|Location is: Orange City, Fla|6|20:00:00|21:00:00|First Congregational Church W. University Ave., orange_city, FL 
Tuesday Night Big Book Study|Location is: Union Congregational Church|3|20:00:00|21:00:00|106 Robert Britt Avenue, AVON PARK, FL 33825
Friendly Avon Park Group|Location is: Union Congregational Church|5|20:00:00|21:00:00|106 Robert Britt Avenue, AVON PARK, FL 33825
Easy Does It Group|Location is: Church of the Nazarene|6|20:00:00|21:00:00|707 W. Main St., AVON PARK, FL 33825
Back To Basics Group|Location is: Resurrection Lutheran Church|3|12:00:00|13:00:00|Corner of Main & Memorial , AVON PARK, FL 33825
Back To Basics Group|Location is: Resurrection Lutheran Church|5|12:00:00|13:00:00|Corner of Main & Memorial , AVON PARK, FL 33825
Back To Basics Group|Location is: Resurrection Lutheran Church|7|12:00:00|13:00:00|Corner of Main & Memorial , AVON PARK, FL 33825
