The Serenity Group|Location is: Winchester Alano Club|2|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391
The Serenity Group|Location is: Winchester Alano Club|3|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391
The Serenity Group|Location is: Winchester Alano Club|4|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391
The Serenity Group|Location is: Winchester Alano Club|5|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391
The Serenity Group|Location is: Winchester Alano Club|6|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391
The Serenity Group|Location is: Winchester Alano Club|7|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391
The Serenity Group|Location is: Winchester Alano Club|1|16:00:00|17:00:00|66 N Main St, Winchester, KY 40391
Lunch Bunch|Location is: Winchester Alano Club|4|12:00:00|13:00:00|66 north main street, winchester, KY 40391
WINCHESTER GROUP|Location is: First United Methodist Church|5|13:30:00|14:30:00|100 Jefferson St, Winchester, KY 40391
Sober by Grace|Location is: Sober by Grace|3|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY 
Sober by Grace|Location is: Sober by Grace|4|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY 
Sober by Grace|Location is: Sober by Grace|5|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY 
Sober by Grace|Location is: Sober by Grace|6|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY 
Sober by Grace|Location is: Sober by Grace|2|06:30:00|07:30:00|2 Militia Dr., Rm G-5, enter rear, Lexington, KY 
NEW HOPE GROUP 2|Location is: LEXINGTON JAYCEE HUT|1|09:30:00|10:30:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY 
NEW HOPE GROUP 3|Location is: LEXINGTON JAYCEE HUT|1|17:00:00|18:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY 
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|2|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY 
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|3|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY 
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|6|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY 
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|7|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY 
My Meeting|Location is: My House|6|19:00:00|20:00:00|My Address, lexington, KY 
F.A.I.T.H. Group|Location is: Woodland Christian Church|4|20:00:00|21:00:00|530 E High St, Lexington, KY 40502
Pass It On Group|Location is: Southside Church of Christ|5|08:00:00|09:00:00|1533 Nicholasville Road, lexington, KY 40503
The Lunch Bunch|Location is: Downtown|2|12:00:00|13:00:00|370 E.2nd Street, lexington, KY 40508
The Lunch Bunch|Location is: Alano Club|2|12:00:00|13:00:00|E. Second Street, lexington, KY 
Mens Step Study 12 X 12|Location is: Union Church|2|18:00:00|19:00:00|	200 Prospect St, berea, KY 40403
Grapevine Group|Location is: Central Christian Church Cafeteria|6|19:30:00|20:30:00|205 E. Short Street, Lexington, KY 40501
(SOT) Sober on Thursday|Location is: Berea Baptist Church|5|20:00:00|21:00:00|310 Chestnut St, Berea, KY 40403
Peace Within|Location is: Gratz Park--Basement|3|18:00:00|19:00:00|3rd and Market Streets, lexington, KY 
What Are We Group|Location is: Church of the Good Shepherd|1|19:00:00|20:00:00|1530 Pleasant St. - Rt. 102, SOUTH LEE, KY 40508
Lawrenceburg Group|Location is: First Christian Church|2|20:00:00|21:00:00|300 S. Main St., lawrenceburg, KY 40342
The Frankfort Group|Location is: 300 Strathmore Dr.|3|20:00:00|21:00:00|Frankfort, KY , frankfort, KY 
BIG PINE TRADITIONS GROUP|Location is: BIG PINE UNITED METHODIST CHURCH|1|17:00:00|18:00:00|KEY DEER BLVD, KEY WEST, KY 40371
NOTTING HILL: BEGINNERS CHIPS|Location is: One Floor above Charlie&#39;s Cafe|4|19:30:00|20:30:00|, London, KY 
Into Action Group|Location is: St. Albans Church|7|08:00:00|09:00:00|5th St, Morehead, KY 40351
12 &12 Study Group|Location is: Valley Camp|3|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539
Spirit by Fire|Location is: Valley Camp|6|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539
Big Book Study Group|Location is: Valley Camp|2|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539
VC Group|Location is: Valley Camp|4|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539
Sat. Night Campfire|Location is: Valley Camp|7|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539
SHELBYVILLE GROUP|Location is: First Presbyterian Church|5|13:30:00|14:30:00|600 N Britten, Shelbyville, KY 
sweet owen group|Location is: owen county library|4|20:00:00|21:00:00|N Main St, Owenton, KY 40359
8-up|Location is: Hunter House|2|18:30:00|19:30:00|W 3rd St, Maysville, KY 41056
Tuesday's Grace Womens Meeting|Location is: Presbyterian Church|3|20:00:00|21:00:00|N 2nd St & E Broadway St, Bardstown, KY 40004
Loose Ends|Location is: Presbyterian Church|6|09:00:00|10:00:00|N 2nd St & E Broadway St, Bardstown, KY 40004
Solution Seekers|Location is: Presbyterian Church|2|09:00:00|10:00:00|N 2nd St & E Broadway St, Bardstown, KY 40004
Midweek Serenity Group|Location is: Nazareth College, Crimmons Hall|4|20:00:00|21:00:00|Nazareth Rd., bardstown, KY 40048
Good Foundations Beginners Meeting|Location is: Nelson Co. Public Library|6|18:00:00|19:00:00|205 N Columbia Ave., Bardstown, KY 40004
Bardstown Thursday Night|Location is: St. Monica Church|5|20:00:00|21:00:00|407 S. 3rd St.,, bardstown, KY 40004
Camel Group|Location is: Public Library|6|20:00:00|21:00:00|201 Cathedral Manor, Bardstown, KY 40004
Friday Night Recovery Group|Location is: The Haven|6|18:00:00|19:00:00|622 Maple Street, campbellsville, KY 42718
Various|Location is: The Haven|1|20:00:00|21:00:00|622 Maple Street, campbellsville, KY 42718
Noon|Location is: Haven Clubhouse|2|12:00:00|13:00:00|622 Maple Street, campbellsville, KY 42718
At the library|Location is: Taylor County Library|6|20:00:00|21:00:00|205 N. Columbia Ave., campbellsville, KY 42718
New Beginnings|Location is: New Beginnings|7|10:30:00|11:30:00|Hwy 66, Leslie, KY 40827
Russell Springs Group|Location is: Senior Citizen Center|4|19:00:00|20:00:00|, Russell Springs, KY 
HEART OF TEMECULA|Location is: HEART OF TEMECULA|2|19:30:00|20:30:00|41743 ENTERPRISE CIRCLE NORTH, LAKE ELS, KY 
Williamsburg Big Book Group|Location is: 1st Congregational Church|3|20:00:00|21:00:00|906 N. Main St., WILLIAMSBURG, KY 40769
Women Do Recover|Location is: Douglass Boulevard Christian Church|3|18:30:00|19:30:00|2005 Douglas Boulevard, louisville, KY 40165
KEEP IT SIMPLE|Location is: SPRINGDALE CHURCH|4|18:00:00|19:00:00|7812 OLD BROWNSBORO, louisville, KY 40222
ROAD RUNNER|Location is: CALVERY LUTHERAN CHURCH|7|10:00:00|11:00:00|BARDSTOWN RD, Louisville, KY 40207
Women Do Recover|Location is: 2005 Douglass Loop|3|18:30:00|19:30:00|Louisville, KY 40205, louisville, KY 40205
HAPPY HOUR|Location is: WOMEN'S HEALING PLACE|6|12:15:00|13:15:00|14TH & HILL, louisville, KY 40205
Open Door AA|Location is: Christ Memorial Lutheran Church|5|19:30:00|20:30:00|13501 Sunset Trail(Co Rd 15), Plymouth, KY 40206
Broad Highway|Location is: Third Lutheran Church|2|20:00:00|21:00:00|1864 Frankfort Ave, louisville, KY 40206
Bardstown Road Group|Location is: Advent Epis Church (Basement)|4|18:30:00|19:30:00|901 Baxter Ave, Louisville, KY 40204
Power of Choice|Location is: Icehouse|2|20:00:00|21:00:00|1400 S Shelby St., louisville, KY 40217
12&12|Location is: Icehouse|2|18:00:00|19:00:00|1400 S Shelby St., louisville, KY 40217
CHURCHHILL|Location is: OPEN DOOR/HAND|3|20:00:00|21:00:00|SOUTHERN PRKWY, louisville, KY 40215
Unity Group|Location is: York Towers|6|19:00:00|20:00:00|203 York St, Louisville, KY 40203
NOON|Location is: Club House One|2|00:00:00|01:00:00|3700 Rossmore Blvd., Silver Spring, KY 41075
SECOND CHANCE GROUP|Location is: HOLY CROSS COLLEGE|1|09:00:00|10:00:00|US 31-33 NORTH, SOUTH BEND, KY 
THE GREEN GROUP|Location is: HOLY CROSS COLLEGE|1|10:00:00|11:00:00|US 31-33 NORTH, SOUTH BEND, KY 
Lampton Gr|Location is: Lampton Baptist Church|3|10:30:00|11:30:00|850 South 4th Street, louisville, KY 40203
The Gardenview Group|Location is: Jeff Token Club|6|20:00:00|21:00:00|511 Indiana Ave, Jeffersonville, KY 47130
Second Chance|Location is: Second Chance|1|14:00:00|15:00:00|2255 S. 88th St (Hospital), Louisville, KY 
