JONES STREET|Location is: River City Clubhouse|7|19:00:00|20:00:00|3623 Lee St, alexandria, LA 71302
jolena|Location is: pineville|1|10:00:00|11:00:00|1604dupreerd, pineville, LA 71360
NEW ROADS GROUP|Location is: CLUB TWELVE OF NEW ROADS|2|20:00:00|21:00:00|3448 MARY DRIVE NEW ROADS LA, new_roads, LA 70760
NEW ROADS GROUP|Location is: CLUB TWELVE OF NEW ROADS|3|20:00:00|21:00:00|3448 MARY DRIVE NEW ROADS LA, new_roads, LA 70760
NEW ROADS GROUP|Location is: CLUB TWELVE OF NEW ROADS|5|20:00:00|21:00:00|3448 MARY DRIVE NEW ROADS LA, new_roads, LA 70760
NEW ROADS GROUP|Location is: NEW ROADS LA. |4|20:00:00|21:00:00|3448 MARY DRIVE, new_roads, LA 70760
NEW ROADS GROUP|Location is: NEW ROADS LA. |6|20:00:00|21:00:00|3448 MARY DRIVE, new_roads, LA 70760
SERENITY ON SATURDAY|Location is: NEW ROADS LA. |7|18:00:00|19:00:00|3448 MARY DRIVE, new_roads, LA 70760
Freedom&#39;s Choice|Location is: behind Domino&#39;s|1|20:00:00|21:00:00|1119C Johnston St., lafayette, LA 70501
Freedom&#39;s Choice|Location is: behind Domino&#39;s|4|20:00:00|21:00:00|1119C Johnston St., lafayette, LA 70501
Lions Hall|Location is: Lions Hall|4|20:30:00|21:30:00|Main St., Fayette, LA 
AA Meeting|Location is: St Joseph's Church|6|20:00:00|21:00:00|830 S. Lafayette, South Lyons, LA 70506
3rd Street & Park|Location is: Crowley|3|19:00:00|20:00:00|317 E. 3rd Street, crowley, LA 70526
11 step meeting|Location is: First United Methodist Church (downtown)|6|20:00:00|21:00:00|919 America St room115, baton_rouge, LA 70802
Fellowship Group|Location is: University United Methodist Church|6|17:45:00|18:45:00|3350 Dalrymple Dr, Baton Rouge, LA 70802
Fellowship Group|Location is: University United Methodist Church|1|18:30:00|19:30:00|3350 Dalrymple Dr, Baton Rouge, LA 70802
Young and the Restless|Location is: Church of the Way|4|19:30:00|20:30:00|250 S. Foster Dr,, baton rouge, LA 70806
Early Birds|Location is: Church of the Way|1|07:30:00|08:30:00|250 S. Foster Dr,, baton rouge, LA 70806
FREEDOM OF CHOICE|Location is: METROPOLITAIN COMMUNITY CHURCH|2|20:00:00|21:00:00|7747 TOM DR , baton_rouge, LA 70806
FREEDOM OF CHOICE|Location is: METROPOLITAIN COMMUNITY CHURCH|5|20:00:00|21:00:00|7747 TOM DR , baton_rouge, LA 70806
FREEDOM OF CHOICE|Location is: METROPOLITAIN COMMUNITY CHURCH|7|20:00:00|21:00:00|7747 TOM DR , baton_rouge, LA 70806
TWELVE AND TWELVE|Location is: Church Of The Good Shepherd|2|10:00:00|11:00:00|9350 Braddock Rd & Olley La, Burke, LA 
BUY TIME|Location is: Church Of The Good Shepherd|6|20:00:00|21:00:00|9350 Braddock Rd & Olley La, Burke, LA 
BUY TIME|Location is: Church Of The Good Shepherd|7|20:30:00|21:30:00|9350 Braddock Rd & Olley La, Burke, LA 
Sherwood Men's Step x Step|Location is: Friends Church|5|20:00:00|21:00:00|950 S Sherwood Blvd, Sherwood, LA 70815
Tuesday Lit. Group|Location is: AA Central Office|3|10:00:00|11:00:00|10319 Old Hammond Hwy, baton rouge, LA 70816
Shivering Denizens|Location is: AA Central Office|1|10:00:00|11:00:00|10319 Old Hammond Hwy, baton rouge, LA 70816
Quarters Speaker Meeting|Location is: Tau Center|1|19:00:00|20:00:00|8080 Margaret Ann Ave, Baton Rouge, LA 70809
AA Meeting|Location is: OLOL TAU Center|4|18:00:00|19:00:00|8080 Margaret Ann Avenue, baton rouge, LA 70809
224 Group|Location is: Serenity Club|1|10:00:00|11:00:00|7519 Amite Church Road, denham_springs, LA 70706
Sanity Break|Location is: Highland Presbyterian|6|12:00:00|13:00:00|10024 Highland Rd, baton rouge, LA 70810
Sanity Break|Location is: Highland Presbyterian|5|12:00:00|13:00:00|10024 Highland Rd, baton rouge, LA 70810
Sanity Break|Location is: Highland Presbyterian|4|12:00:00|13:00:00|10024 Highland Rd, baton rouge, LA 70810
Sanity Break|Location is: Highland Presbyterian|3|12:00:00|13:00:00|10024 Highland Rd, baton rouge, LA 70810
Sanity Break|Location is: Highland Presbyterian Church|2|12:00:00|13:00:00|10024 Highland Rd, baton rouge, LA 70810
SOUTH CITY GROUP|Location is: ST. MICHAELS EPISCOPAL CHURCH|2|18:00:00|19:00:00|, , LA 
South City Group|Location is: ST. Michael`s Episcopal Church|2|18:00:00|19:00:00|, , LA 
FAIRFIELD GROUP|Location is: LUTHERAN CHURCH|3|20:00:00|21:00:00|HIGHWAY 84 EAST, FAIRFIELD, LA 
FAIRFIELD GROUP|Location is: LUTHERAN CHURCH|5|20:00:00|21:00:00|HIGHWAY 84 EAST, FAIRFIELD, LA 
HOW WOMENS GROUP|Location is: FREE METHODIST CHURCH|4|12:00:00|13:00:00|Texas 87, Hemphill, LA 75948
Brimstone Sulphur Group|Location is: Parkview Baptist Church|1|18:00:00|19:00:00|1623 Picard Road, sulphur, LA 70663
ARCOLA GROUP|Location is: ARCOLA HIGH SCHOOL|6|20:00:00|21:00:00|, ARCOLA, LA 
Settlement|Location is: Settlement Lutheran Church|2|20:00:00|21:00:00|n/a, Gowen, LA 
First Things First 2|Location is: First Things First|4|null|N/A|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First|Location is: First Things First|4|14:00:00|15:00:00|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First 2|Location is: First Things First|3|null|N/A|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First|Location is: First Things First|3|14:00:00|15:00:00|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First 2|Location is: First Things First|5|null|N/A|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First|Location is: First Things First|5|14:00:00|15:00:00|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First 2|Location is: First Things First|7|null|N/A|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First 2|Location is: First Things First|2|null|N/A|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First|Location is: First Things First|2|14:00:00|15:00:00|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First 2|Location is: First Things First|6|null|N/A|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
First Things First|Location is: First Things First|6|14:00:00|15:00:00|7100 W. Mississippi Ave (Ch), Lakewood, LA 39180
Vicksburg Group|Location is: Vicksburg|1|10:30:00|11:30:00|End of Dabney Ave on the left, Vicksburg, LA 39180
Vicksburg Group|Location is: Vicksburg|2|12:00:00|13:00:00|End of Dabney Ave on the left, Vicksburg, LA 39180
Vicksburg Group|Location is: Vicksburg|3|12:00:00|13:00:00|End of Dabney Ave on the left, Vicksburg, LA 39180
Vicksburg Group|Location is: Vicksburg|4|12:00:00|13:00:00|End of Dabney Ave on the left, Vicksburg, LA 39180
Vicksburg Group|Location is: Vicksburg|5|12:00:00|13:00:00|End of Dabney Ave on the left, Vicksburg, LA 39180
Vicksburg Group|Location is: Vicksburg|6|22:00:00|23:00:00|End of Dabney Ave on the left, Vicksburg, LA 39180
Vicksburg Group|Location is: Vicksburg|7|19:30:00|20:30:00|End of Dabney Ave on the left, Vicksburg, LA 39180
MANSFIELD GROUP|Location is: ST JOSEPHS CATHOLIC CHURCH|4|19:00:00|20:00:00|305 JEFFERSON ST, MANSFIELD, LA 71052
The Summit Group|Location is: 804 Walnut St.|2|18:30:00|19:30:00|PO Box 762, summit, LA 39666
The Summit Group|Location is: 804 Walnut St.|2|12:00:00|13:00:00|PO Box 762, summit, LA 39666
The Summit Group|Location is: 804 Walnut St.|1|18:30:00|19:30:00|PO Box 762, summit, LA 39666
The Summit Group|Location is: 804 Walnut St.|1|10:30:00|11:30:00|PO Box 762, summit, LA 39666
NO NAME GROUP|Location is: OLD BAPTIST BOOK STORE|1|13:00:00|14:00:00|713 SHREVEPORT ROAD, MINDEN, LA 71055
OUTCAST GROUP|Location is: OLD BAPTIST BOOK STORE|4|20:00:00|21:00:00|713 SHREVEPORT ROAD, MINDEN, LA 71055
PINK CLOUGG|Location is: ST JOHNS EPISCOPAL CHURCH|2|17:30:00|18:30:00|1107 BROADWAY ST, MINDEN, LA 71055
MINDEN|Location is: THE ALPHA CLUB|2|06:45:00|07:45:00|801 GOODWILL ST, MINDEN, LA 71055
MINDEN 3|Location is: THE ALPHA CLUB|3|17:15:00|18:15:00|801 GOODWILL ST, MINDEN, LA 71055
