Wed. night beginners meeting|Location is: Corner church|4|07:00:00|08:00:00|Morlt and River rd., fair_lawn, NJ 
New Way To Live|Location is: 1st Presbyterian Church|5|20:00:00|21:00:00|100 Scotch Rd., New Egypt, NJ 
Venture To Help|Location is: 1st Presbyterian Church|7|15:30:00|16:30:00|100 Scotch Rd., New Egypt, NJ 
Rocky Hill Noon|Location is: 24 Club|2|12:00:00|13:00:00|Rts. 206 & 518, New Egypt, NJ 
Live & Let Live|Location is: Church of Christ|5|20:00:00|21:00:00|97 Lakewood Rd. (Rt. 528), New Egypt, NJ 
New Beginners|Location is: New Beginners|6|19:30:00|20:30:00|2 Meadowbrook Lane New Egypt, Hightstown, NJ 08533
Prospects for Sobriety|Location is: Lutheran Church|2|20:00:00|21:00:00|1620 Prospect St., New Egypt, NJ 
Friday Night Group|Location is: Allentown Presbyterian Church|6|20:30:00|21:30:00|Route 539, Ellisdale (North Hanover), NJ 08501
Hornerstown 12 & 12|Location is: HornerstownBaptistCh|3|19:00:00|20:00:00|13 Arnytown-HornerstownRd, Hamilton, NJ 
Serenity In The Pines|Location is: St. Elizabeth Ann Seton Church,St. Matthew&#39;s Rm|2|12:00:00|13:00:00|30 Schoolhouse Road. , manchester_township, NJ 08759
Serenity In The Pines|Location is: St. Elizabeth Ann Seton Church, St. Matthew&#39;s Rm, Parish Cen|6|12:00:00|13:00:00|30 Schoolhouse Road, manchester_township, NJ 08759
Sunday Night Step|Location is: St. David's Church|1|20:00:00|21:00:00|90 South Main St., Allentown, NJ 08501
Fourth Dimension|Location is: Holy Cross Lutheran Church|4|19:30:00|20:30:00|1500 Hooper Ave, Toms River, NJ 08753
Toms River Court House Gang|Location is: County Parking Garage, Third Floor, Cafeteria|7|10:00:00|11:00:00|129 Hooper Avenue & Madison, toms_river, NJ 08753
Throckmorton Street Group|Location is: The Clubhouse|2|18:15:00|19:15:00|45 Throckmorton Street, freehold, NJ 
Throckmorton Street Group|Location is: The Clubhouse|1|19:00:00|20:00:00|45 Throckmorton Street, freehold, NJ 
Morning Miracles|Location is: The Clubhouse|1|09:00:00|10:00:00|45 Throckmorton Street, freehold, NJ 
Throckmorton Street Group|Location is: The Clubhouse|1|12:30:00|13:30:00|45 Throckmorton Street, freehold, NJ 
Princeton Alternative|Location is: Trinity Episcopal Church|7|10:00:00|11:00:00|33 Mercer St., Hightstown, NJ 08520
Men's Discussion|Location is: Trinity Episcopal Church|4|20:30:00|21:30:00|33 Mercer St., Hightstown, NJ 08520
Came To Believe|Location is: Slackwood Fire House|1|08:00:00|09:00:00|21 Slack Ave., Hightstown, NJ 
Attitude Adjustment|Location is: AI-.An Club|3|06:45:00|07:45:00|76I Cass SI., Hightstown, NJ 
Young & Sober|Location is: Bethany Pres. Church.|2|20:00:00|21:00:00|400 Hamilton & Chestnut, Hightstown, NJ 
Kurtins Tuesday Nite|Location is: Lakeside Community House|3|19:00:00|20:00:00|137 Lakeside Blvd, Hightstown, NJ 
Live and Let Live|Location is: SI. Marks Church|2|07:00:00|08:00:00|465 Paxson Ave, Hightstown, NJ 
Let It Begin with Me|Location is: Last Chance Recovery Center|1|19:30:00|20:30:00|917 S. Broad St., Hightstown, NJ 08520
The Real Alcoholics|Location is: Al-An Club|1|14:00:00|15:00:00|761 Cass St, Yardville, NJ 
Women of Courage Group|Location is: Al-An Club|1|18:00:00|19:00:00|761 Cass St., Yardville, NJ 
The Winner's Circle|Location is: The Winner's Circle|7|07:30:00|08:30:00|16 All Saints Rd, Yardville, NJ 
11thStepPrayer/Meditation|Location is: Grace-St. Pauls Episcopal Ch|7|19:00:00|20:00:00|3715 E. State St. Ext., Yardville, NJ 
Women's Meeting|Location is: Presbyterian Church|4|12:15:00|13:15:00|Presbyterian Church 2688 Main St. (Rt. 206), Yardville, NJ 
Allentown Big Book|Location is: St.John's Ch|5|12:00:00|13:00:00|1282 Yardville-Allentown Rd (Rt.524), Yardville, NJ 
?11th Step|Location is: Friends Meeting House|1|15:00:00|16:00:00|Sugan Rd., Yardville, NJ 
Living Sober|Location is: Hamilton Twp. Library|5|12:00:00|13:00:00|1 Municipal Drive, Bordentown, NJ 08505
A New Beginning|Location is: Capital Health Sys. Helene Fuld|3|19:00:00|20:00:00|750 Brunswick Ave, Hightstown, NJ 08512
Slackwood Step|Location is: Slackwood Pres. Church|2|19:30:00|20:30:00|2020 Brunswick Ave., Hightstown, NJ 08512
High Noon|Location is: Baptist Church|6|12:00:00|13:00:00|17 Highland Ave(corner of S. Broad), Hamilton, NJ 08620
Allentown Men's|Location is: St. John's Ch|3|20:00:00|21:00:00|1628Yardville-Allentown Rd (Rt.524), Bordentown, NJ 
The Winner's Circle|Location is: The Winner's Circle|5|07:30:00|08:30:00|16 All Saints Rd, Bordentown, NJ 
The Winner's Circle|Location is: The Winner's Circle|2|07:30:00|08:30:00|16 All Saints Rd, Bordentown, NJ 
We Are Not Saints|Location is: First Presbyterian Church|2|19:30:00|20:30:00|Farnsworth Ave., Trenton, NJ 08505
The Mustard Seed|Location is: Lakeside Community HS|1|16:00:00|17:00:00|137 Lakeside Road, Hamilton, NJ 08610
