Shawnee Big Book Group|Location is: Shawnee|2|20:00:00|21:00:00|111 N Kickapoo St, Shawnee, OK 74801
Norman Firehouse Group|Location is: Fire Station|4|20:00:00|21:00:00|, Norman, OK 
God working In Our Lives|Location is: Unname Location|1|10:00:00|11:00:00|1111 N Kickapoo St, Shawnee, OK 74801
Tuesday Big Book Study|Location is: Shawnee Big Book Group|3|18:00:00|19:00:00|1111 N Kickapoo St, Shawnee, OK 74801
Ada Freedom Group|Location is: Public Building|2|20:00:00|21:00:00|431 S Mississippi Ave, ada, OK 74820
Ada Freedom Group|Location is: Public Building|2|12:00:00|13:00:00|431 S Mississippi Ave, ada, OK 74820
Pisgah Group|Location is: First Presbyterian Church|5|08:00:00|09:00:00|40 Church Street - Enter in Alley, Asheville, OK 
Traditions II|Location is: Oklahoma City|2|20:00:00|21:00:00|Members Homes, Oklahoma City, OK 73101
Big Book|Location is: Classen Club|2|20:00:00|21:00:00|3401 N Shartel,Oklahoma city,OK, oklahoma city, OK 73106
1,2,3|Location is: Classen Club|1|20:00:00|21:00:00|3401 , oklahoma city, OK 73106
Nameless Band of Alcoholics Anonymous|Location is: 3913 Shannon Ave|2|19:00:00|20:00:00|Oklahoma City, , oklahoma city, OK 73008
Back Alley Group|Location is: Chickasha Oklahoma USA|1|12:00:00|13:00:00|809 S 1st St, Chickasha, OK 73018
El Reno AA|Location is: 506 S. Barker|1|13:00:00|14:00:00|El Reno Okla., El Reno, OK 73036
Sleepy Hollow|Location is: Stillwater|1|20:00:00|21:00:00| 2106 W. 12th St., stillwater, OK 74074
Welcome Group|Location is: Okmulgee|1|19:30:00|20:30:00|1201 N Griffin Ave, Okmulgee, OK 74447
Lawton Original Group (LOG)|Location is: 1204 F Avenue|1|06:00:00|07:00:00|Lawton, OK, lawton, OK 
Sherwood Shores|Location is: Sherwood Shores|1|14:00:00|15:00:00|230 Will Stutley Dr, Sherwood Shores, OK 76245
Sherwood Shores|Location is: Sherwood Shores|2|14:00:00|15:00:00|230 Will Stutley Dr, Sherwood Shores, OK 76245
Sherwood Shores|Location is: Sherwood Shores|4|14:00:00|15:00:00|230 Will Stutley Dr, Sherwood Shores, OK 76245
Sherwood Shores|Location is: Sherwood Shores|6|14:00:00|15:00:00|230 Will Stutley Dr, Sherwood Shores, OK 76245
Sherwood Shores 2|Location is: Sherwood Shores|6|14:30:00|15:30:00|230 Will Stutley Dr, Sherwood Shores, OK 76245
Sherwood Shores|Location is: Sherwood Shores|7|14:00:00|15:00:00|230 Will Stutley Dr, Sherwood Shores, OK 76245
Sunlight of the Spirit|Location is: Georgetown Baptist Church|7|14:00:00|15:00:00|207 Georgetown Road, Pottsboro, OK 75076
NOCONA GROUP|Location is: NOCONA GROUP|2|20:00:00|21:00:00|206 CLAY, NOCONA, OK 76255
Texoma #1 2|Location is: Texoma #1|1|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|1|23:00:00|00:00:00|300 West Morgan, Denison, OK 75020
Texoma #1 2|Location is: Texoma #1|2|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|2|12:00:00|13:00:00|300 West Morgan, Denison, OK 75020
Texoma #1 2|Location is: Texoma #1|3|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|3|12:00:00|13:00:00|300 West Morgan, Denison, OK 75020
Texoma #1 2|Location is: Texoma #1|4|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|4|12:00:00|13:00:00|300 West Morgan, Denison, OK 75020
Texoma #1 2|Location is: Texoma #1|5|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|5|12:00:00|13:00:00|300 West Morgan, Denison, OK 75020
Texoma #1 2|Location is: Texoma #1|6|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|6|12:00:00|13:00:00|300 West Morgan, Denison, OK 75020
Texoma #1 2|Location is: Texoma #1|7|null|N/A|300 West Morgan, Denison, OK 75020
Texoma #1|Location is: Texoma #1|7|12:00:00|13:00:00|300 West Morgan, Denison, OK 75020
Genesis|Location is: Genesis|1|14:00:00|15:00:00|401 East Hull, Denison, OK 75021
Genesis|Location is: Genesis|5|14:00:00|15:00:00|401 East Hull, Denison, OK 75021
Lincoln 12 and 12|Location is: Senior Center|4|19:30:00|20:30:00|Jenks Hill Rd, Jenks, OK 
ANCHOR GROUP 6|Location is: ANCHOR GROUP|1|10:00:00|11:00:00|1608 N COMMERCE ST, GAINESVILLE, OK 76240
ANCHOR GROUP|Location is: ANCHOR GROUP|2|12:00:00|13:00:00|1608 N COMMERCE ST, GAINESVILLE, OK 76240
ANCHOR GROUP|Location is: ANCHOR GROUP|3|12:00:00|13:00:00|1608 N COMMERCE ST, GAINESVILLE, OK 76240
ANCHOR GROUP|Location is: ANCHOR GROUP|4|12:00:00|13:00:00|1608 N COMMERCE ST, GAINESVILLE, OK 76240
ANCHOR GROUP|Location is: ANCHOR GROUP|5|12:00:00|13:00:00|1608 N COMMERCE ST, GAINESVILLE, OK 76240
ANCHOR GROUP|Location is: ANCHOR GROUP|6|12:00:00|13:00:00|1608 N COMMERCE ST, GAINESVILLE, OK 76240
