Pierre AA|Location is: Pierre SD|2|12:00:00|13:00:00|325 South Garfield, pierre, SD 57501
Mitchell Alano Club|Location is: Mitchell|2|12:00:00|13:00:00|424 E. 9th Ave., mitchell, SD 57301
Freeman Al-Anon|Location is: Hope Lutheran Church|5|20:00:00|21:00:00|208 E So. Country Rd, Freeman, SD 57029
AA Group|Location is: Hope Lutheran Church|5|20:00:00|21:00:00|208 E. South County Rd, Freeman, SD 57029
MADISON,S WOMEN'S GROUP|Location is: Osu Campus|7|13:00:00|14:00:00|, Madison, SD 
AA Group|Location is: Community Bldg|4|20:00:00|21:00:00|120 N. Main, Colman, SD 57017
Fordyce Group|Location is: Fordyce Group|2|19:00:00|20:00:00|309 Main Street, Fordyce, SD 68736
Saving Grace Women's Mtg.|Location is: Holy Cross Lutheran Church|2|17:30:00|18:30:00|1300 S. Sertoma Avenue, , South Dakota  USA, SD 57106
N.E. SUNRISE|Location is: Holy Name Church|2|07:00:00|08:00:00|920 11th St.ne., Northeast, SD 68756
N.E. SUNRISE|Location is: Holy Name Church|3|07:00:00|08:00:00|920 11th St. Ne., Northeast, SD 68756
N.E. SUNRISE|Location is: Holy Name Church|4|07:00:00|08:00:00|920 11th St. Ne., Northeast, SD 68756
N.E. SUNRISE|Location is: Holy Name Church|5|07:00:00|08:00:00|920 11th St. Ne., Northeast, SD 68756
N.E. SUNRISE|Location is: Holy Name Church|6|07:00:00|08:00:00|920 11th St. Ne., Northeast, SD 68756
Thirsty Evening AA Group|Location is: Peace Lutheran Church|5|19:00:00|20:00:00|5509 W. 41st, , South Dakota  USA, SD 57106
Saturday Morning AA Group|Location is: Peace Lutheran Church|7|10:00:00|11:00:00|5509 W. 41st, , South Dakota  USA, SD 57106
Serenity on Saturday Al-Anon|Location is: Peace Lutheran Church|7|10:00:00|11:00:00|5509 West 41st, Sioux Falls, SD 57106
AA Group|Location is: Lutheran Church|5|20:00:00|21:00:00|702 N. Orleans, Dell Rapids, SD 57022
Rainbow Wildbunch AA Group|Location is: Berakhah House|4|19:00:00|20:00:00|400 N. Western Avenue, , South Dakota  USA, SD 57104
Rainbow Wildbunch AA Group|Location is: Berakhah House|7|19:00:00|20:00:00|400 N. Western Avenue, , South Dakota  USA, SD 57104
Black Sheep AA Group|Location is: Good Shepherd Episcopal Church|2|20:00:00|21:00:00|2707 W. 33rd St., , South Dakota  USA, SD 57105
Black Sheep AA Group|Location is: Good Shepherd Episcopal Church|6|20:00:00|21:00:00|2707 W. 33rd St., , South Dakota  USA, SD 57105
Open Door Al-Anon|Location is: St. Mark_s Lutheran|2|18:30:00|19:30:00|2001 S Elmwood, Sioux Falls, SD 57105
Southside Sunset AFG|Location is: Southside Sunset AFG|4|19:00:00|20:00:00|4112 S. West Ave., Sioux Falls, SD 57105
Southside AA|Location is: Sioux Falls South Dakota|2|17:30:00|18:30:00|4112 Southwest Ave, Sioux Falls, SD 57105
Three C_s Al-Anon|Location is: First United Methodist Church|5|13:30:00|14:30:00|410 S Spring Ave, Sioux Falls, SD 57104
Recovery AA Group|Location is: Our Savior's Lutheran Church|2|17:30:00|18:30:00|33rd St. & Summit Ave., , South Dakota  USA, SD 
Young Guns AA Group|Location is: Horse Barn Art Center|1|19:30:00|20:30:00|309 E Falls Park Drive, , South Dakota  USA, SD 57104
Downtown AA Meeting|Location is: Carroll Institute|4|17:30:00|18:30:00|310 S. 1st Avenue, , South Dakota  USA, SD 57104
North End AA Group|Location is: Center of Hope|3|20:00:00|21:00:00|3328 N. Cliff Avenue, , South Dakota  USA, SD 57104
Westside Al-Anon|Location is: Westside Al-Anon|4|18:30:00|19:30:00|1509 West 1st Ave., Sioux Falls, SD 57105
Westside Al-Anon|Location is: Westside Al-Anon|6|18:30:00|19:30:00|1509 West 1st Ave., Sioux Falls, SD 57105
Austin Street Recovery Group|Location is: Austin Street Recovery Group|1|16:00:00|17:00:00|1301 E Austin Street, , South Dakota  USA, SD 57103
Austin Street Recovery Group|Location is: Austin Street Recovery Group|4|20:00:00|21:00:00|1301 E Austin Street, , South Dakota  USA, SD 57103
Serenity Seekers AFG|Location is: East Side Lutheran|1|18:30:00|19:30:00|110 South Sherman, Sioux Falls, SD 57103
Hilltop Al-Anon|Location is: Grace Lutheran Church|3|19:30:00|20:30:00|3300 E. 18th St, Sioux Falls, SD 57103
Hilltop AA Group|Location is: Holy Apostles Episcopal Church|3|20:00:00|21:00:00|1415 S. Bahnson Avenue, , South Dakota  USA, SD 57103
Top Priority AA Group|Location is: Holy Apostles Episcopal Church|6|20:00:00|21:00:00|1415 S. Bahnson Avenue, , South Dakota  USA, SD 57103
Good Spirits AFG|Location is: Holy Spirit Church|5|19:00:00|20:00:00|3601 E Dudley Lane, Sioux Falls, SD 57103
AA Group|Location is: 2nd Presbyterian Chapel|2|20:00:00|21:00:00|101 N. Prairie St., Flandreau, SD 57028
Flandreau Al-Anon|Location is: 2nd Presbyterian Chapel|2|20:00:00|21:00:00|101 N. Prairie St, Flandreau, SD 57028
Noon Luncheon Group|Location is: Alano Society|2|12:00:00|13:00:00|Deadwood Ave, rapid_city, SD 57702
12 & 12 Group|Location is: 12 & 12 Group|1|16:00:00|17:00:00|201 E. Elm St., Brandon, SD 57005
12 & 12 Group|Location is: 12 & 12 Group|2|20:00:00|21:00:00|201 E. Elm St., Brandon, SD 57005
12 & 12 Group|Location is: 12 & 12 Group|4|20:00:00|21:00:00|201 E. Elm St., Brandon, SD 57005
12 & 12 Group|Location is: 12 & 12 Group|5|20:00:00|21:00:00|201 E. Elm St., Brandon, SD 57005
12 & 12 Group|Location is: 12 & 12 Group|7|11:00:00|12:00:00|201 E. Elm St., Brandon, SD 57005
AA Group|Location is: AA Group|4|20:00:00|21:00:00|304 N. 10, Beresford, SD 57004
Beresford Al-Anon|Location is: Beresford AA Club|4|20:00:00|21:00:00|304 N 10th, Beresford, SD 57004
Club AA|Location is: Beresford, SD.|4|20:00:00|21:00:00|304 N. 10st., beresford, SD 57004
Courage to Change Brandon Valley|Location is: Beaver Valley Lutheran Church|2|20:00:00|21:00:00|26214 484th Ave, Brandon, SD 57068
AA Group|Location is: United Church of Garretson|3|20:00:00|21:00:00|501 Essex Street, Garretson, SD 57030
AA Group|Location is: Post Office Basement|3|20:00:00|21:00:00|16 ? Court Street, Vermillion, SD 57069
AA Group|Location is: Post Office Basement|6|20:00:00|21:00:00|16 ? Court Street, Vermillion, SD 57069
Vermillion Al-Anon|Location is: St Paul Episc Church|2|20:00:00|21:00:00|10 Linden St, Vermillion, SD 57069
Unity AA Group|Location is: Trinity Lutheran Church|1|17:00:00|18:00:00|816 E. Clark St., Vermillion, SD 57069
Unity AA Group|Location is: Trinity Lutheran Church|3|19:30:00|20:30:00|816 E. Clark St., Vermillion, SD 57069
Unity AA Group|Location is: Trinity Lutheran Church|7|20:00:00|21:00:00|816 E. Clark St., Vermillion, SD 57069
AA Group|Location is: City Hall|5|20:00:00|21:00:00|210 N. Dakota, Canton, SD 57013
Friday Night Lights|Location is: Episcopal Church|1|20:00:00|21:00:00|450 Bordeaux, chadron, SD 69337
Chadron AA|Location is: Catholic Parish|7|20:00:00|21:00:00|340 Cedar St, chadron, SD 69337
Chadron AA|Location is: Catholic Parics|5|20:00:00|21:00:00|340 Cedar St, chadron, SD 69337
Chadron AA|Location is: Catholic Parish|2|20:00:00|21:00:00|340 Cedar St, chadron, SD 69337
Tuesday NIght Meeting|Location is: Congregational Church|3|20:00:00|21:00:00|370 Chadron Ave, chadron, SD 69337
Serenity Group of Alcoholics Anonymous|Location is: Congregattion Church Basement|4|20:00:00|21:00:00|W 4th St & Chadron Ave, Chadron, SD 69337
Four Directions AA Group|Location is: Calvary Episcopal Church|3|20:00:00|21:00:00|13th Street & Main Ave, , South Dakota  USA, SD 57638
Four Directions AA Group|Location is: Calvary Episcopal Church|7|20:00:00|21:00:00|13th St. & Main Ave, , South Dakota  USA, SD 57638
AA Group|Location is: Municipal Bldg.|1|16:00:00|17:00:00|119 2nd Ave. SW, Pipestone, SD 56164
AA Group|Location is: Municipal Bldg.|4|20:00:00|21:00:00|119 2nd Ave. SW, Pipestone, SD 56164
AA Group|Location is: Municipal Bldg.|6|20:00:00|21:00:00|119 2nd Ave. SW, Pipestone, SD 56164
We Can AA Group|Location is: Peace United Meth. Church|3|19:30:00|20:30:00|S. Hwy 23 & Hwy 30, Pipestone, SD 
AA Group|Location is: Bethlehem Lutheran Church|5|20:00:00|21:00:00|302 N. Oak Street, Inwood, SD 51240
Tuesday_s Best Happy Hour|Location is: Oakwood Park Church|3|19:00:00|20:00:00|811 South Gorden Dr, , South Dakota  USA, SD 57747
NEW BEGINNINGS|Location is: St. Mark`s Episc. Church|6|18:15:00|19:15:00|118 3rd St., Southeast, SD 58458
AA Group|Location is: IOOF Bldg.|1|09:00:00|10:00:00|Main St., Elk Point, SD 57025
AA Group|Location is: IOOF Bldg.|2|20:00:00|21:00:00|Main St., Elk Point, SD 57025
AA Group|Location is: IOOF Bldg.|5|20:00:00|21:00:00|Main St., Elk Point, SD 57025
West Siouxland|Location is: United Methodist Church|5|19:30:00|20:30:00|803 13st., hawarden, SD 51023
Sunday Morning Fellowship|Location is: Elkpoint, SD.|1|09:00:00|10:00:00|117 E Main, elk_point, SD 57025
AA Group|Location is: Community Library|4|20:00:00|21:00:00|201 W. Main, 1 blk. E of Hwy 75, Luverne, SD 
AA Group|Location is: Community Library|7|20:00:00|21:00:00|201 W. Main, 1 blk. E of Hwy 75, Luverne, SD 
IA AA Group|Location is: Trinity Lutheran Church|3|19:30:00|20:30:00|220 Hardy Street, Akron, SD 51001
Browns Valley AA|Location is: Senior Center|6|07:00:00|08:00:00|, Browns Valley, SD 56219
Sunday Morning AA Group|Location is: MidAmerican Bldg|1|08:30:00|09:30:00|1509 15th St., Rock Valley, SD 51247
AA Group|Location is: MidAmerican Bldg|4|20:00:00|21:00:00|1509 15th St., Rock Valley, SD 51247
