Fellowship of the Spirit|Location is: Cokesbury United Methodist Church|2|19:00:00|20:00:00|4990 Dorchester Rd., north charleston, FL 29418|26.8963073|-80.10483160000001
Hill|Location is: Good Shepard Episcopal Church|2|20:00:00|21:00:00|2232 Walton Way, Augusta, FL 30904|30.3800592|-86.333238
Hill|Location is: Good Shepard Episcopal Church|5|20:00:00|21:00:00|2232 Walton Way, Augusta, FL 30904|30.3800592|-86.333238
North Augusta|Location is: North Augusta|1|08:00:00|09:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 9|Location is: North Augusta|1|14:30:00|15:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 6|Location is: North Augusta|1|20:00:00|21:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta|Location is: North Augusta|2|08:00:00|09:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 2|Location is: North Augusta|2|14:00:00|15:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 3|Location is: North Augusta|2|17:30:00|18:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 4|Location is: North Augusta|2|19:00:00|20:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta|Location is: North Augusta|3|08:00:00|09:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 2|Location is: North Augusta|3|14:00:00|15:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 3|Location is: North Augusta|3|17:30:00|18:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 5|Location is: North Augusta|3|20:30:00|21:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta|Location is: North Augusta|4|08:00:00|09:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 2|Location is: North Augusta|4|14:00:00|15:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 3|Location is: North Augusta|4|17:30:00|18:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 5|Location is: North Augusta|4|20:30:00|21:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta|Location is: North Augusta|5|08:00:00|09:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 2|Location is: North Augusta|5|14:00:00|15:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 3|Location is: North Augusta|5|17:30:00|18:30:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta 6|Location is: North Augusta|5|20:00:00|21:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
North Augusta|Location is: North Augusta|6|08:00:00|09:00:00|Riverside Blvd, North Augusta, FL 29841|28.1870937|-80.65607119999999
