Alexis Group|Location is: Alexis Group|3|18:30:00|19:30:00|2304 North Myrtle Ave, Jacksonville, GA 32209|30.7516291|-81.56898519999999
Easy 123|Location is: Duluth|6|20:00:00|21:00:00|3160 Creek Dr., duluth, GA 30136|33.9853231|-84.1537219
Easy 1-2-3|Location is: Duluth, GA 30136|6|18:00:00|19:00:00|3160 Creek Dr., Suite B, duluth, GA 30136|33.985299|-84.15292999999997
Winners|Location is: Winners|2|09:30:00|10:30:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners|Location is: Winners|3|09:30:00|10:30:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners|Location is: Winners|4|09:30:00|10:30:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners|Location is: Winners|5|09:30:00|10:30:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners|Location is: Winners|6|09:30:00|10:30:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 6|Location is: Winners|1|10:00:00|11:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 2|Location is: Winners|2|12:00:00|13:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 2|Location is: Winners|3|12:00:00|13:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 2|Location is: Winners|4|12:00:00|13:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 2|Location is: Winners|5|12:00:00|13:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 2|Location is: Winners|6|12:00:00|13:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
Winners 5|Location is: Winners|1|13:00:00|14:00:00|911 S. Edgewood Ave., Jacksonville, GA 32205|30.797884|-81.72999500000003
