No Name Group|Location is: Congregational Church|6|17:30:00|18:30:00|10 Union St, Milford, MA 03055|42.1408259|-71.5301983
No Name Group|Location is: Congregational Church|5|17:30:00|18:30:00|10 Union St, Milford, MA 03055|42.1408259|-71.5301983
No Name Group|Location is: Congregational Church|4|17:30:00|18:30:00|10 Union St, Milford, MA 03055|42.1408259|-71.5301983
No Name Group|Location is: Congregational Church|3|17:30:00|18:30:00|10 Union St, Milford, MA 03055|42.1408259|-71.5301983
No Name Group|Location is: Congregational Church|2|17:30:00|18:30:00|10 Union St, Milford, MA 03055|42.1408259|-71.5301983
Amherst Sunday Step Group|Location is: Congregational Church|1|19:30:00|20:30:00|33 Main St.?, AMHERST, MA 03031|42.4621378|-72.58124079999999
TSDD Men's Peace Of Mind|Location is: Keystone Hall|2|19:00:00|20:00:00|5 Pine Rd, New Boston, MA 03070|42.3582336|-71.13513449999999
Big Book|Location is: Faith Baptist Church|6|19:30:00|20:30:00|765 Commonwealth Avenue, Warwick, MA 02886|42.6864293|-72.43994700000002
You Are Here|Location is: Federated Church|7|19:00:00|20:00:00|16 Pleasant St. , marlborough, MA 03455|42.3535993|-71.56626919999997
Experience, Strenth and Hope Group|Location is: West Street Ward House|1|09:45:00|10:45:00|West Street, concord, MA 03301|42.453186|-71.397268
Crazy in AA young peoples meeting|Location is: Unitarian Church|5|19:30:00|20:30:00|274 Pleasant St, Concord, MA 03301|42.4527345|-71.39563759999999
Constant Vigilance|Location is: Readville Knights Of Columbus Hall|5|11:00:00|12:00:00|12 Walcott Ct., Hyde park, MA 06076|42.238113|-71.13113299999998
Constant Vigilance|Location is: Readville Knights Of Columbus Hall|6|11:00:00|12:00:00|12 Walcott Ct., Hyde park, MA 06076|42.238113|-71.13113299999998
Constant Vigilance|Location is: Readville Knights Of Columbus Hall|2|11:00:00|12:00:00|12 Walcott Ct., Hyde park, MA 06076|42.238113|-71.13113299999998
Constant Vigilance|Location is: Readville Knights Of Columbus Hall|3|11:00:00|12:00:00|12 Walcott Ct., Hyde park, MA 06076|42.238113|-71.13113299999998
Constant Vigilance|Location is: Readville Knights Of Columbus Hall|4|11:00:00|12:00:00|12 Walcott Ct., Hyde park, MA 06076|42.238113|-71.13113299999998
Hope|Location is: Knights of Columbus Hall|1|10:00:00|11:00:00|15 Valley Road, Middletown, MA 02842|42.605339|-70.93632500000001
N. F. L. (No Foul Language)|Location is: United Congregational Church|3|19:30:00|20:30:00|524 Valley Road, Middletown, MA 02842|42.6078447|-70.93482670000003
Serenity Step|Location is: United Congregational Church|5|19:30:00|20:30:00|524 Valley Road, Middletown, MA 02842|42.6078447|-70.93482670000003
Serenity Step Beginners|Location is: United Congregational Church|5|19:30:00|20:30:00|524 Valley Road, Middletown, MA 02842|42.6078447|-70.93482670000003
Into Action|Location is: United Congregational Church|2|19:30:00|20:30:00|524 Valley Road, Middletown, MA 02842|42.6078447|-70.93482670000003
Fresh Air|Location is: United Congregational Church|6|19:30:00|20:30:00|524 Valley Road, Middletown, MA 02842|42.6078447|-70.93482670000003
Noontime|Location is: Congregational Church|5|12:00:00|13:00:00|1 Church St., Wakefield, MA 02879|42.507034|-71.074548
Hiker Monument|Location is: Congregational Church|2|19:30:00|20:30:00|1 Church St., Wakefield, MA 02879|42.507034|-71.074548
Congregational Church|Location is: Congregational Church|3|12:00:00|13:00:00|1 Church St., Wakefield, MA 02879|42.507034|-71.074548
Congregational Church|Location is: Congregational Church|7|19:30:00|20:30:00|1 Church Street, Wakefield, MA 02879|42.507034|-71.074548
New Freedom|Location is: Saint Francis Church|1|19:00:00|20:00:00|128 High Street, Wakefield, MA 02879|42.496824|-71.09402990000001
The Big Red Group|Location is: Wakefield Baptist Church|3|10:00:00|11:00:00|263 Main Street, Wakefield, MA 02879|42.4840927|-71.100349
Wakefield Men's Step|Location is: Wakefield Baptist Church|2|18:30:00|19:30:00|263 Main Street, Wakefield, MA 02879|42.4840927|-71.100349
Spiritual Awakening II Meets Monday to Friday.|Location is: Saint Peter's Episcopal Church|6|19:00:00|20:00:00|72 Central Street, Narragansett, MA 02882|42.6065347|-72.07230419999996
Spiritual Awakening II Meets Monday to Friday.|Location is: Saint Peter's Episcopal Church|2|19:00:00|20:00:00|72 Central Street, Narragansett, MA 02882|42.6065347|-72.07230419999996
Spiritual Awakening II Meets Monday to Friday.|Location is: Saint Peter's Episcopal Church|5|19:00:00|20:00:00|72 Central Street, Narragansett, MA 02882|42.6065347|-72.07230419999996
Spiritual Awakening II Meets Monday to Friday.|Location is: Saint Peter's Episcopal Church|3|19:00:00|20:00:00|72 Central Street, Narragansett, MA 02882|42.6065347|-72.07230419999996
Spiritual Awakening II Meets Monday to Friday.|Location is: Saint Peter's Episcopal Church|4|19:00:00|20:00:00|72 Central Street, Narragansett, MA 02882|42.6065347|-72.07230419999996
