Steps to Sobriety|Location is: Prineville, Oregon USA|1|12:00:00|13:00:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|7|12:00:00|13:00:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|6|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|5|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|5|12:00:00|13:00:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|4|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|3|18:30:00|19:30:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Steps to Sobriety|Location is: Prineville, Oregon USA|2|17:30:00|18:30:00|396 NE 2nd St., prineville, OR 97754|44.301773|-120.84368
Willing To Go To Any Lengths|Location is: Rebels Roost|6|12:00:00|13:00:00|396 NE 2nd, prineville, OR 97754|44.301773|-120.84368
H.O.W. WOMEN|Location is: NORTH BEND COMMUNITY CHURCH|4|19:00:00|20:00:00|116 E 3rd, NORTH BEND, OR 97701|44.0511561|-121.302457
C.O.F.H.|Location is: Bend|5|17:30:00|18:30:00|Thurston Av, bend, OR 97701|44.069515|-121.30251269999997
New Horizons|Location is: Trinity Episcopal Church|7|10:30:00|11:30:00|469 NW Wall Street, bend, OR 97701|44.0557482|-121.31785609999997
New Horizons|Location is: Trinity Episcopal Church|1|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701|44.0557482|-121.31785609999997
New Horizons|Location is: Trinity Episcopal Church|5|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701|44.0557482|-121.31785609999997
New Horizons|Location is: Trinity Episcopal Church|4|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701|44.0557482|-121.31785609999997
New Horizons|Location is: Trinity Episcopal Church|3|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701|44.0557482|-121.31785609999997
New Horizons|Location is: Trinity Episcopal Church|2|12:00:00|13:00:00|469 NW Wall Street, bend, OR 97701|44.0557482|-121.31785609999997
24 and alive|Location is: In town|2|12:00:00|13:00:00|Main Drag, bend, OR 97739|43.6997098|-121.30338489999997
McKenzie Bridge Group|Location is: McKenzie Bridge Group|2|19:00:00|20:00:00|First Christian Church, McKenzie Bridge, OR |44.1751238|-122.16394730000002
Cascade Group|Location is: Cascade Group|4|20:00:00|21:00:00|76387 Crestview St, St. Michael's Catholic, Oakridge, OR |43.7457425|-122.46690920000003
Cascade Group|Location is: Cascade Group|7|20:00:00|21:00:00|76387 Crestview St, St. Michael's Catholic, Oakridge, OR |43.7457425|-122.46690920000003
When the Rubber Meets the Road|Location is: Lowell Grange Hall|3|19:00:00|20:00:00|2nd & Moss, Lowell, OR 97452|43.9208789|-122.7832151
Lowell Serenity Group 2|Location is: Lowell Serenity Club|1|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 2|Location is: Lowell Serenity Club|2|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 2|Location is: Lowell Serenity Club|3|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 2|Location is: Lowell Serenity Club|4|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 2|Location is: Lowell Serenity Club|5|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 2|Location is: Lowell Serenity Club|6|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 2|Location is: Lowell Serenity Club|7|20:00:00|21:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group|Location is: Lowell Serenity Club|2|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group|Location is: Lowell Serenity Club|3|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group|Location is: Lowell Serenity Club|4|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group|Location is: Lowell Serenity Club|5|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group|Location is: Lowell Serenity Club|6|12:00:00|13:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 4|Location is: Lowell Serenity Club|7|10:00:00|11:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 4|Location is: Lowell Serenity Club|1|10:00:00|11:00:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 3|Location is: Lowell Serenity Club|3|16:30:00|17:30:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Lowell Serenity Group 3|Location is: Lowell Serenity Club|6|16:30:00|17:30:00|101 W Main St, Lowell, OR 97452|43.91881|-122.78526599999998
Expect a Miracle|Location is: Goshen, OR|3|19:00:00|20:00:00|Dillard Access Rd., Goshen, eugene, OR 97405|43.9818346|-123.00739010000001
Creswell 12x12|Location is: Creswell 12x12|2|19:00:00|20:00:00|298 Oregon Ave, Creswell Grange Hall, Creswell, OR 97426|43.9179772|-123.02177389999997
Regalo de Vida|Location is: St Alice Catholic Church|1|12:00:00|13:00:00|1520 F St., Springfield, OR 97477|44.0522445|-123.00275829999998
Regalo de Vida|Location is: St Alice Catholic Church|5|19:30:00|20:30:00|1520 F St., Springfield, OR 97477|44.0522445|-123.00275829999998
Recovery's Real|Location is: Recovery's Real|5|19:00:00|20:00:00|1550 S. St., Springfield, OR 97477|44.065022|-123.00203399999998
Serenity & Sobriety Now|Location is: Ameican Legion Hall|5|20:00:00|21:00:00|8th & C St., Springfield, OR 97477|44.0487811|-123.01534659999999
ue	pm07:00-08:00	Springfield Study Group	Springfield 	|Location is: First Christian Church |3|19:00:00|20:00:00|418 A St, Springfield, OR 97477|44.0472641|-123.02038040000002
11th Step Meeting|Location is: 1rst Christian Church|3|07:00:00|08:00:00|4th & A St, Springfield, OR 97477|44.0470594|-123.02079830000002
Friends of Dr. Bob|Location is: Friends of Dr. Bob|5|19:00:00|20:00:00|554 Water St., Springfield, OR 97477|44.050336|-123.027377
New Beginnings Group|Location is: New Beginnings Group|1|18:00:00|19:00:00|19th & Harvey, Knights of Columbus, Cottage Grove, OR |43.797623|-123.05952460000003
Big Book Study Group|Location is: Big Book Study Group|2|19:30:00|20:30:00|1301 W Main St, St. Andrew's Church, Cottage Grove, OR |43.7975628|-123.07057780000002
No Name|Location is: New Beginnings Group|2|19:00:00|20:00:00|19th & Harvey, Knights of Columbus, Cottage Grove, OR |43.797623|-123.05952460000003
Cottage Grove Group|Location is: Cottage Grove Group|3|00:00:00|01:00:00|1015 N 19th St, Knights of Columbus, Cottage Grove, OR |43.797623|-123.05952460000003
Wednesday Beginner's Group|Location is: Wednesday Beginner's Group|4|19:00:00|20:00:00|1015 N 19th, K of C BIdg, Cottage Grove, OR |43.797623|-123.05952460000003
Cottage Grove Gratitude|Location is: Wednesday Beginner's Group|5|20:00:00|21:00:00|1015 N 19th, K of C BIdg, Cottage Grove, OR |43.797623|-123.05952460000003
Women's Good Grief|Location is: Big Book Study Group|7|00:00:00|01:00:00|1301 W Main St, St. Andrew's Church, Cottage Grove, OR |43.7975628|-123.07057780000002
Rush Hour|Location is: Community Center|5|18:30:00|19:30:00|700 Gibbs St,, Cottage Grove, OR 97424|43.7987404|-123.06102149999998
Saturday Night Candlelight|Location is: Saturday Night Candlelight|7|20:00:00|21:00:00|700 Gibbs St., Cottage Grove, OR 97424|43.7987404|-123.06102149999998
Sunday Candle Light Meeting|Location is: Downstairs |1|20:00:00|21:00:00|1111 Main st., klamath falls, OR 97601|42.228099|-121.778906
6:45 AM Men's Meeting|Location is: Harlow & Honeysuckle|3|06:45:00|07:45:00|3484 Harlow Rd, Eugene, OR 97401|44.068965|-123.056554
6:45 AM Men's Meeting|Location is: Harlow & Honeysuckle|5|06:45:00|07:45:00|3484 Harlow Rd, Eugene, OR 97401|44.068965|-123.056554
Women&#39;s Courage to Change|Location is: Westminster Presbyterian|2|19:00:00|20:00:00|777 Coburg Rd., eugene, OR 97401|44.0702668|-123.06950289999997
Timberline|Location is: St. John in the Woods Church|4|19:30:00|20:30:00|24905 E Woodsey Way, Welches, OR 97067|45.3450213|-121.95514700000001
Timberline|Location is: St. John in the Woods Church|1|19:30:00|20:30:00|24905 E Woodsey Way, Welches, OR 97067|45.3450213|-121.95514700000001
Welches Saturday Evening Step Meeting|Location is: St. John in the Woods Church|7|17:00:00|18:00:00|24905 E. Woodsey Way, Welches, OR 97067|45.3450213|-121.95514700000001
Woodsey Way Womans AA|Location is: St. John in the Woods Church|6|18:00:00|19:00:00|24905 E. Woodsey Way, Welches, OR 97067|45.3450213|-121.95514700000001
Are We Done Yet|Location is: Koinonia Center|2|19:30:00|20:30:00|1414 Kincaid St., Eugene, OR 97401|44.0441268|-123.07893469999999
We Need Each Other|Location is: Koinonia Center|6|20:00:00|21:00:00|1414 Kincaid St., Eugene, OR 97401|44.0441268|-123.07893469999999
How It Works Group|Location is: Spiritual Growth Center|3|17:30:00|18:30:00|390 Vernal St, off Coburg Rd, Eugene, OR |44.1439136|-123.07964679999998
Recovery By The Steps|Location is: Spiritual Growth Center|5|17:30:00|18:30:00|390 Vernal St, off Coburg Rd, Eugene, OR |44.1439136|-123.07964679999998
Saturday Morning Steps|Location is: Saturday Morning Steps|7|10:00:00|11:00:00|1824 University St, Luther House, Eugene, OR 97401|44.0599139|-123.08198759999999
Keep coming back|Location is: Lebanon|1|01:00:00|02:00:00|547 Walker Rd, Lebanon, OR 97355|44.5213546|-122.91524270000002
Primary Purpose Group|Location is: Primary Purpose Group|1|19:00:00|20:00:00|155 High St, Campbell Senior Center, Eugene, OR |44.0520691|-123.08675360000001
Sunday Sunshine Group|Location is: Sunday Sunshine Group|1|09:30:00|10:30:00|340 Blair Blvd, JESCO Club, Eugene, OR |44.0520691|-123.08675360000001
Grateful We Aren't Dead|Location is: Sunday Sunshine Group|1|20:00:00|21:00:00|340 Blair Blvd, JESCO Club, Eugene, OR |44.0520691|-123.08675360000001
Sunday AM B.B. Study Group|Location is: Sunday AM B.B. Study Group|1|10:00:00|11:00:00|12th & Lawrence St, Knights of Pythias, Eugene, OR |44.0520691|-123.08675360000001
Try God Grapevine Study|Location is: Try God Grapevine Study|1|17:00:00|18:00:00|13th & Jefferson, McNeil-Riley House, Eugene, OR |44.0520691|-123.08675360000001
Serenity on Sunday|Location is: Serenity on Sunday|1|07:00:00|08:00:00|3633 Gilham Rd (Gilham Comm. Church), Eugene, OR |44.105232|-123.0807747
Last Chance Group|Location is: Last Chance Group|1|10:00:00|11:00:00|562 Blair Blvd, Living Solutions, Eugene, OR |44.0520691|-123.08675360000001
Following The Directions|Location is: Sunday Sunshine Group|1|18:00:00|19:00:00|340 Blair Blvd, JESCO Club, Eugene, OR |44.0520691|-123.08675360000001
Last Chance Study Group|Location is: Last Chance Study Group|1|19:00:00|20:00:00|3925 Hilyard St, Church of the Resurrection, Eugene, OR |44.0129017|-123.08178079999999
Sunday Women's Step Study|Location is: Sunday Women's Step Study|1|17:00:00|18:00:00|39th & Hilyard, Unity Church, Eugene, OR |44.0520691|-123.08675360000001
