Allison Park Wednesday Morning|Location is: Memorial Park Presby. Church-Clayton Community Center |4|10:00:00|11:00:00|8800 Peebles Rd at Duncan Rd., allison_park, PA |40.5673904|-80.00694450000003
Road to Recovery|Location is: St. John&#39;s Church|2|19:00:00|20:00:00|Alleghent St., jersey_shore, PA 17740|41.2033634|-77.2682858
WILLIAMSPORT GROUP|Location is: Grace United Methodist Church|3|19:00:00|20:00:00|Grace/campbell sts., williamsport, PA 17701|41.238807|-77.01705279999999
Happy Hour|Location is: St. Andrews Episcopal Church|6|17:30:00|18:30:00|251s Derr Drive (Rt 15), lewisburg, PA |41.0307952|-77.1221243
Day By Day|Location is: First Baptist Church|2|12:00:00|13:00:00|3rd & St. Louis , lewisburg, PA 17837|40.963178|-76.88354029999999
Sobrity Rocks|Location is: Recovery house|5|08:00:00|09:00:00|N Main St, Towanda, PA 18848|41.77478199999999|-76.44325029999999
The Dallas Group|Location is: Holy Communion Church|3|20:00:00|21:00:00|Church St., DALLAS, PA 18612|41.3408267|-75.96246429999997
Harrisburg Group|Location is: Harrisburg Group|5|19:30:00|20:30:00|6th & Smith, First Christian Church, Harrisburg, PA |40.2737002|-76.88441790000002
Thursday Night Step Group|Location is: Messiah United Methodist Church|5|20:00:00|21:00:00|6722 Penn Ave S, Plymouth, PA |40.1600044|-77.68681300000003
Close To Home|Location is: Lutheran Church|3|18:45:00|19:45:00|Bennett St., luzerne, PA |41.285864|-75.8945359
Close to Home|Location is: Luzerne|3|18:45:00|19:45:00|446 Bennett Street, luzerne, PA 18709|41.28219199999999|-75.89119399999998
gods grace|Location is: kingston,pa.|2|10:00:00|11:00:00|30 butler st., kingston, PA 18704|41.2674465|-75.8893893
Town Hall Group|Location is: Salvation Army|3|20:00:00|21:00:00|17 S Pennsylvania Ave, Wilkes-Barre, PA 18701|41.2432139|-75.88008919999999
FREELAND GROUP|Location is: FREELAND METHODIST CHURCH|2|20:00:00|21:00:00|201 WASHINGTON ST, FREELAND, PA 18224|41.01392999999999|-75.89585999999997
Palmyra Sunday|Location is: Zion Episcopal Church|1|20:30:00|21:30:00|120 E Main St, Palmyra, PA 17078|40.308286|-76.59357499999999
