We Are Responsible|Location is: Somerset Baptist Church|7|21:00:00|22:00:00|363 High Street, Somerset, RI 02726|41.662805|-71.18844260000003
St. Peter's Ch.|Location is: St. Peter's Ch.|2|18:45:00|19:45:00|351 Elm St., So. Dartmouth, RI 02748|41.8084891|-71.42183820000002
St. Peter's Ch.|Location is: St. Peter's Ch.|1|19:00:00|20:00:00|351 Elm St., So. Dartmouth, RI 02748|41.8084891|-71.42183820000002
Off Shore Meets Monday to Saturday.|Location is: Harbor Baptist Church|3|20:30:00|21:30:00|Water Street, BLOCK ISLAND, RI |41.1726147|-71.55794860000003
Off Shore Meets Monday to Saturday.|Location is: Harbor Baptist Church|4|19:30:00|20:30:00|Water Street, BLOCK ISLAND, RI |41.1726147|-71.55794860000003
Off Shore Meets Monday to Saturday.|Location is: Harbor Baptist Church|5|20:30:00|21:30:00|Water Street, BLOCK ISLAND, RI |41.1726147|-71.55794860000003
Off Shore Meets Monday to Saturday.|Location is: Harbor Baptist Church|2|19:30:00|20:30:00|Water Street, BLOCK ISLAND, RI |41.1726147|-71.55794860000003
Off Shore Meets Monday to Saturday.|Location is: Harbor Baptist Church|6|20:30:00|21:30:00|Water Street, BLOCK ISLAND, RI |41.1726147|-71.55794860000003
Off Shore Meets Monday to Saturday.|Location is: Harbor Baptist Church|7|19:30:00|20:30:00|Water Street, BLOCK ISLAND, RI |41.1726147|-71.55794860000003
Rebound|Location is: Saint Philip Church|3|20:00:00|21:00:00|63 Grove Street, Putnam, RI 06260|41.9122697|-71.79711420000001
Alive Again|Location is: Congregational Church|6|20:00:00|21:00:00|17 West St., Mansfield, RI 02048|41.8374899|-71.42409090000001
Primary Purpose|Location is: New England Chapel|5|19:30:00|20:30:00|40 Kenwood Circle, Franklin, RI 02038|42.0036276|-71.48185669999998
No Name|Location is: St. Mark's|1|19:30:00|20:30:00|116 South St., Foxboro, RI 02035|41.6434221|-71.22747609999999
Live And Let Live|Location is: St. Mark's|5|19:30:00|20:30:00|116 South St., Foxboro, RI 02035|41.6434221|-71.22747609999999
Intensive Care|Location is: Advent Lutheran Church|6|19:00:00|20:00:00|62 E. Grove St., Middleboro, RI 02346|41.70156|-71.36688400000003
Ray Of Hope|Location is: Community House|1|10:30:00|11:30:00|43 Hope St., Hopedale, RI 01747|41.8404055|-71.40140059999999
Lutheran Church|Location is: Lutheran Church|2|19:45:00|20:45:00|Lincoln St., Easton, RI 02356|41.8502905|-71.43468630000001
Cottage|Location is: Lady of Sorrows|5|10:30:00|11:30:00|59 Cottage St., Sharon, RI 02067|41.8369141|-71.44141960000002
Lady of Sorrows|Location is: Lady of Sorrows|3|10:30:00|11:30:00|59 Cottage St., Sharon, RI 02067|41.8369141|-71.44141960000002
Lady of Sorrows|Location is: Lady of Sorrows|2|10:30:00|11:30:00|59 Cottage St., Sharon, RI 02067|41.8369141|-71.44141960000002
Barber Shop|Location is: St. John's Evan.|3|20:00:00|21:00:00|20 Church St., Hopkinton, RI 01748|41.3984096|-71.74365690000002
Easier, Softer Way|Location is: Congregational Church|3|19:30:00|20:30:00|146 E. Main St., Hopkinton, RI 01748|41.41779580000001|-71.78990069999998
Freedom|Location is: Congregational Church|5|20:00:00|21:00:00|146 E. Main St., Hopkinton, RI 01748|41.41779580000001|-71.78990069999998
