Harlem|Location is: Episcopal Church|6|20:00:00|21:00:00|Highway 221, N. Harlem, SC 30802|33.6730828|-82.17621830000002
IBEW BROUP|Location is: IBEW BROUP|1|10:00:00|11:00:00|1406 WASHINGTON STREET, MT PLEASANT, SC 28124|32.7881218|-79.92854640000002
Clarke Co. Jail|Location is: Clarke Co. Jail|2|19:00:00|20:00:00|3015 Lexington Rd., Clarke, SC 30605|33.9801931|-81.24841559999999
Madison|Location is: Madison|1|19:30:00|20:30:00|1131 East Ave., Madison, SC 30650|34.4173076|-79.35617159999998
Madison|Location is: Madison|5|19:30:00|20:30:00|1131 East Ave., Madison, SC 30650|34.4173076|-79.35617159999998
CARRABELLE GROUP|Location is: ELDER CARE SERVICES BUILDING|3|19:30:00|20:30:00|302 NW AVE F, CARABELLE, SC 28144|32.3107316|-80.9227942
CARRABELLE GROUP|Location is: ELDER CARE SERVICES BUILDING|6|19:30:00|20:30:00|302 NW AVE F, CARABELLE, SC 28144|32.3107316|-80.9227942
TORCH LIGHT|Location is: St. John`s Ch.|3|18:00:00|19:00:00|2801 Stanton Rd., Southeast, SC 30094|34.0242063|-81.00168389999999
CANDLER|Location is: CLUBSCAPE|1|19:30:00|20:30:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
LIVING SOBER|Location is: CLUBSCAPE|2|20:00:00|21:00:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
HEAD START|Location is: CLUBSCAPE|3|19:00:00|20:00:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
CANDLER|Location is: CLUBSCAPE|3|20:30:00|21:30:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
HONESTY IS THE KEY|Location is: CLUBSCAPE|4|07:00:00|08:00:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
HEAD START|Location is: CLUBSCAPE|5|07:00:00|08:00:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
AGAPE|Location is: CLUBSCAPE|5|07:00:00|08:00:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
EARLY SATURDAY MO...|Location is: CLUBSCAPE|7|07:00:00|08:00:00|1289 COLUMBIA DRIVE, DECATUR, SC 30032|33.96345410000001|-81.08644400000003
