Monday Men's Step|Location is: St James Ch|2|20:30:00|21:30:00| 841 N Arlington Hts Rd, Arlington, TX 60004|32.7219889|-97.33302470000001
1,2,3|Location is: Classen Club|1|20:00:00|21:00:00|3401 , oklahoma city, TX 73106|33.9574842|-98.55309849999998
Sleepy Hollow|Location is: Stillwater|1|20:00:00|21:00:00| 2106 W. 12th St., stillwater, TX 74074|32.4827523|-100.38596860000001
COLLEGE PARK UNITED BRETHREN CHURCH|Location is: COLLEGE PARK UNITED BRETHREN CHURCH|5|19:30:00|20:30:00|College Rd., Huntington, TX 72940|33.1485379|-96.7854734
Pioneer Building|Location is: Pioneer Building|5|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
12 & 12|Location is: Pioneer Building|3|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Big Book Study|Location is: Pioneer Building|2|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Chain Gang|Location is: Pioneer Building|4|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Chain Gang|Location is: Pioneer Building|7|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|2|06:30:00|07:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|3|06:30:00|07:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|4|06:30:00|07:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|5|06:30:00|07:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|6|06:30:00|07:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|7|06:30:00|07:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Early Bird|Location is: Pioneer Building|1|07:30:00|08:30:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
F.O.T.S. Group|Location is: Pioneer Building|1|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
New Frontier|Location is: Pioneer Building|5|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
New Beginnings|Location is: Pioneer Building|6|18:00:00|19:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
New Frontier|Location is: Pioneer Building|2|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
New Frontier|Location is: Pioneer Building|3|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
New Frontier|Location is: Pioneer Building|6|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
New Frontier|Location is: Pioneer Building|1|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|2|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|3|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|4|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|5|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|6|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|7|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Noon Group|Location is: Pioneer Building|1|12:00:00|13:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Rock Bottom|Location is: Pioneer Building|4|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Young at Heart|Location is: Pioneer Building|7|20:00:00|21:00:00|500 N. F Street, Fort Smith, TX 72901|30.3700161|-97.92719969999996
Visions For You (Womens)|Location is: Visions For You (Womens)|2|19:00:00|20:00:00|3324 South M Street, Fort Smith, TX 72903|30.3700161|-97.92719969999996
Greenwood Group|Location is: First Methodist Church|7|20:00:00|21:00:00|10 West Denver, Greenwood, TX 72936|29.743793|-95.31453399999998
Greenwood Group|Location is: First Methodist Church|2|19:00:00|20:00:00|10 West Denver, Greenwood, TX 72936|29.743793|-95.31453399999998
