Burlington|Location is: 1st Christian Curch of Christ|3|14:00:00|15:00:00|415 S Church St., Burlington, VA 27217|38.898244|-77.12673899999999
Burlington|Location is: 1st Christian Curch of Christ|1|14:00:00|15:00:00|415 S Church St., Burlington, VA 27217|38.898244|-77.12673899999999
The Hospital Meeting|Location is: Mariners Hospital|1|09:30:00|10:30:00|MM 91.5,  , VA 27025|38.7096503|-77.79355379999998
Tar Heel|Location is: BINCKLEY BAPTIST CHURCH|4|14:00:00|15:00:00|1712 WILLOW DR, CHAPEL HILL, VA 27514|38.07176010000001|-78.46822859999997
Tar Heel|Location is: BINCKLEY BAPTIST CHURCH|7|14:00:00|15:00:00|1712 WILLOW DR, CHAPEL HILL, VA 27514|38.07176010000001|-78.46822859999997
Young & Restless|Location is: Chapel of the Cross Church|5|20:00:00|21:00:00|304 E. Franklin St, chapel hill, VA 27514|38.0705269|-78.4716937
LIFE OF NEW BEGINNINGS|Location is: Camel 24 Fellowship|1|07:30:00|08:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
CAME TO BELIEVE MEETING|Location is: Camel 24 Fellowship|1|09:00:00|10:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
SPIRITUAL MEETING|Location is: Camel 24 Fellowship|1|11:00:00|12:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
WEEKENDER_S MEETING|Location is: Camel 24 Fellowship|1|17:00:00|18:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
RISE AND SHINE MEETING|Location is: Camel 24 Fellowship|2|08:30:00|09:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
FIRST THINGS FIRST MEETING|Location is: Camel 24 Fellowship|2|12:00:00|13:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
HAPPY HOUR MEETING|Location is: Camel 24 Fellowship|2|17:30:00|18:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
FIRST THINGS FIRST MEETING|Location is: Camel 24 Fellowship|3|12:00:00|13:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
HAPPY HOUR MEETING|Location is: Camel 24 Fellowship|3|17:30:00|18:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
RISE AND SHINE MEETING|Location is: Camel 24 Fellowship|4|08:30:00|09:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
FIRST THINGS FIRST MEETING|Location is: Camel 24 Fellowship|4|12:00:00|13:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
HAPPY HOUR MEETING|Location is: Camel 24 Fellowship|4|17:30:00|18:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
MEN_S MEETING|Location is: Camel 24 Fellowship|4|19:00:00|20:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
FIRST THINGS FIRST MEETING|Location is: Camel 24 Fellowship|5|12:00:00|13:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
HAPPY HOUR MEETING|Location is: Camel 24 Fellowship|5|17:30:00|18:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
TGIF MEETING|Location is: Camel 24 Fellowship|6|11:00:00|12:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
HAPPY HOUR MEETING|Location is: Camel 24 Fellowship|6|17:30:00|18:30:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
KEEP IT SIMPLE MEETING|Location is: Camel 24 Fellowship|7|08:00:00|09:00:00|4015 Spring Forest Road, RALEIGH, VA 27616|37.2408983|-79.979423
VALLEY GROUP|Location is: St. Giles Presbyterian Church|1|20:00:00|21:00:00|5101 Oak Park Rd., RALEIGH, VA 27612|37.2625169|-79.96553389999997
VALLEY GROUP|Location is: St. Giles Presbyterian Church|4|20:00:00|21:00:00|5101 Oak Park Rd., RALEIGH, VA 27612|37.2625169|-79.96553389999997
